,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.280450842947197,0,0,0,0,0.495368955979976,0,0,0,0,0,0,0.105675222488355,0,0,0,0,0,0.0430106445321591,0,0,0,0.00427496289731975,-0.00950036987128644,0,0
X601398.CH.EQUITY,0,0,0,0,0.0142266892021878,0,0,0,0,0,0,0,0,0,0,0,0,0.206865167109932,0,0.0643529642775695,0.0476882045933875,0,0,0,0.0404639121008139,0,-0.000896616645782032,0,0,0
X2318.HK.EQUITY,0.0769165309657598,0,0,0,0.246205795745851,0,0,0,0,0,0.0833514508962874,0.0479792285725169,0,0.033014399753073,0,0,0,0,0,0,0.00988662770897765,0,0,0,0,0,-1.35525271560688e-20,0,0,0
X601318.CH.EQUITY,0.128739705879846,0,0.152385758680382,0,0,0,0,0,0,0,0,0,0.138920647846772,0.0798235480797464,0,0,0,0.143360182261248,0,0.104208577960564,-0.00996389593851187,0.0891413674185518,0,0,-0.0730315279975308,0,0.0168270074614453,0,0,-0.0244994547755308
X939.HK.EQUITY,0.386755914682065,0,0,0,0,0,0,0,0,0,0,0.11390971507765,0,0,0,0,0,0,0,0.158076440417527,0.0881312916569417,0,0,0,0.00828805997637208,0,0.00857620417147476,0,0,0
X601939.CH.EQUITY,0.00805954343099526,0.39636439958073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149512068023791,0,0.027475913228148,0.0126476937771864,0,0,0,0.0192759950307256,0,-0.0084018465410925,0,0,0
X601288.CH.EQUITY,0,0.196349767310221,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.00412815791265443,0,0,0.0534524004585028,0,0.000399991775138644,0.110184749397888,0,0,0,0.023311098298434,0,-0.00127140022039182,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.0503655750497937,0,0,0,0,0,0.0402112322363731,0,0,0,0,0.234684243807527,0,0,0,0,0,0.45504746310374,-0.0288433738422326,-0.113365333923858,-0.0156331249033301,0,-0.137477447185125,0
X601988.CH.EQUITY,0,0.087112134878414,0.00996397712522116,5.42101086242752e-20,0.0151239810437226,0.0396438473413282,0,0,0,0,0,0,0.0311021342539634,0.0414435785820502,0.105888560031726,0,0,0,0,0,0.027202076543199,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0.457736578705065,0,0,0,0.112750282663518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542405496801198,0,0,0.0519511154218356,0,0
X600036.CH.EQUITY,0,0,0,0.0901302599641396,0,0,0,0,0,0,0,0.148400534863018,0,0,0,0,0,0.0476980652457816,0,0.283038690641199,0,0.194122398414703,0,0.096164332100333,0,0,0.0177302882905542,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0744241975605423,0,0,0,0,0,0.0650798650833987,0,0,-0.0427187858434962,0,0.171090721980745,0.333387895342845,0.341832256758862,0,0,0.0018880279573981,0,0,0
X601628.CH.EQUITY,0,0,0,0.314099035750938,0,0,0,0,0,0,0,0,0,0.407463474248425,0.099322193165983,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.115811668372177,0,0.0702470069257577
X2628.HK.EQUITY,0.0399087142652778,0,0,0.216351859363963,0.260882465222366,0,0,0,0,0,0,0.172215851636609,0.120569231102268,0,0,0,0,0,0,0,0.048598436640103,0,0,0,0.0365865145328298,0,-0.00629856390438404,0,0,0
X601166.CH.EQUITY,0,0.181497801674753,0,0,0,0,0,0,0,0,0.244187998770908,0.0114752290343842,0,0,0,0,0,0.0655958547063269,0,0.0432390525709366,0,0.340865813849503,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.146978970773931,0.0242352521614299,0,0,0,0,0,0,0,0.0157279700775376,0,0,0.323861942094763,0,0,0,0,0,0,0.0259421742888997,0.0151675951800261,0,0,0,0
X3328.HK.EQUITY,0.169028394665585,0,0,0,0.0332798775508421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217375706395337,0.0383405968911813,0,0.0155019190598524,0,0,0.0196832433567683,0,0,0
X600000.CH.EQUITY,0,0,0.0355567245571496,0.152199728858221,0,0,0,0,0,0,0.189915106258957,0,0,0,0,0.490664289463497,0,0,0.0176181952879159,0.0908900546694325,0.0542821094070746,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0.208122273965293,0,0,0,0,0,0,0,0,0.224900551670589,0,0,0,0,0,0,0.116487663221545,0,0.0793197486966918,0,-0.0413197177240318,0,0,0.00817088130991458,0,0.0440468199513267,0
