,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0212581151292939,0.124238664640276,0,0,0,0,0,0,0.24044769558745,0,0,0,0,0,0,0.026908605357437,0,0
X1398.HK.EQUITY,0,0,0,0,0.625598771622041,0,0,0,0,0,0,0,0.0822762774183009,0,0,0,0,0,0,0,0.0214635677411117,0,0,0,0,0,0.00576654963376013,0.0460679193872504,0,0
X601318.CH.EQUITY,0,0,0,0.0123502236363192,0.0363149789890466,0,0,0,0,0,0,0,0.0372167168511599,0.238329067471731,0,0,0,0,0,0,0.299551187178115,0,0,4.33680868994202e-19,0,0,0.00270163626417704,0.0407821616418203,0,0.041943492599577
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.222799961377691,0,0,0,0,0,0,0,0.22896049389202,0,0,0,0,0,0.00211889622046612,0.136508358156487,0,0
X939.HK.EQUITY,0,0.568124894322513,0,0,0,0,0,0,0,0,0,0.00988141539417985,0.049531681503954,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00157433857752783,0.122841905350693,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544460957953624,0,0,0,0.0306599189592272,0,0,0.27255411051526,0,0,0,0,0,-0.00582924524425949,0.144598725422619,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0093298086041699,0.0202822878822479,0.061576881532401,0,0,0,0,0,0.181990352523478,0,0,0,0,0,0,0.0985925851344902,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.151617782454749,0,0,0,0,0,0.0928360165517257,0,0,0.121412883300038,0,0,0,0,0.00649138726544147,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176789369824573,0,0,0,0,0,0,0.0689518054205875,0,0,0.0447840585874953,0,0,0.00233081484988675,0.125530340515065,0,0
X3988.HK.EQUITY,0,0,0,0,0.442911642977625,0,0,0,0,0,0,0,0,0.12164800125636,0,0,0,0,0,0,0,0,0,0.0259381800269732,0.0498817016231401,0,0.00254763237994442,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0654215231638748,0,0,0.176991396256035,0,0,0,0.0376544112758584,0,0.221845864508083,0,0,0.0765120959965242,0,0,0.00610540315301238,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.132815583625598,0,0,0.265632187564826,0,0,0,0.23348433055306,0,0,0,0,0.0200202163477119,0.0556860475904673,0.00509168414086306,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316905086995775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395346214639006,0,0
X601628.CH.EQUITY,0,0,0.434681457248603,-0.0655569020738031,0,0,0,0,0,0,0,0,0.173981484289645,0,0,0,0,0,0,0,0,0,0.17258293042223,0.0302775611441902,0.159265769744683,0,0.0235554326571084,0.0433691086515002,0,0
