,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0.600778414181565,0,0,0,0,0,0,0,0,0.0868403447535546,0,0,0,0,0,0,0,0,0.00412493428994468,0,0,0,0,0.00635869215721937,0.0635367967936816,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0470107996834686,0.113516124284936,0,0,0,0,0,0,0.211229017768186,0,0,0,0.00397084849650937,0,0.0011740358843089,0.0303218125235064,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00606076585183421,0,0,0,0,0,0,0,0.264732801983099,0,0,-1.0842021724855e-19,0,0,-0.00403325961042412,0.196222572561915,0,0
X939.HK.EQUITY,0.505354636260706,0,0,0,0,0,0,0,0,0,0,0,0.0442035639605153,0,0,0,0,0.0226428880410392,0,0,0,0,0,0,0,0.00350706259915626,0,0.143043261636084,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.212569679122389,0,0,0,0,0,0,0,0.195122104996347,0,0,0,0,0,0.00349681171728771,0.165077907421451,0,0
X601318.CH.EQUITY,0,0,0,0.0508777130688927,0,0,0,0,0,0,0,0,0.0326664552071016,0.238759904755352,0,0,0,0,0,0,0.307311693460059,0,0,0,0,0,0.00275841590208888,0.0387033157818132,0,0.0413859105269201
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00933042436315076,0.0202850146801089,0,0,0.061565100816313,0,0,0,0.182002263398607,0,0,0,0,0,2.71050543121376e-20,0.0985887351564738,0,0
X3988.HK.EQUITY,0,0,0,0.227176283204155,0,0,0,0,0,0,0,0.0261154886653913,0.0144004653853421,0.172304309739254,0,0,0,0,0,0,0.0663161557006222,0.0212769403053956,0,0.0290929701093728,0,0,0.00430513930908559,-1.73472347597681e-18,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00135797622160516,0,0,0,0,0,0,0,0.093212261103609,0,0,0.034005580893606,0.0130706849924344,0,0.00133605816738665,0.0698848334518098,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598282107755065,0,0,-0.0185525553805376,0.28717982519548,0,0,0,0,0.00196672119643034,-6.93889390390723e-18,0,0.207781000915819
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338856619076333,0,0,0.0705623759149715,0.0776926317483795,0,0.00660850809830047,0,0,0
X1299.HK.EQUITY,0,0,0,0.00813334504353398,0,0,0,0,0,0,0,0,0.0395042015448663,0,0,0,0,0,0,0.192732941372949,0.165604955569784,0,0.0880416625743748,0,0,0.116799553095845,0.0277354486238478,0.0422983400101189,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304162572922762,0,0,0,0,0,0,0,0,0,0,0,0,0.0034808357179826,0.403395247812118,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0128774947450486,0,0,0,0,0,0,0.394273478840648,0,0,0,0,0,0,0,0,0,0,0.122382249336308,0.271526025627464,0,0.0330199672587158,0,0,0
X3328.HK.EQUITY,0.12783853837863,0,0,0.1457787773167,0,0,0,0,0,0,0,0,0.0672017913655359,0,0,0,0,0,0,0,0.0660508675996868,0,0,0,0,0,0.00801870378122266,0.137066626401859,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.065306390810868,0,0,0,0,0,0.141747371597021,0,0.0523778141392729,0,0,0,0.0385779080580204,0,0.00524498611349449,0.135240105411338,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491737855683395,0,0,0,0,0,0,0.146184959177029,0,0
X000002.CH.EQUITY,0,0,0,0,0.376102927890402,0,0,0,0,0,0,0,0.186593789381933,0,0,0,0,0,0,0,0.0728036785362007,0,0,0,0,0,0,0.0379308888519543,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299055008054214,0,0,0,0.0894648410675365,0,0.00808227746397621,0.148453055750301,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.279192711752923,0,0,0,0.154842281897021,0.175751777596142,0,0,0,0,0,0,0,0,0.0094549135287835,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.361833760460909,0,0,0,0.342120121451145,0,0.0852578658318612,0,0,0,0,0,0.214064680408393,0,0.00484753093943682,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.340944128474493,0.0834986351203059,0,0,0,0,0,0,0,0,0,0,-0.0250507796431828,0,0.00563783278244128,0.162815413484969,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.134447955115583,0.0772299359252378,0.0237847383913474,0,0,0,0,0,0.0965485208316776,0,0.0781329973646868,0,0.0345177310454538,0,0,-0.00715680720034998,0.104897181423181,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.480386885372287,0.0998734671776609,0,0,0,0,0,0,0,0.112025784845803,0,0,0.18651796896185,-0.0730542449452587,1.73472347597681e-18,0.100881681854204,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.199356701620007,0,0,0,0.316360103229449,0,0,0,0.172727937510619,0,0,0.177517828534711,0,0,-0.0160862210202583,0.0710721118968232,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134059675386214,0,0,0,0,0,0,0,0,0,0,0,0,-0.216529123076561,0,0,0
VXFXI.INDEX,0,0,0,0.67676361865478,0,0,0,0,0,-0.601561541158859,0.215730855349328,0.368502181770468,0,-0.201050221189375,0,0,0,0,0,0,0,0,0,0,-0.324582377016254,-4.35799064911363,0,-0.296608833258938,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,6.28254895858326e-07,0,0,0,0,0,0,0,0,1.62439940874022e-07,0,2.98737827124212e-06,0,0,-3.38227557799396e-07,0,0.999994735854109,0.999997447154168
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22226612874368e-06,0,0,0,0,0,0,0,0,8.24392590225733e-07,0.999970503900109,0,-0.999941965860469
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999985293931876,-0.999976773325678,0
