,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0.0816377412405931,0,0,0,0,0,0,0,0.0315288462391951,0.203289091624359,0,0,0.172187424935926,0,0,0,0,0,0,0.0659302468220947,0,0,0,0,0.089576689873556,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149232229829021,0,0,0.0781493753675269,0,0.00961676942157393,0,0,0,0,0,0.217290785913825,0,0.00116209207234458,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376793644000099,0,0.0103238725976142,0.106270044712262,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0423321177843152,0.078602669358237,0,0,0.0532825550785208,0,0,0,0,0,0.00132582274382272,0.0922052562973426,0,0.128605019869245,0,-0.0059618265288573,0.162734898428239,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.376004570874072,0.0521332993090076,0,0,0,0,0,0,0,0,0.0659314225938723,0,0.0719951497977461,0,0.000862205138452268,0.057094603864513,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.146978897851304,0.155902929073557,0,0,0,0,0,0,0,0.131361147930605,0.0415365122854545,0,0.184099010162874,0,0.0029940247646434,0.00903645450178626,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113209586640427,0,0,0,0,0.0418992486141789,0,0,0.221978220312861,0,0,0.0315940909892146,0,0
X601988.CH.EQUITY,0,0,0.0729206189380196,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0631628551080377,0,4.33680868994202e-19,0,0,0.098819202024334,0.0322871246437419,0,0.124032377154575,0,0,0.0175499278940988,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.15314609165211,0,0.0925574131518246,0.00208529126808337,0,0.137126698495376,0,0,0,0,0,0.0792762098248375,0.114430409907446,0,0.0307339179790759,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0409073099332451,0,0.174267212522483,0,0,0,0.406365147382123,0,0.0157734936045927,0,0,0,0,0,0.0735782281584241,0,0,-0.0156937800990469,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.422019464426085,0,0,0,0,0,0,0.0421807134218487,0,0,0.292431420050336,0,0,0,-0.013586273173935,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.319137076417362,0,0,0,0,0,0,0,0,0,0,0,0.245018769956135,0,0,0,-0.00449849856708176,0.0714903369144365,0.0235184470063915,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00552199501169081,0,0,0.172363602585953,0,0,0,0,0,0.064727928370273,0,0.230430029296362,0.329491569858775,0,0.210161850450246,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.41127145493619,0,0,0,0,0,0,0,0,0,0,0,0.260283981026098,0,0.0223039694243286,0.106283966874809,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0522687335332666,0.0115127750696269,0,0,0,0.202346844612316,0,0,0,0.067960246578722,0,0,0.0984611752167151,0,0,0,0,0
X3328.HK.EQUITY,0.210629058556501,0,0,0,0,0,0,0,0,0,0.06659744447448,0.00188860247727081,0.261628032687107,0,0,0,0,0,0,0,0,0.0162555346095021,0.147214864276594,0,0,0,0.000393311206096131,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.14318244227975,0,0,0,0,0.0741963354527278,0,0,0,8.67361737988404e-19,0,0,0.464181224209223,0,0.00848859889157096,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0104507152857161,0.184464363245211,0,0,0,0,0,0,0,0.0233894289558106,0,0,0.180627351058085,0,0,0.0657862479579295,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0811835710162916,0,0,0,0,0,0,0,0.0943471417707914,0.360334683439299,0,0.367302442568884,0,-0.0125996626376743,0,0,0
