,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.408067469888058,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.0263552201534723,0,0,0,0.00341997923734179,0,0,0.0207877292820602
X1398.HK.EQUITY,0,0,0,0.0837171584479474,0,0,0,0.0561097800010109,0,0,0,0,0.145966401475186,0.037881763933576,0,0.340395045812796,0,0,0,0,0,0,0,0,0,0,-0.00771646033557656,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0642097856184915,0,0,0.0412468891506138,0,0.00758904791894123,0,0,0,0.341310455584665,0,0,0,0,0,0,0,0.0182856627219065,0,0.0429076259051623,0
X939.HK.EQUITY,0,0.0349754777878676,0,0,0,0,0,0,0,0,0.109490910769271,0,0,0.134460523863716,0,0.228186890482054,0,0,0,0,0,0,0,0,0,0,-0.010865289180701,0.0331826785066849,0,0.014686273653043
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0551805714418081,0.318200107020653,0,0,0,0,0,0,0,0,0,0.00318957490183626,0.106334925914943,0,0,0,-2.16840434497101e-19,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.184950968699778,0,0.110418889139686,0.0344712737023401,0,0,0,0,0,0,0,0.0173726625324133,0,0,0,0,0.00331847432859622,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.116464123833435,0.0258297017612955,0.0368991592285206,0,0,0,0,0,0.154786844097444,0,0.00199222805893773,0,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.113769808881187,0,0.130779468558544,0,0,0.051387144566833,0,0,0,0,0,0.0254779922536134,0,0,0,0,-0.000559060544949732,0.100592023115997,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189739401326712,0,0,0,0.300342204934953,0,0,0,0.0613480130349802,0,0,0,0,0.00275026646386672,0,0.0179745092430168,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0462012795059179,0.225189027842267,0.0224565974346519,0.0993031296325358,0,0,0,0.0448908225364603,0,0,0,0,0.00631120598628895,0.0953133767937219,0,0,-0.0105096061180398,0,0,0.0241025883711111
