,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0.0344455177616918,0,0,0.194934731444096,0,0,0,0,0.112470364989655,0,0,0,0.0178705961386461,-0.00991965519135103,0,0,1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0.0584394978044777,0.0165035778092855,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0112187587285376,0,0,-0.0283031226439475,0.318057215493562,0,0.0820031856486731,-0.0305939860528379,0,0,0,0,0,0,0,0,0,0,0,0.0444964931576534,0,0,0.0150736375169179
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.138566473560337,0.0110652746451283,0,0.165672621565586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00715062043122454,0,0.00279824607350333,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.139159825858839,0.0464542769287885,0.232151086060986,0,0,0,0,0.082552145482378,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.EQUITY,0.107948554125765,0,0,0,0,0,0,0,0,0.0273231403009177,0,0,0.233897390256608,0,0.00570800082356717,0,0.0535083321372191,0,0,0,0,0,0,0,0,0,0,0.0191778770719958,0.0207732063138644,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0530406149914142,0.277947341295953,0,0,0,0,0.01665469551312,0.0870827877475999,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.524000557114062,0,0.0319325546819211,0,0,0,0.0317566518642168,0,0,0,0,0,0,0,0,0,0,0.023258713619842,0,0,0,0,0,0,0.0060266938615072
X3988.HK.EQUITY,0,0.00705436223846567,0,0,0,0,0,0,0,0.0932580493158847,0,0,0.0238986586351673,0.0950578684087908,0,0,0.0378026694785333,0,0,0,0.0923203668584558,0,0,0,0,0,-0.0476240815934817,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.0115006475235394,0,0,0,0,0,0,0,0,0,0,0,0.483996845485887,0,0,0,0,0,0,0,0,0.00440231754676529,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.0958859879788819,0,0.394547106544671,0,0,0.249995316866083,0.214348260327572,0.174570077043631,0,0.141618105578847,0,0,0,0,0,0,0.0221291061579963,0,-2.77555756156289e-17,0,0,0,0,0.0381145793831448,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.270980943661122,0,0,0,0,0,0.353465739598819,0.23026763497322,0,0,0,0,0,0,0.180013288607252,0,0,-0.0122846278716836,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.547393898364751,0,0,0,0,0,0,0.0289960346859462,0.0806624465310837,0,0,0,0,0,0,0.0798522634766041,0,0,0.0600101329820774,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.207633238943915,0,0,0,0.394803465816742,0,0,0,0,0,0,0,0,0,0,0,0,0.0180920248632899,0,0.0250626643838117,0
X5.HK.EQUITY,0.08947885555711,0,0,0,0,0,0,0,0,-0.0449380191663325,0,0.00923016817319466,0.450766034259646,0,0,0,0,0,0,0,0,0.252548424979958,0,0,0,0,-0.0546355563606846,0,0,0.0776824021802673
X388.HK.EQUITY,0,0,0,0,0.193910947315304,0,0,0,0,0.297378467506965,0.176164737545868,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.124469256925308,0,-0.183167772499029,0,0,0,0,-0.0968168494608703
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.162493158958038,0.124862472550192,0,0,0,0,0,0.427324915636295,0,0,0,0,0.070005282766149,0.21559476957366,0,0,0,0.0539951483772837,0,0,-0.0380918106868683
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.123401536194511,0,0.145380436869759,0,0,0,0,0,0.665221949161224,0,0,0,0,0,0,0,0,0,0,0,0.0909552482215144,0,0.0302335604865655
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.106150703259053,0.068779213000737,-3.46944695195361e-18,0.21831752305418,0,0,0,0,0.0924429780910083,0,0,0,0,0,0,0,0.122108387148561,0,0,0,0,0
X3328.HK.EQUITY,0,-0.0372954857124952,0,0,0,0,0,0,0,0,-0.0363241039502297,0,0.236782367780896,0,0,0,0.096172102197606,0,0,0,0,0,0,0,0,0,0,0.0952422273091236,0,0
X601328.CH.EQUITY,0,0,0,0,0.0273452315544731,0.0880349804472821,0,0,0,0,0,0.133027234682699,0,0,0,0.0941225398800999,0,0.064095561046327,0,0,0,0,0,0,0,0,0.00984743073150339,0,0.00290763311307709,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0507195864164694,0.00889737200971548,0.188806342416612,0,0,0,0,0.00699984388492221,-3.46944695195361e-18,0,0.0792134396274135,0,0,0,0,0.152833612595157,0,0,0.0262659156291714,0.0306410862907541,0
X000002.CH.EQUITY,0,0,0,0,0,0.190625791791336,0,0,0,0.0939336734961407,0.0191513222091955,0,0,0,0,0.0715711377474249,0,0.0968899637631039,0,0,0,0,0.0133280791011472,0,0,0,0.0147961330001563,0,0,0.0761321853133111
X601319.CH.EQUITY,0,0,0,0,0,0.166769246781823,0.0238525529609067,0,0,0.0181957917296608,0,0,0,0,0,0.0807184079156487,0.247301709981624,0,0,0,0,0,0,0.393781796507341,0,0,0.0489424270734553,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0717274609025533,0.0420741952116486,0.173274946533957,0,0,0,0,0,0.0315316829303902,0,0,0,0,0.417701654680736,0,0,0,0,0,-0.0217439373727333,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0891341592893179,0.0444551295015524,0.0394313822777262,0,0,0,0,0.120791555799813,0.213360323214925,0,0,0.14543681725767,0,0,0,0,0,-0.0308398603317317,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0.18623653840866,0,3.46944695195361e-18,0,-0.0232093154200075,0,0,0,0,0.0786378566001362,0,0,0,0,0,0,0,0,0,-0.106653300999875,0.0150251295043593,0,0.00294037932749209
VXFXI.INDEX,0,0,0,0,0,0,0,0.602719487048446,0,0,0,-0.281723936469998,0,0,0,0,0,0,0,0,0,0.313724514969626,0.073156629112313,0.270392666813284,0,-2.5499092131234,0,0,0,-0.428591702616984
CN10YR,0,0,0,0,0,0,0,0,0,3.21950019305e-07,0,0,5.64531744546808e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999982455589935,0.999978131067883
CN2YR,0,0,0,0,0,0,0,0,0,0,5.42878208290124e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.48097065318018e-07,0.999995285624883,0,-0.99999433922319
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4810534511559e-07,0,0,0,0,0,0,0,0,0,0,0.999963160357242,-0.999975176054124,0
