,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0316737027909128,0,0,0,0.0495957086510769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00921434783310878,0,0.00953426585418566,0,0.104791016571256,0,-0.0130176364930797,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.631698236905719,0,0,0,0,0,0,0,0,0,0,0,0,0.0106855757375139,0,0,0.00196231552182069,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.131983938897445,0,0.059712625985006,0,0,0,0.0138057860756037,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363591003211243,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116781529333367,0,0,0,0.194521786768822,0,0,0,0,0,0,0.316361467839879,0,-0.0549729281473147,0,0,0
X939.HK.EQUITY,0,0.66038914669188,0,0,0,0,0.0256535791662605,0,0,0,0,0,0,0,0,0,0,0.0568941517170846,0,0,0,0,0,0,0,0,0.00764477100063205,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.178883866464575,0,0,0,0,0.0242278363033689,0.14863496656851,0.0583311148679246,0,0,0,0.054922562734301,0.0241310914981982,0,0,-0.0294959790481647,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.16904285497685,0,0,0,0,0.376487453414108,0,0.0306943072558519,0,0,0,0,0.255664747082992,0.598192498933353,0,0.113930192969425,0,-0.107671906533683,-0.296360498017674,0,0
X2628.HK.EQUITY,0,0,0,0.0473662985801458,0,0,0.269626138642804,0,0,0,0,0,0.154172018339364,0,0.227013165928228,0,3.46944695195361e-18,0,0,0,0,0,0.148570593324461,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.14941704198981,0,0,0,0,0,0,0,0,0,0,0,0.0084149564012335,0,0,0.0365576242576443,0.00865330243830663,0.0234503328359177,0,0.107281485356828,0,-0.00921123370653139,0,0,0
X600036.CH.EQUITY,0,0,0,0.166166060005158,0,0,0.145044832984834,0,0,0,0,0,0,0.0127714232559086,0,0,0,0.247021717514467,0,0,0.136020310703001,0,0.0070073475654865,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.125574670330887,0,0,0,0.201275692847593,0,0,0,0.00472947641269714,0,0,0,0,0,0,0,0,0.0739507696187403,0.058022581169471,-6.93889390390723e-18,0,0.0197333709924675,-0.00705990098922758,-0.0334335148201998,0
X3988.HK.EQUITY,0,0.417496915645263,0,0.0943495243231743,0,0,0.0525652525070245,0,0,0,0,0,0,0,0.0621284804106886,0,0,0,0,0,0.018465629285705,0.0178418653766859,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0830200347228065,0,0,0,0,0,0,0.0737231724799385,0.301299191926146,0,0,0,0,0,0,0.0811462917308606,0,0,0,0,0.0526155442570979,0,-0.121790306307601,0.142346276730015
