,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.46086574698492,0,0,0,0,0,0,0,0.137389637213702,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00252742290179913,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.377972637263652,0,0,0,0,0,0,0,0.0634410756006164,0,0,0,0,0,0,0,0.0076645487465258,0,0,0,0,0.00910826638326593,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0442687037406234,0.195597000231338,0,0,0.107079268807657,0,0,0,0,0,0,0,0,0,0.0104519725506527,0,0,0
X2318.HK.EQUITY,0,0,0.121275120605313,0,0,0,0,0,0,0,0,0,0.135603510470629,0.0448788069978094,0,0,0,0,0,0,0,0,0,0,0,0,-0.00508973841195338,0,0,0
X939.HK.EQUITY,0.402183362446207,0,0,0,0,0.0827500731472512,0,0,0,0.0600302276772736,0,0,0,0.0229378392765914,0,0,0,0.00934034795225538,0,0,0,0,0,0,0,0,0.0031762882209633,0,0,0
X601939.CH.EQUITY,0,0.34209533838813,0,0,0,0,0,0,0,0,0,0,0,0.0940156301581872,0,0,0.0818393812724505,0.00290575575570121,0,0,0,0.072412744835561,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.145591968356926,0,0,0,0,0,0,0,0.0878844680927577,0,0,0,0,0,0,0,0.0636561611765624,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0.0470704707417846,0,0,0,0,0.161144408222957,0,0,0,-0.0169638864557003,0,0,0,0,0,0,0,0.0294982908946555,0.0691336310030842,0,0,0,0,0,0.0216704461952691,0
X601988.CH.EQUITY,0,0,0,0,0,0.222605405008268,0,0,0,0,0,0,0,0.0633291519334431,0,0,0.0534006789242405,0.0107533636121637,0,0,0,4.33680868994202e-19,0,0.0376525818780478,0,0,0.00835252610189916,0,0,0
X3988.HK.EQUITY,0.198918578583701,0,0,0,0.141243581432207,0,0,0,0,0,0,0,0.122508274892105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446250848120285,0,-1.0842021724855e-19,0
