,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0.430122705997056,0,0,0,0,0,0,0,0,0,0.0678009007328906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158406438308777,0,0,0
X601398.CH.EQUITY,0,0,0,0.458098550810384,0,0,0,0,0,0,0,0,0,0.00916098280352647,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0826841287360667,0,0,0.00870018409083417,0,0,0
X939.HK.EQUITY,0.137182944902972,0,0,0.10199916756992,0,0,0,0,0.150355984402265,0,0,0,0,0.000665834607920968,0,0,0,0.0117926369344151,0,0,0,0,0,0,0,0,0.00575999788216662,0,0,0
X601939.CH.EQUITY,0,0.191014339207444,0,0,0.0316417682406434,0,0,0,0,0,0.0287670272470994,0,0,0.0411720775606329,0,0,0.105399106253675,0.00433294899020151,0,0,0,0.0691806068277693,0,0.0728636650682741,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0837021445357624,0.190869721795555,0,0,0.178651953147046,0,0,0,0,0,0,0,0,0,0.00247098452158312,0,0,0
X2318.HK.EQUITY,0,0,0,0,0.174038171681663,0,0,0,0,0,0,0,0.134304499503987,0.0691811301576597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0.105399217589198,0,0,0,0,0,0,0,0,0,0.0831520050877258,0,0,0,0,0,0,0,0.088162118208232,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.00753699952527694,0,0,0,0,0,0,0,0.180353656524772,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0.0168739369476451,0.0241016148173143,0,0,0,0,0,0.0127517502723981,0
X3988.HK.EQUITY,0.208913820622235,0,0.135803168849723,0,0,0,0,0,0,0,0,0,0.118091072418878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00434397338486923,0,0,0
X601988.CH.EQUITY,0,0,0,0.0447913258390136,0,0,0,0,0,0,0,0,0,0.026053140270624,0,0,0.127820164006425,0,0,0,0,0,0,0.0814683385484218,0,0,0.00971669657337275,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.156098611716341,0,0,0,0,0,0,0,0,0,0,0,0.315946068096384,0,0,0,0,0,0,0.0115960066305982,0,0,0.0179656831821754,0,0,0
