,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.0189078293858228,0,0,0,0,0,0.161300141482488,0.0558985455289616,0.0216895492450714,0.0410379583047024,0,0,0,0,0,0,0,0,0,0,0,0,-0.00811335264301242,0,0,0.0319967135135413
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380299673909873,0,0,0,0,0,0,0,0,0,0,0.00175453003419285,0.0148573819337543,0,0
X601318.CH.EQUITY,0,0,0,0.0677710164284926,0,0,0,0,0,0,0.0115711991801143,0,0,0.199944605584458,0,0,0,0,0.193462766848472,0.00651260879009692,0,0,0,0,0,0,-0.0191973751487467,0,0,0
X2318.HK.EQUITY,0,0,0.195385609449166,0,0,0,0,0,0,0,0,0.0295115426462856,0.311848198259376,0,0,0,0,0,0,0,0,0,0,0.103825953400191,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.195797661621161,0,0.0563522837663658,0,0,0,0,0,0,0,0,0,0.00809227291637611,0.022977109864798,0,0,-0.00133613238988356,0,0,0.031569684266896
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0170379063813785,0.246757379776986,0,0,0.0261809454981576,0,0,0,0,0,0,0.00622616511296404,0.0398108155601641,0,0,-0.000520741058824149,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0125795661085988,0,0,0.0576363323597873,0,0,0.144960036059278,0,0,0,0,0,0.0618096595611824,0,0,0,0,0.027375260691074,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0742156856152239,0.0879264846239702,0,0,0,0,0,0,0,0,0.0580008392689365,0,0.0637291420801045,0,0,-0.00141692573363499,0.0223533409238052,0,0
X601988.CH.EQUITY,0,0,0.110901721544552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364821488884566,0,0,0,0.0971935143615543,0.115349108286615,0,0,0.00553718213368379,0,0,0
X3988.HK.EQUITY,0,0.0930720021381723,0,0,0,0,0,0,0,0,0,0.0922898915957321,0.102886612103351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.403596068654744,0,0,0,0,0,0,0,0,0,0,0,0,0.162229636730413,0.106910485521495,0,0,0,0,0,0,0,0,0,-0.00136384964529531,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0195386463132567,0,0,0,0,0,0,0,0,0.0721346974467999,0,0,0,0,0,0,0.0678057062999312,0,0.170552797639834,0.451168696966944,0,0,-0.0024167853530809,0,0,0
X2628.HK.EQUITY,0,0,0,0.235078382852627,0,0,0,0,0,0,0.0133464726001297,0,0,0,0,0,0,0,0.138311543315781,0,0,0,0,0,0,0,-0.00209450302842278,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815172347650683,0,0.255885588705785,0.393742780285581,0,0,0,0,0,0,-0.00127150517086404,0,0,0
X601328.CH.EQUITY,0,0,0.0257268018225315,0,0.0415002795666822,0,0,0,0,0,0.125010023436089,0,0,0,0,0.0668771763133005,0,0,0,0,0.0107126937754321,0,4.33680868994202e-19,0,0,0,-0.00496598738462817,1.73472347597681e-18,0,0
X3328.HK.EQUITY,0,0.214022673861274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875872281749996,0,0,-0.00457255161574793,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.243456460628144,0,0,0.107715468916152,0,0,0,0.0247353708888017,0,0,0.0204319012592985,0,0,0,0,0,2.71050543121376e-20,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.131723452515227,0,0,0,0,0.172040866287879,0.223620009517571,0,0,0,0,0,0.0369850567874048,0,0,0,0.00280812189286506,0,0,0
X601319.CH.EQUITY,0,0,0.329845680348967,0,0,0,0,0,0,0,0,0,0.112188869056865,0,0,0,0,0,0,0.32776141021949,0,0,0,0,0,0,0.0184144713672124,0,0,0
X601601.CH.EQUITY,0,0,0.090514387372791,0,0,0,0,0,0,0,0,0,0,0.484780515104711,0,0,0,0,0.0714362398646533,0,0,0,0,0.0822187558892449,0,0,0,0,0,0
