,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0160308002944338,0,0,0.297009951116824,0,0,0,0,0.0488148366535878,0,0,0,0.041257019859353,0,0,0.00109298613190425,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.00754051982772325,0,0,0,0,0.123215218788135,0,0.0811134065565001,0.0121414787240859,0,0,0,0,0,0,0,0,0,0,0,0,-0.000920309288835673,0,0,0
X2318.HK.EQUITY,0,0,0,0.0576509573780656,0,0,0,0,0,0,0,0.0188955846304545,0.315104157653919,0,0,0,0,0,0.0299598332422554,0,0,0,0,0.0531632854510133,0,0,-0.00159566608347147,0,0,0
X601318.CH.EQUITY,0,0,0.0783334305687185,0,0,0,0,0,0,0,0.108662859581941,0.0113181016364639,0,0.180515564006154,0,0,0,0,0.163533999725979,0.0337628746274974,0,0,0,0,0,0,-0.00384677942416198,0,0,0
X939.HK.EQUITY,0.0441387139264294,0,0,0,0,0,0,0,0,0,0,0.108427474284107,0.0932643163768132,0,0.00830572551123646,0,0,0,0,0,0,0.0118794017158531,0,0.159898448458109,0,0,0.0014904852257062,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0523347288073937,-1.73472347597681e-18,0.106031105207864,0,0.0219538645439372,0.0475868409650817,0.111292055601101,0,0,0,0,0.0743311483495993,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167857560662937,0,0,0,0,0.0668494648094097,0,0,0,0,0,0.0178686498846411,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0283293693833374,0.0864971700176173,0,0,0,0,0,0,0,0,0,0,0,0.175259684068051,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.130108647183965,0,0,0,0,0,0,0,0,0,0.00278708765512058,0,0.0816366049236528,0,0.0739522406883773,0,0,0.0369231707335432,0.0263004526623115,0,0,0,0.00339910682937001,0,0,0
X3988.HK.EQUITY,0.0621855593152986,0,0,0,0,0,0,0,0,0,0,0.0838987986513301,0.0631673765019208,0,0.027254090138949,0,0,0,0,0,0,0.0215420652955812,0,0,0,0,0.00282822383186166,0,0,0
X600036.CH.EQUITY,0,0,0,0.322673976379048,0,0,0,0,0,0,0,0,0,0,0.185836520152026,0,0.0593391203819465,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123221574757807,0,0,0,0,0,0,0,0.283839143454231,0,0.347720823440356,0,0,-0.00409485534129446,0,0,0
X2628.HK.EQUITY,0,0,0.127488594767924,0,0,0,0,0,0,0,0.0677532789029604,0.250760766684177,0,0,0.00478322212286646,0,0,0,0.194964828888856,0,0,0.0934359901867866,0,0,0,0,0,0.044945556895483,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115450419443093,0,0.298959517413947,0.406282164261395,0,0,0,0,0,0,-0.00144126626186493,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0427548777932234,0,0.0074817878543901,0,0,0,0,0,0,0,0,0,0.076374426371582,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.0343646995747849,0,0,0,0,0,0,0.037059778039436,0,0.118231750252794,0,0,0.0838988936936272,0,0,0.00859619019362295,0,0,0,0,0,0.00310838044172014,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.155167747354728,0,0,0.103916174962793,0,0,0,0.226826528493907,0,0,0.135532235795534,0,0,0,0,0,-0.00124189148480788,0,0,0
