,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.0160689783975514,0,0,0,0,0,0,0,0.0266263391897233,0.0806356949090735,0,0,0,0.0541231036672226,0.0770379260880401,0,0,0,0,0,0,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0322000274979095,0,0,0,0.302409538769059,0,0,0,0,0,0,0,0,0,0,8.50109083919606e-05,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0818062665441476,0.015883368696527,0,0,0.0183102901147935,0,0,0,0.0765498808444575,0,0.0348396857262585,0,0.0632140475747442,0.0414395819294322,0,-0.00509049453039891,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0401487943157839,0,0,0.206160714492215,0,0,0,0,0,0.112208354872728,0,0,0,0,0.0708724250401599,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0033706983604407,-6.93889390390723e-18,0.164781901277435,0.0967171850623464,0.0628247662241744,0.0417486431432163,0,0.00868115988854799,0,0,0,0.0666616412657741,0,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.128166366023121,0,0,0,0,0,0.0910684844016472,0.0249894365899713,0,0,0,0.0670582059826966,0.019981049054039,0,0.00113503642300253,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0312186508862295,0,0,0.107826043402393,0,0,0,0,0,0,0,0.00669624251506343,0,0,0.0306559961039142,0,0.00170361343561047,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0356990372412117,0.106819420692924,0,0,0,0,0,0,0,0,0,0.180286066647613,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.10723694951123,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.00474750537648073,0.113878237053693,0,0.0370274470630478,0,0,0.0796639290776246,0,0,0.0158145952519482,0,0.00287816351587891,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.08210041458321,0.0520221949878677,0,0,0,0,0,0.0122403040997932,0,0,0.020926699529044,0,0.0517213651439229,0.0416373488485079,0,0.00360017320114725,0,0,0
X600036.CH.EQUITY,0,0,0,0.369224905602721,0,0,0,0,0,0,0,0,0,0,0,0.0862515146974285,0,0,0,0.0390055532468965,0,0,0,0,0,0,-0.000466698617028117,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.03126530353463,0.138493933574817,0,0,0,0,0,0,0,0.254454568036187,0,0.300553803752174,0,0,-0.00527227577370484,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.133863759398424,0.193718515903303,0,0,0,0,0,0,0,0,0,0.115321048420314,0,0,0.0874999011720002,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0882747999615529,0,0,0,0,0,0.0785671235786093,0,0.067552998835647,0.377064439058258,0,0,0,0,0.0841189892199734,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.0346884320258784,0,0,0,0,0,0,0,0.0447518934456167,0,0,0.0316450379416536,0,0.0432610390921943,0,0,0,0,0,0,0.113347705654435,0,0.00321020954747907,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0630095038727053,0,4.33680868994202e-19,0,0,0,0,0,0.0371469535202249,0,0,0,0,0.142561150762549,0.0606499688543756,0,0.00295158416954197,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219048680440191,0,0,0,0.256424279472701,0,0,0.115157665314123,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.116121296899364,0,0,0,0,0.158272535826342,0.143549666683945,0,0,0.128742049206347,0,0,0,0,0,0,0.00209398812385493,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979827706222977,0,0,0,0,0,0.069894508353415,0,0,0,0,0.416047362607157,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0.242845899094911,0,0,0,0,0,0,0,0,0,0.444804389879487,0,0.0448854248779845,0,0,0,0,0,0,0,0,0,0,-0.000180432197431228,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190983110204946,0,0,0,0,0,0,0,0,0,0,0.120760491917048,0,-0.000541592993837625,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.359179717649176,0,0,0,0,0,0,0,0,0,0,0,0.297872717097947,0,0,-0.0264567005494157,0,0,0
X11.HK.EQUITY,0,0.00998751506442554,0,0,0,0,0,0,0,0,0,0.224617666361912,0,0.0055497272553593,0,0,0,0,0,0,0,0.0940797058434859,0,0,0.0648377546480188,0,-0.0141587644736671,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.303879059101456,0,0,0,0.071959529564523,0,0,0,0,0,0.195631831950388,0,0,0,0,-0.00906527067361156,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584306719307127,0,0,0,0,0,0,0,-0.00582289375675045,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116193170966529,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.47926017245781,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.87226814095927e-07,0,0.999951336195121,0.99995759368009
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17091042768459e-07,0.999926441284094,0,-0.999905569519734
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88635435997139e-07,0.999966025974074,-0.999952008179891,0
