,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0.0537853768536175,0,0,0,0,0,0,0.062890576290522,0.00167978570373877,0,0,0,0.085583356180093,0.0664349248005638,0,0,0,0.0597326953231707,0,0,0,0.00128383875091944,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0516895175049954,0,0,0.344515054134445,0,0,0,0,0,0,0,0,0,0.0149591663080388,0,0.00174758904728449,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.160855639504145,0,0,0,0,0,0,0.1240348414971,0,0,0,0,0.0797611397462949,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0766979770904254,0,0.0582394990713678,0.0682951992625182,0,0,0,0,0.0548559538969012,0.0501746913571748,0,0,0.0234140699060281,0.0648585557484956,0,-0.00693272412790147,0,0,0
X939.HK.EQUITY,0,0.0640452097801674,0,0,0,0,0,0,0,0,0,0,0,0.123962651287456,0,0,0,0.0968704178088029,0,0,0,0,0,0.0532536095967986,0.02763448886225,0,0.00107952461037575,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.006177086480313,0,0.092739358681653,0.167772030134511,0.0375595821839763,0.0643680189392926,0,0,0.0173858762583501,0,0.0628724665866464,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.103293220417445,0,0,0,0,0.0482147639288486,0,0,0.0143346686413374,0,0,0,0,0,0.00108237190996039,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0305090262936378,0,0.134703795173583,0,0,0,0,0,0,0,0,0.179143702090497,0,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.142169952024507,0,-8.67361737988404e-19,0.0280795973252038,0,0,0,0,0.000570761697902499,0.0251254540138109,0,0,0.0332992408774123,0.0043833014483681,0,0.00463057438152512,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.109127011286998,0,0,0,0,0,0,0,0,0,0.00601346900968662,0,0.103671569315314,0.045053704962733,0,0,0.0520108913214218,0,0,0,0.0217044151845611,0,0.00336605400467647,0,0,0
X600036.CH.EQUITY,0,0,0.344201634300617,0,0,0,0,0,0,0,0,0,0,0,0.108044765525091,0,0,0.0858676656953045,0.0326208174102507,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0594663194127442,0.078771064749849,0,0,0,0,0,0,0.267959702478989,0,0,0.195092848714366,0.0419177955649761,0,-0.0069032463968728,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0183997171361339,0,0,0,0,0,0.0529231007892668,0.20043383342688,0,0.322130066898041,0,0,0,0,0,0,0.00140975721260241,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.105597587420094,0.180683091792405,0,0,0.0125650808418653,0,0,2.16840434497101e-19,0,0,0.153267460394917,0,0,0,0.12647575464872,0,0,0,0,0
X3328.HK.EQUITY,0,0.135144752947153,0,0,0,0,0,0,0,0,0.0910277265882802,0,0,4.33680868994202e-19,0,0,0,0.0771777526823837,0,0,0,0,0,0.0923932451641581,0.00727644766741917,0,0.00373827075049575,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.0348582513131986,0,0,0,0,0.0481911630517883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122800911897589,0,0.00435800444581483,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.131869496658779,0,0.170242622449586,0,0,0,0,0,0.205283254765932,0.0472422584028139,0,0.022196277511946,0,0,0,0,0.00164153962677117,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.119294034999956,0,0,0,0,0,0,0.0403575628904065,0,0,0,0,0.355019845216144,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.116122125506375,0,0,0,0.158272022403586,0,0.14354968586474,0,0,0.128741791490417,0,0,0,0,0,0,0.0020939625731951,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.499093227857661,0,0.099085511963357,0,0.0806287078367429,0,0,0,0,0,0,0,0,0,-0.00569692187211725,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.391189901064927,0,0,0,0,0,0,0,0,0,0,0.175852034752804,0,0,0,-0.0245481494505748,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.138435060388488,0,0,0,0,0,0,0,0,0,0,0,0.102804529804692,0,-0.00167468911153306,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.378358424503476,0,0,0.00332310711645033,0,0,0,0,0,0.112448435039807,0,0,0,0.00349424783773952,0,-0.012929553563797,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.200506103091253,0,0,0.0737674393630835,0,0,0,0,0,0.222059469055305,0,0,0,0,0,-0.00943929983476472,0,0,0
