,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.176899665268205,0,0,0,0,0,0,0.00336016922983233,0,0,0,0,0,0.0515243747477337,0.127814120967974,0.00340414210160154,0,0,0,0.0179044636939596,0,0,-0.000824581517738572,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.247247533291575,0,0,0,0,0,0.0864719714709419,0,0.138777331593802,0,0,0,0,0,0,0,0,0,0,0,0,-0.00621085350462066,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0326449335274771,0.0202225680870915,0.0737418903373052,0,0,0,0,0,0,0.112242313221854,0.164052686445449,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0.0278499539804489,0,0,0,0,0,0,0,0,0.174438284237702,0,0.119678716344549,0,0,0,0,0,0,0.0277074214168694,0,0,0,0.0229869821124287,0,-0.00410257536556854,0,0,0
X601939.CH.EQUITY,0.232904838488575,0,0,0,0,0,0,0,0,0,0,0,0,0.110466321792765,0,0,0.0581195541548722,0,0,0.140484184688522,0,0,0,0,0.0441963152923115,0,-0.00525525496167444,0.0322213008942856,0,0
X939.HK.EQUITY,0,0.0210329964960162,0,0,0,0,0,0,0,0,0,0.00821790888271611,0,0.153324503477189,0,0,0,0,0.0659607175098035,0,0,0,0,0,0.123215028000134,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025118416641639,0.012907230699427,0,0,0.0461753817492999,0.119254896606507,0.0269530493648006,0,0,0,0,0,0,-0.00405436925435422,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0403307218919952,0,0.134931075738063,0,0,0,0,0.015547374824849,0,0,0,0,0.205569184550025,0.0153518133866095,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148345106620238,0,0,0,0,0,0,0.0244161392065022,0,0.0256246564114719,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923693672569362,0,0,0,0.0830459800688647,0.0294172689808135,0,0,0,0,0,0,-0.0151464226298379,0,0,0
X600036.CH.EQUITY,0,0,0.187924884741512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149484230451238,0,0,0.121822406344101,0,0.0535136864631171,0,0,0,0.00877623525268851,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.142253562609302,0,0,0,0,0,0,0,0,0,0.205665714566201,0.16473043706342,0.190554995191285,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.038305922267715,0,0,0,0.0327775188578559,0,0,0,0.299369056486075,0,0.290273442717586,0,0,0,0,0,0.00634529245036497,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0026191120513726,0,0,0,0,0,0,0.133071276567197,0,0.0298718941435463,0,0.227990693285023,0,0,0,0.00295327711666089,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.223311041243407,0,0,0,0,0,0.0467441936677119,0.188844826770784,0.117954505691023,0.00715923085320884,0,0,0,0,-0.0115628744586501,0,0,0
X3328.HK.EQUITY,0,0.034818580199834,0,0,0,0,0,0,0,0,0,0,0,0.0808215721250331,0,0,0,0,0.113253167966182,0,0,0,0,0,0.044943408100177,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.0341206250304116,0,0,0,0,0,0,0,0,0,0,0,0,0.088678454111268,0.102637614637781,0.015614486064381,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.207750806198233,0,0,0.0989739961222518,0,0,0,0,0.0947796280299108,0.122724851773418,0,0,0,0,0,0,-0.0176087227630845,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.262226786779411,0.239441035891003,0,0,0,0,0,0.00132143731315161,0,0,0.0190559970709351,0,0,0,-0.000321219322461907,0,0,0
X000001.CH.EQUITY,0,0,0.231550347599218,0,0,0,0,0,0,0,0.0564468134629827,0,0.0594393530996081,0,0,0,0,0,0,0,0.10909367011528,0,0,0,0,0,0.00440416573630599,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.622479803838789,0,0,0,0,0,0,0.106282298820579,0,0.0483022680529259,0,0,0,0,-0.000772008936253052,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118392565819275,0.206646016196636,0,0,0,0,0,-0.00860318045796882,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.197697300580595,0,0.0361520322554234,0,0,0,0,0,0,0,0,0,0.393195438921588,0,0,-0.0379214149376451,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.369482884178534,0,0,0,0,0,0,0,0,0,0,0.153722794832167,0,0,0,-0.0160026597410723,0.0967728684037051,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.250786356333032,0,0.0780991269144719,0,0,0,0,0,0,0.0974708237222557,0,0.165150654680969,0,0,0,-0.0119275893629936,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666816638092467,0,0,0,0,0,0,0,0,0,0.1242403489921,0,0,-0.101234741545672,0,0,0
