,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.112597776027518,0,0,0,0,0,0,0.157016379508147,0,0.130128348984952,0,0,0,0.0566725423488181,0,0,0,3.46944695195361e-18,0,0,0,0,-0.00410285762280417,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.192843396837029,0,0,0,0,0,0,0,3.46944695195361e-18,0.00369216913191707,0,0,0.0563493729348524,0.082544267317442,0.00683611499661554,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0619102982312458,0,0.125919203532917,0.00299054584963547,0,0,0,0,0,0.0798621806896202,0,0,0.13938072553892,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0.132243196957312,0,0,0,0,0,0,0,0,0.143224100202817,0,0.0317342574789462,0,0,0,0,0.0151992414489704,0,0,0,0.0284299968255598,0,0.0585368415845648,0,-0.0131617109438615,0,0,0
X939.HK.EQUITY,0.176084764226589,0,0,0,0,0,0,0,0,0,0,0.0126215240339025,0,0.11151310377836,0,0,0,0,1.73472347597681e-18,0.0086646787521285,0,0.00977694710077694,0,0,0,0,0.00683006435485674,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00174901005676508,0,0.163440730852952,0,0,0,0.0226214505637155,0,0.16355605882018,0,0,0,0,0.0223630543570067,0,-0.00331853457763233,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110700481990493,0,0,0,0.0420603512074609,0.042080894516751,0,0,0,0,0,0,0,-0.000460928374518072,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0356408277132065,0,0.124926435965597,0,0,0,0,0.0056106729653108,0,0,-4.33680868994202e-19,0,0.236430476265758,0.0307540170913009,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106603238318047,0,0,0.0223788251026802,0.0776062180183434,0.00857601855883141,0,0.0182046113949488,0,0,0,0,-0.0126194494053153,0,0,0
X3988.HK.EQUITY,0.207952652411469,0,0,0,0,0,0,0,0,0,0,0,0,0.10099721431514,0,0,0,0,0,0,0,0.0185934081352696,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.150278537276589,0,0,0,0,0,0,0,0,0,0,0.0187628873146329,0,0,0,0.23426993928175,0,0,0,0.0746566123483494,0.0894509588865207,0,0,0,0.0151744849106634,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316222796348691,0,0,0,0,0,0,0,0,0,0.320406920336678,0.166939713231881,0,-0.0171692924557895,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12159057742301,0.0860480147712528,0,0,0,0.185534092880098,0,0,0.06147421657202,0.333863892077302,0,0,0,0.0203711685800248,0,0,0
