,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.49595245084268,0,0,0,0,0,0,0,0.156727727545979,0,0,0,0,0,0,0,0.0580265552812731,1.73472347597681e-18,0,0,0,0,0,0.0153130037627848,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.018963670711135,0.116618549034312,0,0,0,0,0,0,0,0.288933245397012,0,0,0,0,0,0.00664260464216097,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0254175550475114,0.10838059821646,0,0,0,0,0,0,0,0.302513455219188,0,0,0,0,-0.00122755393950914,0.0912161475716811,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0782293493087844,0,0,0,0,0,0,0,0,0,0.030421067566239,0,0,0,-0.00189020114346933,0.124753576326407,0,0
X939.HK.EQUITY,0.473440375450613,0,0,0,0,0,0,0,0,0,0,0,0.0161525098702644,0,0,0,0,0,0,0,0.127886154454409,0,0,0,0.0365113130444322,0,0,0.0500189063879759,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0217199400937669,0.0252667070542821,0,0,0,0,0,0,0,0.265657961583477,0,0,0,0,-0.00553020513126432,0.0630725954362879,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466573465239312,0,0,0,0,0,0,0,0.125355164664651,0,0,0,0,-0.00202439642745076,0.00640819771563489,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0195743001884384,0.158170569423404,0,0,0,0,0,0,0,0.119554554307428,0,0,0,0.0550966370775989,0,0.00241765709773964,0,0,0
X3988.HK.EQUITY,0,0,0,0,0.0497529749821937,0,0,0,0,0,0,0,0.106111370574781,0,0,0,0,0,0,0,0.135987320106239,0,0.0353032702320184,0,0,0,0.00424921078226461,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108577261890322,0,0,0,0,0,0,0.0608283590888567,0.155076750510682,0.0219877549961117,0,0,0,0.000120978071945741,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0738944806839586,0,0,0,0,0,0,0,0,0.283513755871252,0,0,0,0,0.00417995448927322,0.0370339735471631,0,0
X1299.HK.EQUITY,0.0387430332244235,0,0,0,0,0,0,0,0,0,0,0,0.115732847419166,0,0,0,0,0,0,0.0377518803546928,0.144207339978151,0,0.0719766910536336,0,0.116208212568778,0,0,0,0,0
X2628.HK.EQUITY,0.130452092793744,0,0,0,0.0385484508778202,0,0,0,0,0,0,0,0,0.367691653448225,0,0,0,0,0,0,0.091554633470569,0,0,0,0.00327574401637123,0,0.00482238048111143,0.0313458222356266,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.26256857484893,0,0,0,0,0,0,0,0,0,0.0199931177428035,0,0,0,0.00983441142566029,0.145502931410648,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0756371258989418,0,0,0,0,0,0,0,0,0.45719058431446,0.145469777949827,0,0.0784686098303396,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497105775918226,0,0,0,0,0.153767898864337,0,0.0309703995253078,0.125368588760631,0,0,0,0,0.00139497477829252,0,0,0
X3328.HK.EQUITY,0.111328562476753,0,0,0,0,0,0,0,0,0,0,0,0.0837869160104799,0,0,0,0,0,0,0,0.259076882147021,0.0391125351930755,0,0,0,0,0.00182757713095142,0.0895231057693002,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962229381886095,0,0,0.110767035840156,0,-0.00404416780192679,0.279214579242807,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749998242288079,0,0,0,0,0,0,0,0.431835698251655,0,0,0,0,0.00379289539771677,0.0299137039852789,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.288546050761832,0,0,0,0,0,0,0,0,0.0133613506536395,0,0,0,0,0.00597636225685331,0.0406536691877027,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0566875536231362,0,0,0,0,0.280932946291325,0.0944783735676139,0,0.00631619955561002,0.0231633103300007,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.288248283038747,0,0.255820978933182,0,0,0.036212861531734,0.2372955907233,0,0,0,0.0191406240593566,0,0,0,0.00310861452930574,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123193657425105,0,0,0,0.00687090221568341,0,0,0,0.399495474918992,0,0,0,0,0,0.0719949815191634,0,0
