,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0150185965424325,0.156014353841288,0,0,0,0,0,0,0,0,0.151710511735849,-1.73472347597681e-18,0,0,-0.00132374291427863,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0787581010878057,0.258533158581576,0,0,0,0,0,0,0,0,0,0.0974551275398647,0,0,0,-0.00245297500441132,0.0279256255195928,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111598273414598,0,0,0,0,0,0,0,0,0.201451557176605,0,0,0,0,0.066375922249213,0,0
X939.HK.EQUITY,0,0.0811672517592043,0,0,0,0,0,0,0,0,0,0,0.0966533043626193,0,0.125070568300195,0,0,0,0.050991513877432,-4.33680868994202e-19,0,0,0.0650105680706585,0,0,0,-0.00947654425682149,0.0973193705328365,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.145298104224888,0.121426470438121,0,0,0,0,0,0.137055596291774,0,0,0.247742378186766,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.202538938921468,0.21130031649264,0,0,0,0,0,0.0202840694850214,0.0439864786045584,0,0,0.0403422402113518,0,0,0,-0.00202155619531019,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102621781676845,0,0,0,0,0.00660833971489031,0,0,0,0.154672659999854,0.0316705194977893,0,0,0,0.0188157401938636,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.0654087035631057,0,0,0,0,0,0,0.26086657685822,0,0.0265955079762621,0,0,0,0,0.030955005533323,0,0.0753564149845733,0.0542314872345453,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0375226394290406,0,0,0,0,0,0,0,0,0,0.0879765069618955,0.0752739232055233,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.133942101981818,0.213192963092278,0,0,0,0,0,0,0,0,0.0448773202133904,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.244882913486486,0,0,0,0,0,0,0.0460890329641627,0,0,0.144245557032467,0,0,0,0.00305860400001299,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.046546295065122,0,0,0.573383780620637,0,0,0,0,0,0,0,0,0.102189805963573,0,0,0,0,-0.0113591623588513,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.209571196314689,0,0.240894450279463,0,0,0,0,0,0.024109866692822,0,0,0.282769929919583,0,0,0,-0.0043611845029973,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.447947880493714,0,0,0,0,0,0,0,0,0,0.0334668521666362,0,0,0,0.0233998176212411,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0539136976658336,0.280103668324863,0,0,0,0,0,0,0,0,0,0.220982770222917,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0493095171934423,0,0,0,0,0,0,0,0,0,0.149274049907378,0.0747079403322587,0,0,0.00212318418113291,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.197853240086773,0,0,0,0,0,0,0,0,0,0.355497957779732,0,0,0,0.000796478578727878,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0776154819359345,0,0,0,0,0,0,0,0,0,0.197032477299686,0.187281797996022,0,0,0,0.0355385134678385,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.294879626516202,0,0,0,0,0,0,0,0,0,0.214702390323023,0,0,0,-0.0127549519671854,0.0831023351472646,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.112110566114196,0.0480628421959825,0,0,0,0,0,0,0,0,0.187371668819123,0.424683551747078,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.263410689352114,0.177719219238531,0,0,0,0,0,0,0,0,0,0.127077355957911,0,0,0,-0.00826810512745012,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.368124565057494,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000992395015993803,0.0645006374903104,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.361398126513462,0,0,0,0,0,0,0,0,0,0,0.198302147337447,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216514120556627,0,0,0,0,0,0.246907378650265,0,0,0.128167725315906,0,0,0,0,0.0241627816559938,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0583701015940538,0,0,0,0,0,0,0.0554881582416394,0,0,0.172801641263535,0,0,0,-0.0011145986257942,0.0167927385336526,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1696794897347,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.71268199268515,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,2.5450300081175e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7374433684457e-07,0,0.999997475364544,0.999994297726759
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17920490751991e-06,0.999923147248846,0,-0.999839470172134
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02972379599175e-07,0.999951273721187,-0.999916104655386,0
