,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0110931162465158,0.141536155009681,0,0,0.163845937455749,0,0,0,0,0,0.0187756197371518,0,1.73472347597681e-18,0,0.00138623950101928,0,0.0108841704341922,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.264319946529716,0,0,0,0,0,0,0,0.0914847785168561,0,0,0,0.0454145860717816,0,-0.00839773060061007,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0434021151743388,0.038183990957464,0,0,0,0,0,0,0.030534761931041,0,0.0241968958641877,0,0,0,0,0.0423970572666118,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.12889297084746,0,0,0,0,0,0,0,0.160013006125357,0,0,0,0,0,-0.00612446950739733,0.0156445725174413,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.272262738116355,0,0,0,0,0,0,0,0.062525304115315,0,0,0.081569151393948,0.160358550987466,0,-0.00697710891436203,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.226736906069034,0,0,0,0,0,0.0102508105605183,0,0,0,0.11501630173193,0.0622633112646797,0.0709901138060812,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.10761097982765,0,0,0,0,0,0,0,0,0.0851269874324012,0.11641545491041,0,0,-0.00198977022707389,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.362780730746111,0,0,0.0341731414873989,0,0,0,0,0.0134057250832679,0,0,0.0524304731440979,0,0,0,0.00980639468629106,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0427104215733145,0,0,0,0,0,0,0,0,0,0,0.198555724454743,0,0,0,0.00826185849409052,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.207656619483804,0,0,0,0,0,0,0,0.0689452350741345,0,0,0.15462857303662,0.0772664006499061,0,0.00129403486896135,0,0,0
