,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0531435749331791,0,0,0.0900532293055433,0.00614289110476517,0,0,0,0,0,0,0,0,0,0,0,0,-3.3881317890172e-21,0,0.00748896512013728,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.154440130102163,0,0.166178822609138,0,0,0,0,0,0,0,0,0,0,0.0802445347254024,0,0,-0.00122568942231033,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0287112217305903,0.140953750580295,0,0.0881577691270658,0,0,0,0,0,0,0,0,0.0997160488409539,0,0,-0.00276479988592041,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0389244692942318,0.0330243018927276,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0848854170327368,0,0,-0.00567212292125321,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0.0594944672536522,0,0,0,0,0.153785402211858,0,0.223251838582673,0,0,0,0,0.0945555305366405,0,0,0,0,0,0,0,0,-0.00419349165569512,0,0.00347983157785435,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.276150762157597,0,0,0,0,0,0,0.031931724073693,0,0,0.0105600729604946,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.100345678485311,0,0,0.0322809741920705,0.0329374810002724,0,0,0.0170532099712695,0,0,0,0,0,0,0.0328690998785534,0,0,-0.00161341110605873,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.14575577551785,0,0.209863042966891,0,0.105944151038486,0,0,0,0,0,0,0,0,0,0,0,-0.0013766384283649,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0351176937559205,0,0,0,0,0,0,0,0,0,0.165931842169329,0.0315835628037141,0,0,0,0.0107593048870812,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.165201132530355,0.00112953510004345,0,0,0.125738492962813,0,0,0,0,0,0.169286511638646,0.0705508647901651,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.507632899266477,0,0,0,0,0,0,0,0,0,0,0.0372906476611713,0,0,-0.012065150690914,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.198845139326109,0,0,0,0,0.192827788236409,0,0,0,0,0,0.151980973732631,0,0,0,0.191571723803002,0.0287172397630189,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.38026232115098,0,0,0.251051978580241,0,0,0,0,0,0,0,0,0,0.224592706012072,0,0,-0.0215358368767522,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.360932146365952,0,0,0,0,0,0,0,0,0,0,0.0217108514808103,0,0,2.16840434497101e-19,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.289299754335573,0,0,0,0,0,0,0,0,0,0,0.122411291957581,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0286067576031743,0.0521937395164986,0,0.037672750606471,0,0,0,0,0,0,0.0410039362111806,0,0,0,0,0,0,-0.00128649606425098,0,0,0
