,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.212429443279563,0.00991019709647873,0,0.0641619509271284,0,0,0,0,0,0,0,0,0,0,0.137011237854992,0,-0.00322752354495301,0.0465037582294398,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0839675564452093,0,0,0.0069439852459873,0.078633313677547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00704168251416994,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0667861383032647,0,0,0.0116483278060162,0,0,0,0,0,0,0,0,0,0,0.0597403839574428,0,0,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0789642752897232,0.0435374780805963,0,0.0814043723378816,0,0,0,0,0,0,0,0,0,0,0.135253094646164,0,-0.00383437166393602,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.119261741575417,0,0,0.280697125323718,0,0,0,0.014458692791155,0,0,0,0,0,0,0,0,-0.00241979230492256,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29395781951839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0936605914710799,0,0,0.0336071175740782,0.0251760731872175,0,0,0.0513679805294445,0,0,0,0,0,0,0,0.0305696099259365,0,-0.00193855403510964,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.129168424247713,0,0,0.215764775691453,0.096137441905718,0,0,0,0,0,0,0,0,0,0.00849534246008547,0,-0.00180705963758285,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.157844492627159,0,0,0.042919693160162,0,-0.00136470219076001,0.00064021472559637,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.05518728420434,0,0,0.144414519216219,0,0,0.0917957465383269,0,0,0.0136002847657004,0,0.185355207598002,0,0,0.0609374637557284,0,0,0,0,0
