,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00185876414331924,0.0232164948553928,0.257995120437042,0,0.201256007697715,0,0,0,0,0,0,0,0,0.000151961755986044,0,0,-0.00124016417884451,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0877395917344273,0,0,0.0781052232539666,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.35525271560688e-20,0,0.00626405601581612,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0121226903088712,0.0980877004637025,0.0838431506953471,0,0.171339388410789,0,0,0,0,0,0,0,0,0.0581765737242057,0,0,-0.00349269782544426,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0533297197340177,0,0.0353244956676245,0,0,0,0,0,0,0,0,0,0,0.025968090432213,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.294502447603786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.179590428022195,0,0.267389927994166,0,0,0,0,0.028769793641851,0,0,0,0,0,0,0,0,-0.00392765172447345,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367754814820801,0,0,0.177189989498448,0,0,0,0,0,0,0.0435664564840477,0,0,-0.00361213720220787,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131762244975164,0,0.0373971316562739,0,0,-0.00203790233827122,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.123058957736208,0,0.223207607465418,0,0.0952094567851799,0,0,0,0,0,0,0,0,0,0,0,-0.00170002517326378,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0729322946629584,0,0.112591755219872,0.246361953615579,0,0,0,0,0,0,0,0.171265468315204,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.566599048514932,0,0,0,0,0,0,0,0,0,0.0244519810246726,0,0,0,-0.0225700039682037,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.107727884401731,0,0.215320701148002,0,0,0,0,0.118068126692132,0,0,0,0,0,0.0361036242663804,0,0,0.00558075789304804,0.092839205394213,0,0
