,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0.0757751439131773,0.00472924002379379,0,0,0.0765479427386187,0,0,0,0,0.0837941535767776,0,0,0,0,0,0,0,0,0,0,0.00958327857484939,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.191779530172377,0,0,0,0,0,0,0,0,0,0,0,0,0.0416167572237455,0,0,0,0.0178465151108941,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.06796235858285,0.131176766716192,0,0,0,0.102445956822667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00938430064467157,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.15509238972745,0.0744178052522549,0,0,0,0,0,0,0,0.0339838453860153,0,0,0,0,0,0.00949124093222753,0.0141603179090774,0.0569481374277782,0,0,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0.00744040184370773,0,0,0,0,0.215915889785505,0,0,0,0.0386443212367808,0,0,0,0,0,0,0.0293869482249394,0,0,-0.00404433487133327,0,0.00039204500393827,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0377086360540996,0,0.21831603210279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356727018855517,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.127106838384396,0,0,0,0,0,0,0.00943760333858259,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.252658383197271,0,0,0,0,0,0,0.474209420349295,0,0,0,0,0,0,0.0330551553351771,0,0.234626424758479,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.301831578193035,0,0,0,0,0.168332420474244,0,0.043855497160328,0,0.0296326324205555,0,0,0,0,0,0,0,0.0640369913769819,0,-0.0412678587600832,0.0919582377127941,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0337088304886402,0.0481071803504784,0,0,0.0164490662826577,0,0,0,0,0,0,0.491856505021679,0.0307241390822128,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0.0905507269023763,0,0,0,0.0696391893275044,0,0,0,0.0007871123254168,0,0,0,0,0,0,0,0,0,-0.0257963481396911,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0974460434643896,0,0,0,0,0,0,0.0130656258284759,0,0,0,0,0,0.0931636020149369,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.220399760625758,0,0,0,0,0.121201891746397,0,0,0,0,0,0,0,0,0,0,0,0,-0.00426300038459275,0,0.0127250554016178,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.00870068228620285,0,0.0222835935800011,0,0.398437966953628,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079115689823987,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0.209287102406937,0,0,0,0,0,0,0,0.0332359811216891,0,0,0,0,0,0,0,0,0,-0.0530384723564995,0.0791061851110727,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.194753239270115,0,0,0,0,0,0,0,0,0.368547882523613,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.0225210046102065,0,0,0,0,0,0,0.720863684641393,0,0,0,0,0,0,0,0,0,0,-0.044502209355708,0.061385465009226,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162608386717275,0,0,0,0,0,0.110301371947943,0.351850023314689,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.0128532734888144,0,0.0413230825168734,0,0,0,0,0,0,0.0286186007054605,0,0,0,0.0533062628257234,0,0.057444682957874,0,0,0,0,0,0,0
X3328.HK.EQUITY,0.0443878013759349,0,0,0,0,0,0,0,0,0,0.111390749290799,0,0.256036447778224,0,0,0,0.0248809140859479,0,0,0,0,0,0.00561200641263962,0,0,0,-0.00398809627084389,0.0214394080843116,0,0
