,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.144479193332746,0,0,0,0,0,0,0,0,0,0,0,0,0.110170935009116,0.0481241450917766,0,0,0.022389166449573,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0.103531340136706,0,0.0183427260847811,0,0,0.0588447066742631,0,0,0,0.000586603474089213,0,0,0,0,0,0,0,0,0,-0.00124918429835467,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.16549911079688,0.0319960121237541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0584929525364812,0.145757679767483,0,0,0,0,0,0,0,0.0412934789642314,0,0,0,0,0,0,0,0.0713568268048473,0,0,0,0,0
X939.HK.EQUITY,0,0.0969764668803511,0,0,0,0,0,0,0.0105143583879961,0,0,0,0.213871466294786,0,0,0,0.033314163834835,0,0,0,0,0,0.04857738781324,0,0,0,-0.0025393172739874,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0.00460894658371867,0.215072883876417,0,0,0,0,0,0,0.00911831783436218,0,0,0,0,0.0221440107866353,0,0.0488315988004051,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0902400882705268,0,0,0,0,0,0,0.000532341009632159,0.0491179827135722,0,0,0,0,0.0244975021472633,0.0233219838263595,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0.327103868242131,0,0,0,0,0,0.0586344020527576,0,0.0318868660572059,0,0,0,0,0,0,0,0.0526411616294536,0,-0.0510752490492503,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.251655394454107,0,0,0,0,0,0,0,0.477112758859098,6.93889390390723e-18,0,0,0,0,0,0,0,0.199801967930834,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0424407419407821,0,0,0,0,0.0176099258209535,0,0,0.00782182388509348,0,0,0,0,0,0.457253843190493,0,0.0840330705384669,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0931953457388413,0,0,0,0,0,0,0.0237708441442369,0,0,0,0,0,0.00665220608944105,0.113725892798782,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.0937204822304556,0,0,0,0,0.033691216879728,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294283194116109,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.170519556704966,-8.67361737988404e-19,0,0,0,0,0.0950090252559809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329723094969228,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0257476688561832,0.430982817827846,0,0,0,0,0,0,0,0.00775467918546785,0,0,0,0,0,-0.0815876593278823,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.185896943641545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567044725548817,0.0917936975991079,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.214076371861681,0,0,0,0,0,0,0,0.383115229071158,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.0304174193236022,0,0,0,0,0,0,0,0.91258577348156,0,0,0,0,0,0,0,0,0,0,0,0.12348508364092,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.0303326707199144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186521510705375,0.189941803997355,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.117364182244149,0.0840877306338872,0,0,0,0.00969816064458726,0,0,0,0,0,0,0.0209336958799415,0,0,-0.0144705549604788,0.0729951211303784,0.0255533781928565,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.0127214996085107,0.0339126836140476,0,0,0,0,0,0,0.0296813449690834,0,0,0,0,0.0532227675084565,0.00868198443240653,0.0518762897943911,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102964721815425,0,0,0,0,0,0,0.0731106181920261,0.104657175182934,0,0.02524728190598,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.00089804153656373,0.0105028137503447,0.109561074966456,0,0,0,0,0,0,0.0164936794017631,0,0,0,0,0,0.0991080483061915,0.103772979369894,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.106220970535465,0,0.297446053453902,0,0,0,0,0,0.0391783871325976,0.0627473015195378,0.153597061702367,0,0,0,0,0,0.00813332544190911,0.0654721235144733,0,-0.0225946936654907,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.0524068467070018,0,0,0,0,0,0,0,0.196650807075512,0,0,0,0,0,0,0,0,0.521716939982588,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.0385271817940219,0.142681340641167,0,0,0,0,0,0,0,0.0816503830983466,0,0,0,0,0,0,0.212884662704141,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0.0440497400822557,0.0835012916899948,0,0,0,0.0356130578161532,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113008967189628,0,0,0
VXFXI.INDEX,0,0,0,0,0,0.183967013378026,0,0,0,0,0,0,0,0,-0.0150690998508124,0,-0.11782599766611,0.171479543435439,0,0,0.123619585886855,0,0,0,0,-1.02685291099818,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71958266975235e-05,0,0,0,0,0,0,0,0,0,-3.87947767392245e-06,0,0.999656678327881,0.999410261565997
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999990454589397,0,-0.999973133842494
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98438201624368e-05,0,0,0,0,0,0,0,0,0,0,0.99984216821028,-0.999900212829909,0
