,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.182130837177398,0,0,0,0,0,0,0,0,0,0,0,0,0.0710972293048245,0.101238898538911,0,0,0.0231132258330761,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0.0852456431960754,0.00241969315251002,0,0,0,0,0,0,2.16840434497101e-19,0.0799350544411581,0,0,0,0,0,0.0130242673300663,0,0,-0.00369108090893483,0,0.0126121150478036,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.137097809964539,0.0368043513866202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157064173596407,0,0.0904895487425376,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0489237907779381,0.15425327051067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0165300416939551,0,0.194556339648679,0,0,0,0,0,0,0.00931229572672636,0.0648955693617813,0,0,0,0,0,0.0370981089439926,0,0,0,0,0,0
X939.HK.EQUITY,0,0.0780695289321884,0,0,0,0,0,0.0176776469180228,0,0,0,0,0.1881186601495,0,0,0,0.0288276917126208,0,0,0,0,0,0,0.0765338134188614,0,0,-0.00108784927982312,0,0.00658428172810509,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0321383786508589,0,0,0,0,0,0,0.0123980768284206,0.0844450119210131,0,0,0,0,0.074081329466364,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.279949840215834,0,0,0,0,0,0,0.49074213605154,0,0,0,0,0,0,0,0,0.240488191767233,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.328497836462276,0,0,0,0,0,0,0.0569731042883103,0,0.0337174434957288,0,0,0,0,0,0,0,0.0501104383419694,0,-0.0455500245563957,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0592176174328751,0,0,0,0,0,0,0,0,0.014338395732316,0,0,0,0,0,0,0.389024370448811,0.0867844482282285,0,0,0,0,0
