,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.00783587102294038,0,0.163677819996493,0,0,0,0,0,0,0,0,0,0,0,0,0.0549050405053299,0.0596556317853783,0,0,0.0248213211697434,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.15068416971637,0,0.0965890298459396,0,0.0151918160316153,0,0,0,0,0,0,0.0182088856693592,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.16054922365157,0,0,0,0,0,0,0,0.0215400586147404,0,0,0,0,0,0,0.07824720564086,0.100516463822218,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.155266194789601,0.0528099317354064,0,0,0,0.0125257567352075,0.0659268742929181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0.0051962066888746,0.126035503429895,0,0,0,0,0,0,0,0.100844001057199,0,0,0,0,0.0694757940232396,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.249226879838305,0,0,0,0,0,0,0,0,0,0,0.0603884886885057,0,0,0,0.0385208289284189,0,0,0,0,0,0,0,0,0,-0.0195205669249227,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0840769938002747,0,0,0,0,0,0,0.02036320104501,0.052044868998679,0,0,0,0,0,0.0685487320395404,-3.3881317890172e-21,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0.266407063340135,0,0,0,0,0,0.0950725033882521,0,0.0365724621412234,0,0,0,0,0,0,0,0.284122473688802,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.257441271083807,0,0,0,0,0,0,0,0.476213436292854,0,0,0,0,0,0,0,0,0.258716134790761,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0248172785929505,0.0160465406293894,0,0,0,0,0,0,0,3.3881317890172e-21,0,0,0,0,0.0936075329916634,0.338369125905715,0,0,0,-0.0186267137029682,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.103247371151419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316196167375138,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.0285570793368997,0,0,0,0,0.0692068166227616,0,0,0,0,0,0,0.0476080592801597,0.125766040793918,0,0,0,0,0,0.101278226771263,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.150805576761875,0,0,0,0,0,0.0641155993622186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0591042110048153,0.0291066887686226,0,0,0.245357267301505,0,0,0,0,0,0.121431249153298,0,0,0,0,0,0,0,-0.103220552438668,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.125213130778839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.206732967399516,0,0,0,0,0,0,0,0.355211709248188,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0949295297644397,0,0,0,0.115028452203184,0,0,1.11225097770106,0,0,0,0,0,0,0,0,0,0,0,0.0363202289622905,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.0296926514583878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119508333039712,0.168785601666155,0.0127640530761988,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0.0247176043384666,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.188715843561517,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.0129334304863666,0.0411798358434903,0,0,0,0,0,0,0.0284264770347324,0,0,0,0,0.0532276064544986,0,0.0576331312194328,8.67361737988404e-19,0,0,0,0,0
X3328.HK.EQUITY,0,0.115635255886798,0,0,0,0,0,0,0,0,0.0542546018444147,0,0.0603765673063456,0,0,0,0.096140026970525,0,0,0,0,0,0,0,0,0,-0.0163951812286522,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0.00440294307469779,0.186269559171988,0,0,0,0,0,0,0.0183350390366358,0,0,0,0,0,0.0227296158218085,0.0838129094946549,8.67361737988404e-19,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0.00508787754229012,0.244216140678267,0,0,0,0,0,0.173531130762324,0.00436187508873757,0,0,0,0,0,0,0.0657626858296187,0.0991723988439948,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259718868101091,0,0,0,0,0,0,0,0,0.463603655635493,0,0.0166496582425125,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.211104624317103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354297038476113,0,0,0,0,0,0
