,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0156166035976221,0,0,0,0,0,0,0.155122734913894,0.106275727426713,0,0,0,0,0,0,0,0.0278504117489114,0,0.0459103492349251,0.0494721104127077,0,0.0295772222473947,0,0,0,0,0,-0.00913075252440866,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0.070998608766326,0,0,0,0,0,0,0,0,0.017608995499604,0,0,0,0,0,0,0,0,0,-0.0182427061851622,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.162874965351771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034368346601475,0.210219289672209,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0.0568617802553429,0.162369153621384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.0124564112135226,0,0,0.176009869629609,0,0,0,0,0,0,0,0.120799698284455,0,0.0438995599279598,0,0,0,0,4.33680868994202e-19,0,0,0,0,0
X939.HK.EQUITY,0,0.297908857535825,0,0,0,0,0.0157056058519338,0,0,0.0551062512875191,0,0,0.0167261253746076,0,0,0,0,0.0078229200144506,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.0983706070243271,0,0,0,0,0,0,0,0.474335776323971,0.0244041235216197,0,0,0,0,0,0,0.270540247115156,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0.262313171301377,0,0,0,0,0,0,0,0.0944378159618413,0,0.0628538999427457,0,0,0,0,0,0,0.219136612626759,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0299824593640953,0,0,0,0,0,0,0.00666413012903658,0,0,0,0,0,0,0,0.115983134238275,0,-0.0115537384990557,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.0398206699962365,0.0169981499250105,0,0,0,0,0,0,0,0,0.0152240482357349,0,0,0.424071218467072,0,0,0.0151967608799967,0.0703663038563195,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0490134489163295,0,0,0,0,0,0,0,0,0,0.0285222663197714,0,0,0,0,0.15823772308306,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.111340365153603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316315831642808,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0879359876800713,0.0250358330646887,0.0422374970740676,0,0,0,0,0,0.130821289468514,0.0714659006913777,0,0.0279670423131613,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.202751910875222,0,0,0,0,0,0,0,0,0,0.0122080644533881,0.133170078214656,0,0.0936699021930325,-0.00372608457001273,0,0,0.0140484537304908,0,0,0,0,0,0,0,-0.014090105928912,-0.0406671172065057,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.103507626869249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.228580401333405,0,0,0,0,0,0,0,0,0,0.391388326413148,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,-0.0520489365871877,0,0,0,0,0.106041426899756,0,0,0,1.00745514983625,0,0,0,0,0,0,0,0,0,0,0,0.124726733697597,0,0.175611543133532
X601166.CH.EQUITY,0,0,0,0,0,0,0.0442912174606152,0,0,0,0,0,0,0,0,0,0,0,0,0.179317784633095,0,0,0,0,0.207048251146926,0,0,0,0,0
