,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.0180406914508032,0,0,0.0716267962411667,0,0,0,0,0,0,0,0.0144010392387576,0,0,0.0246215384227183,0,0,0,0,0,0,-0.0167441597902803,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.105023529395642,0,0,0.132927064363857,0,0,0,0,0,0,0,0.0728689181306846,0,0,0,0,0.0321715837998441,0,0.0712932574364804,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0327396550855685,0.19458032263908,0,0,0,0,0.0273831353466174,0,0,0,0,0,0,0,0,0,0,0,0,-0.00792547301937807,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0906993749973867,0,0,0,0,0,0,0,0,0,0,0,0.131378091509923,0,0,0,0.16479605373787,0.0891902670630511,0,-0.00946014991276886,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0116177898587147,0,0.171856145832807,0,0,0,0,0,0,0,0.139062868556723,0,0.0339967904250731,0,0,0,0,0,0,0,0,0,0
X939.HK.EQUITY,0.459691818844024,0,0,0,0,0,0,0.0181886257777564,0,0,0,0,0.0895783399399106,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76154825877756e-05,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0515299386112508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112812704773572,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.14921417187521,0,0,0,0,0,0,0.241576148166006,0.199617122222491,0,0,0,0,0,0,0,0.446601593613978,0,-0.044409817624097,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.188817681895226,0,0,0.19215784560266,0,0,0,0.250894233449262,0,0.0508144079816573,0,0,0,0,0,0,0.333882278181971,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0623181329256757,0,0,0,0,0,0,0,0,0,0,0,0.371506557716347,0,0,0,0.0697959643018589,0,0,-0.00505573724810134,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0.111325430427012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316048978719128,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0481853614969723,0,0,0,0,0,0,0.0171923386962616,0,0,0.0225624784814347,0,0,0,0,0.175168941627055,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0850001840072385,0,0.0214846044335066,0.0561292657648129,0,0,0,0,0.0903985552281762,0.074026695475747,0,0.00483282524689202,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,-3.3881317890172e-21,0,0,0,0,0.155084134386645,0,0.146793515725853,-0.00375836683956488,0,0,0.0622135767128256,0,0,0,0,0,0,0,-0.0314082963467314,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,1.73472347597681e-18,0.110964384434646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.138523549597591,0,0,0,0,0,0,0,0,0.421324910340039,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993133782377628,0,0,0,0,0,0,0,0,0,0,0.0740195191234429,0,0,0
