,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0.0687417466626373,0,0,0,0,0,0.0454417082105484,0,0.043269632617931,0,0,0.145785651080969,0,0,0,0,0,0,0,0,0,0.00417352542990168,0,0,0
X1398.HK.EQUITY,0,0,0,0.0286605388486162,0.162630792523462,0,0,0,0.019200380220049,0,0,0,0.0978097943070576,0,0,0.0316795028550631,0,0,0,0,0,0,0,0,0,0,-0.00132159121881955,0,0,0
X2318.HK.EQUITY,0,0,0,0.364816127412453,0,0,0,0,0,0,0,0,0.118959221698813,0,0,0,0,0,0,0,0,0,0,0.0878700304394899,0,0,-0.000237159467086714,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.160528369171929,0,0.370416671204168,0,0,0,0.0536389564791456,0,0,0,0,0,0,0,0,-0.00341252267560659,0,0,0
X939.HK.EQUITY,0,0,0,0.0284449578745562,0,0,0,0,0,0,0,0,0.233932783533825,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00151982281091115,0,0,0
X601939.CH.EQUITY,0,0,0,0.0798694756376506,0,0,0,0,0,0,0,0,0,0,0,0,0.145573091545042,0,0,0,0,0,0,0,0,0,-0.00177768616685691,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183067289306409,0,0,0,0.0235318032732773,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.103476823081413,0,0,0,0,0,0,0,0,0,0,0,0,0.0732524821512789,0,0,0,0,0,0
X3988.HK.EQUITY,0,0.147151179454652,0,0.00873741106168555,0.0337232600644044,0,0,0,0,0,0,0,0.156725785027088,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58019199479742e-05,0,0,0
X601988.CH.EQUITY,0,0,0,0.132142477346778,0,0.0597094631981007,0,0,0,0,0,0.006287143466677,0,0.00228123283327746,0,0,0.0059219454941353,0,0,0,0,0,0,0,0,0,0.00142128927421631,0,0,0
