,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0.0331638628984856,0,0,0,0,0,0,0.0305567686505867,0,0,0,0.117570796185771,0,0.117407325029496,0,0,0,0,0,0,0,0,0,0,-0.00504904372183729,0,0,0
X601398.CH.EQUITY,0,0,0.0379719896940238,0,0,0.103083251746504,0,0,0,0,0,0.0661855171303666,-8.67361737988404e-19,0,0,0,0.0867425120696068,0,0,0,0,0,0,0,0,0,-0.00248425232375723,0,0,0
X601318.CH.EQUITY,0,0,0,0.262648672129187,0,0,0,0,0,0,0,0.124611087186529,0.262889737626746,0,0,0,0,0.0970438931690069,0,0,0,0,0,0,0,0,-0.00718379093833815,0,0,0
X2318.HK.EQUITY,0,0,0.380559821752459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000561442485596805,0,0,0
X939.HK.EQUITY,0.102193559291527,0,1.09756565370052e-05,0.023786769058708,0,0,0,0,0,0.0664617163824332,0,0,0,0.16624882758121,0,0.00758080362412936,0,0,0,0,0,0,0,0.104845280389107,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.0802119612525085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133808321194506,0,0,0,0,0,0,0,0,0,-0.0058471214568406,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0376597618105265,0,0,0,0,0.137378458183884,0,0,0.0178379617252406,0,0,0,0,0,0,0.000117916179048829,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.083429192966983,0,0,0,0,0,0,0,0,0,0,0,0,0.0652758838626458,0,0,0.00113390951588854,0,0,0
X601988.CH.EQUITY,0,0,0.173509226171098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285291447758447,0,0,0
X3988.HK.EQUITY,0.151682321721913,0,0.0187269668944389,0,0,0,0,0,0,0,0,0,0,0.161927715577951,0,0,0,0,0,0,0,0,0,0,0,0,0.00220033842539116,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814628934625558,0,0,0.56755963860998,0,0,-0.00120163159106541,0,0,0
X600036.CH.EQUITY,0,0,0.574874889373812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00284497185216795,0,0,0
X601628.CH.EQUITY,0,0,0.138330747234899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450154396943811,0,0,0,-0.000708101999220833,0,0,0
X2628.HK.EQUITY,0,0,0.0926978905746701,0.228144924650663,0,0,0,0,0,0,0,0,0.0304070778028077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0468665060830691,0,0,0,0,0,0,0,0,0.0696578689151265,-2.11758236813575e-22,0,0,0,0.0679474585515975,0,0,0,0,0,0,0,0,0,-0.000495411896860276,0,0,0
X3328.HK.EQUITY,0.477025148814228,0,0,0,0,0,0,0,0,0,0,0.0120837173966072,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0943099195109395,0,0,0,0,0,-0.00452395264171766,0,0,0
X601166.CH.EQUITY,0,0,0.202200064285654,0,0,0,0,0,0,0,0,0.053878857577577,0.15237285933865,0,0,0,0,0,0.0525667202465657,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0.354821783312211,0,0,0,0,0,0,0,0,0,0.301264881906914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195106318073932,0,0,0
X600000.CH.EQUITY,0,0,0.151856467603223,0,0,0.0152003272426285,0,0,0,0,0,0.0129567851175831,0,0,0,0,0.22040612998794,0,0,0,0,0,0,0,0,0,0.0103367391743418,0,0,0
X000002.CH.EQUITY,0,0,0.184080605340246,0,0,0,0,0,0,0,0,0.101211096191587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00895085846664624,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.145966073607718,0,0,0,0,0.0266989576094572,0,0,0,0,0,0,0,0.0643728081557528,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0756534707629681,0,0,0,0,0,0,0.0149321013839729,0,0,0,0,0,0.0325100235448417,0,0,-0.000878765602346045,0,0,0
X601601.CH.EQUITY,0,0,0.0192034831680609,0,0,0,0,0,0,0,0,0,0.384194148389699,0,0,0,0,0.133334304108542,0,0,0,0,0,0,0,0,-0.00570048347593025,0,0,0
X388.HK.EQUITY,0,0,0.00390807967139553,0,0,0,0,0,0,0,0.0691903026290477,0,0,0.23962773112419,0,0,0,0,0,0,0,0,0.0458483766542021,0,0,0,-0.00540546629368094,0,0,0
X2388.HK.EQUITY,0,0,0,0.0248699166975182,0,0,0,0,0,0,0.036342706373582,0,0,0.0789595904601888,0,0,0,0,0,0,0,0,0,0.185197016170525,0,0,-0.00410380536251117,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129038171914051,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.75423997539171,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33180916562009e-06,0,0.999950143060117,0.99992341198643
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12886300596417e-06,0.999904304755885,0,-0.999874424882998
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999973260605521,-0.999979352824211,0
