,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0326037262989727,0,0,0.0895779926516051,0,0,0,0,0.104502860383285,0,0,0,0,0,0.0689966303941358,0,0,0,0,0,0,0,0,0,-0.00261429194908617,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0.030855879967679,0,0.0308451804479592,0,0,0.130426189579301,0.0938995573947309,0,0,0,0,0,0,0,0,0.0320339723602108,0,0,-0.0064162789969561,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.164567066148234,0,0.21496118586117,0,0,0,0,0.142174498050988,0,8.67361737988404e-19,0,0,0,0,0,0,-0.00889986577456007,0,0,0
X2318.HK.EQUITY,0,0,0.245151361563944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00122330833681368,0,0,0
X939.HK.EQUITY,0,0.0964812126198725,0.00134532990322795,0,0,0,0,0,0.0697755426538459,0,0,0,0,0.179408623963057,0.0109780866261457,0,0,0,0,0,0,0,0.0514489232775411,0.0884393217508479,0,0,-0.000298506908033584,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0205199395457469,0,0,0,0.141762466224458,0,0,0.0246959640196914,0,0,0,0,0,0,-0.00733497820870442,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0368620499881697,0,0,0,0.0301863443609284,0,0.0539272028052758,0,0,0,0.074822937724799,0,0,0,0,0,-0.00269747539974956,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.178581585351205,0,0,0.00841176988745625,0,0,0,0,0,0,0.0570015505251652,0,0.0456877780032212,0,0,0.0033191271494318,0,0,0
X3988.HK.EQUITY,0,0.150897436951712,0,0,0,0,0,0,0,0,0,0,0,0.171268112920376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0446825706820389,0,0,0,0,0,0,0,0.0907077170918754,0,0.0180270644367247,0,0,0,0,0,0,0,0.0174498450056359,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.494708304833024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00247953879481351,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212199477122814,0.387026939021382,0,0,-0.00272370308350291,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178139837849034,0,0.45761347733201,0,0,0,0,0,0,-0.00340342171416721,0,0,0
X2628.HK.EQUITY,0,0,0,0.0563048610278654,0,0,0,0,0,0,0,0,0.096784984032101,0,0,0,0,0.00826228881374254,0,0.013867778756729,0,0,0,0.176440574523018,0,0,0,0,0,0
X3328.HK.EQUITY,0,0.339066305605474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814604629519531,0,0,0,-0.00455993397727106,0,0,0
X601328.CH.EQUITY,0,0,0.0970411964915781,0,0,0,0,0,0,0,0,0,0.0298211493162436,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00506564233546238,0,0,0
