,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.0985894793668901,0,0,0.026226286339767,0,0,0,0,0.104410187736256,0.106856590601419,0,0,0,0,0,0,0,0,0,0.0011479151552716,0,-0.00290539477093021,0.00397775723746719,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0814862966723803,0,0.0065043413985363,0,0,0,0,0,0,0,0,0,0,0,0.0658052012045737,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0483349616100917,0,0,0,0,0,0.220338950542893,0,0,0,0,0,0.107614555031881,0,-0.0148261493065188,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072433862970751,0,0,0,0,0.0698135175574743,0,0,0,0.0183194397817198,0.0291999822815717,0,0,-0.00208395823827989,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343592645976808,0,0.111795027328037,0,-0.00371044852550853,0,0,0
X939.HK.EQUITY,0.13721253899543,0,0,0,0,0,0,0,0,0,0,0,0,0.0452806629010796,0,0,0,0,0,0,0,0,0.0311145684451834,0,0.121674812950974,0,-0.000796291690868008,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.015811686659522,0,0,0,0,0.0486962984948818,0,0,0,0,0,0,0.114186196837813,0,0.0527600258759918,0,-0.00228203262628933,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0543827301449689,0,0,0,0,0,0,0,0,0,0,0.0477176606131492,0.143993170622425,0,0,0.0017760856513941,0,0,0
X3988.HK.EQUITY,0.124592549738097,0,0,0,0,0,0,0,0,0,0,0,0,0.145771873949568,0,0,0,0,0,0,0,0,0,0.107707911030873,0.00493973624918668,0,0.00357821337337964,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0385397267171198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728024469597643,0,0,0,0,0
