,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0.0883761019632026,0,0,0,0,0.106911400946573,0,0,0.00609729738149401,0,0.0165370009458021,0,0,0,0,0,0,0,0,0.0672822283841039,0,0.00178585975936045,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0039715099260839,0.0328157124694012,0.0864971103409129,0,0.0424892148980238,0,0,0,0,0,0,2.64697796016969e-23,0,0.00427962849432699,0,0,0.00266823062340204,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0334121695319878,0,0,0,0,0,0,0,0,0,0,0.109203385415848,0.0369603445263169,0,-0.00414524151655008,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.182682300520815,0,0,0.132181026234638,0,0,0,0,0,0.100232537329049,0,0,0,0,0.0208857865317363,0,-0.00548449261210912,0,0,0
X939.HK.EQUITY,0,0.153336269985023,0,0,0,0,0,0,0,0,0,0.0206856553660694,0.174830619450851,0,0,0,0,0,0,0,0,0.0223931910828756,0,0,0.0328320937551359,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0382661290223772,3.46944695195361e-18,0.0922457764051292,0.0204488910957698,0,0,0,0,0,0.0330921218895388,0,0.0287910655572624,0,0,0,0,-0.00184266217819462,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0239667958191185,0,0,0.0295063845442089,0,0,0,0,0,0,0,0,0,0,0.0437864189965355,0,0.00242176952357596,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0612334227475293,0,0,0,0,0,0,0,0,0,0.00934927916892269,0.221422674775312,0,0,0,0.00283422299838881,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0527395825758003,0,0,0,0,0,0.0485176986034442,0,0,0,0,0,0,0,0.0305781513796162,0,0.000245044095676207,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.106573101368658,0.0643708144801947,0,0.0429323244763077,0,0,0,0,0,0,0,0,0.051714338701439,0.0456896428748526,0,0.00267153987500235,0,0,0
X600036.CH.EQUITY,0,0,0,0.300244035052251,0,0,0,0,0,0,0,0,0.13178363605769,0.0109402357732358,0,0,0,0,0,0,0,0.0226259700418884,0,0,0,0,0.00394480171803725,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322910174899012,0,0,0,0,-0.00430117674552677,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.19349503439198,0.241890630820417,0,0,0,0,0,0,0,0,0,0,0,0,0.00870637348942923,0,0.00238973288951549,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0835978053046015,0,0,0,0,0,0,0.0318828188536196,0,0.426348906306091,0,0,0,0,0.08576475228181,0,-0.00186494927836497,0,0,0
X3328.HK.EQUITY,0,0.120466030402779,0,0,0,0,0,0,0,0,0,0.0159318143284447,0,0,0,0,0,0,0,0,0,0,0,0.173657512900007,0.0789001669654441,0,-0.00236117611903648,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.0634786002694412,0,0,0,0,0.0424021331872201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128840395389976,0,0.00530487998960655,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00934939463905448,0,0,0.314294005888788,0,0,0,0.0641119821853975,0,0,0,0,0,0,0,0,0.00189961977315052,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219494785279333,0,0,0,0,0,0,0,0.0346988810660965,0,0,0.409391720381318,0,0.0038279897059076,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0495487918023515,0,0,0,0,0.15386579988034,0,0.0251895071338601,0,0,0,0,0,0,0.00317923191235664,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0468356214919014,0,0.321780459169183,0,0,0,0.0771688891735332,0,0,0,0,0,0,0,0,-0.0175211254581291,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508630131041148,0,0.0462901948709217,0.105149493535764,0,0.0226514914396023,0.156312801978786,0,0.134196448736468,0,0.00410808725659161,0,0,0
