,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0.0699468993078659,0,0,0,0,0.0443384736660523,0,0,0.0416116380499121,0,0,0,0.084336315479306,0,0,0.0249168007174671,0.0150365095646928,0,0.045773134485863,0,0,0.00293377894191472,0,0,0
X1398.HK.EQUITY,0,0,0,0.0250425194034292,0.0634775579068637,0,0,0,0,0,0,0,0.145277612867479,0,0,0.060012036133059,0,0,0,0,0,0,0,0,0.0123149005922496,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0806632731287681,0.0705639617204293,0.159779043419926,0,0,0,0,0,0,0,0.00369696510293749,0,0,0,0,0,-0.00187155412760547,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.110073881392764,0,0,0.18297881760023,0,0,0,0,0,0.131430785214089,0,0,0,0.0732030275452051,0,0,-0.00518854208167793,0,0,0
X939.HK.EQUITY,0,0.162612264562276,0,0,0,0,0,0,0,0,0,0,0.133401200378196,3.3881317890172e-21,0,0,0,0,0,0,0,0,0,0,0,0,-0.0006968709489733,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0105783779839292,0.0183617646300069,0,0,0,0,0,0,0.0678024916194526,0,0,0.11123198706562,0,0,-0.00377562084664524,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675700715936855,0,0.0127172078869746,0.0439932841842187,0,0,0,0,0.0241741394073411,0.0437451839508373,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0290220747087577,0,0,0,0,0,0,0,0,0.0408922609200128,0.208446615934076,0,0,0,0,0.00298655248232568,0,0,0
X3988.HK.EQUITY,0,0.174856754464498,0,0,0,0,0,0,0,0,0,0.0903085967386417,0.0188831108297386,0,0,0,0,0,0,0.0082346794067513,0,0.0191125740468001,0,0,0,0,0.00345455138891354,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574194140971292,0,0,0,0,0,0,0.0512285668702533,0,0,0.00135674557185861,0,0,0
X600036.CH.EQUITY,0,0,0,0.105914963878903,0,0,0,0,0,0,0,0,0.0570526617159961,0.120510848281824,0,0,0,0,0,0,0,0,0,0,0,0,0.00426577150780233,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171417182849274,0,0,0,0,0.292987686346191,0.0525347310391693,0,0,0,0,-0.00538410550937987,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.171437679451369,0.228803431115691,0,0,0,0,0,0.0758641431455218,0,0,0.0314206360305844,0,0,0,0,0,0.000826080489754869,0,0,0
X601628.CH.EQUITY,0,0,0,0.0467029742443579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190187199076616,0,0.493708306683878,0,0,0,0,0,0,6.7762635780344e-21,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562896578276124,0,0,0.00625806662426152,0.106324069570717,0,0,0,0,0,0,0,0,0.00150434390420388,0,0,0
X3328.HK.EQUITY,0,0.114220392153767,0,0,0,0,0,0,0,0,0,0.0303478504982022,0.0611861873586247,0,0,0,0,0.00766213112410567,0,0,0,0.147588629232051,0,0,0,0,-0.00118137650437542,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.104707297768996,0,0,0.183721359138197,0,0,0,0.016153355406961,0,0.0233442618479803,0,0,0,0.113418968820705,0,0,0.00218415240150323,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548079281438461,0,0,0,0,0,0,0.0848348888338222,0,0,0,0,0,0.0155137891268632,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0881976722598755,0,0,0,0,0.0622714751222385,0,0.0656441990182038,0,0,0,0,0,0,0.007787289233565,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.11509399848948,0.522800812499793,0,0,0.0475030789175536,0,0,0,0,0,0,0,0,0,-0.00550593899652351,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.191589442357472,0.0404805126088278,0,0,0,0,0,0,0,0,0.182710927731927,0,0,0,0,-0.00747189168162493,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.181806405527536,0,0,0,0,0,0,0,0,0.243139896745972,0,0,0,0,0,-0.00114565183366802,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.14111002937855,0.095119046903138,0.0736683261201851,0,0,0,0,0,-8.67361737988404e-19,1.73472347597681e-18,0.0576357208011695,0,0.160785023541745,0,0,0.00711942943492934,0,0,0
