,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0.0223398222723623,0,0.2311372488086,0,0,0,0,0,0.0122249322023804,0,0.129043343833105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129616500837687,0,0,0
X601398.CH.EQUITY,0.121037200217046,0,0,0,0,0.103767881110295,0,0,0,0,0,0,0,0,0.0938099061572363,0,0,0,0.0392698602040451,0,0,0,0.0437328929968372,0,0,0,0.00179730935441712,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.113601312346508,0,0,0.0946129694135572,0,0,0,0,0.144618472998942,0.105077587476003,0.0893873315804358,0,0,0,0,0,-0.00821182520392665,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0401691942143682,0.0293135782360647,0.142609905122082,0,0,0,0,0,0,0,0,0,0,0,0.0990154358448519,0,-0.00566482965334085,0,0,0
X939.HK.EQUITY,0.175446881454756,0,0,0,0,0,0,0,0,0,0,0,0.0447472693606064,0,0,0,0,0,0,0,0,0,0.0128836909738596,0,0.0395982958236505,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264505834849746,0,0,0,0,0.0774869265118215,0.0655093308953871,0,0.0394820369404857,0,0,0,-0.00145665428404395,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478829285267269,0.107410198171688,0.026507831711605,0,0.0067188705393519,0,0,0,0,0.000812552878087991,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0133688312505242,0,0,0,0,0,0,0,0,0,0,0.0559738233761464,0.17989217748088,0,0,0.00279791675364632,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0983673173550422,0,0,0.0268420905099439,0.0792837118961894,0,0,0,0,0,0,0,0.000541174076545639,0,0,0
X3988.HK.EQUITY,0.195228425662666,0,0,0,0,0,0,0,0,0,0,0.0740138491144939,0.0678151291294682,0,0,0,0,0,0,0,0.0217703925047428,0,0,0,0.0497625474130343,0,0.00474946004883339,0,0,0
X600036.CH.EQUITY,0,0,0.124450297967013,0,0,0,0,0,0,0,0,0,0.113524370725156,0.00643751356993102,0,0,0,0,0,0.0206006373140586,0,0,0,0,0,0,0.000340138730099731,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29354756884571,0,0.0878860571489611,0,-0.00593801174375494,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.174083019215016,0,0.0308756505136255,0,0,0,0,0.0813507724635271,0,0.0459714705875767,0.0917925908408598,0.124449946703908,0,0,0,-0.00283386743825036,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24411104829037,0.0374137501559645,0.28321650493435,0,0,0,0,0,-0.00342976421168781,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617024267624746,0,0,0,0,0,0.164372280387416,0.0894807404600677,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382785340499041,0,0,0.0135896297998165,0.104253585394797,0.00902829534122404,0,0,0,0,0,0,0,0,0,0
X3328.HK.EQUITY,0.0412680922071847,0,0,0,0,0,0,0,0,0,0,0.0572666069151475,0.181778503399684,0,0,0,0,0,0.000130673617939077,0,0,0,0,0,0.0818076186658657,0,-0.00129235890725361,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.113931795110542,0,0.0445148223648411,0,0,0,0,0,0.0824827738068592,0.0155520751650157,2.16840434497101e-19,0,0,0,0,0,0.00569350460154296,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.268083288372813,0.166840397514745,0.049547233572269,0,0,0,0,0.0807660718211082,0,0,0.0883775919016964,0,0,0,0.00201551334931844,0,0,0
X000001.CH.EQUITY,0,0,0.44125182861599,0,0,0,0,0,0,0,0,0,0,0,0.23580064059819,0,0,0,0,0,0,0,0,0,0,0,0.0136955664937766,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703122149209375,0.0441765404591676,0,0,0,0,0,0,0,0,0,0,0,-0.0144986962671654,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.141203397299386,0,0,0.058178583297221,0,0,0,0,0.137166080044713,0.0138694522117353,0,0,0,0,0,0.0039387414962064,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.170189376582843,0,0,0,0,0,0,0,0,0,0,0,0.142192078440352,0,0,-0.00891705063331567,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.24185243091809,0,0,0,0,0,0,0,0,0,0,0.307686146322832,0,0,0,-0.000697483199794821,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.236163611929739,0.0632339841040732,0,0,0,0,0,0,0,0,0,0.119815364010257,0,0,0,-0.00535904905480662,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124010219758033,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.62827820148338,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.09798677024719e-06,0,0.99996185438538,0.999951563785331
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8792236423588e-07,0.999948370136361,0,-0.999916851437283
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53104493649055e-06,0,0,0,0,0,0,2.0638160640327e-06,0.999770339128874,-0.99962470298015,0
