,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0.206391107940961,0,0,0,0,0,0,0,0,0.091859611666146,0,0,0.059681593200184,0,0,0,0,0.0695612775397707,0,0,0,0.00321330626456726,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.166426907105727,0,0,0,0,0,0,0,0.00686142387345761,0.107395390656505,0,0.119591317977192,0,0,0,0,0,0,0,0,0,0,0.00648061508760137,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0836823551859232,0.0339963022481409,0,0,0,0,0,0,0,0.123301620206567,0,0.0662631060667594,0,0,0,0,0.00599928653158003,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.128825965003793,0,0,0.191365241114644,0,0,0,0,0,0,0,0.0659962642496325,0,0,0.0344229643905924,0,0,0,0,0
X939.HK.EQUITY,0,0.0561135647385135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935228317578157,0,0,0,0,0,0.0825491812367782,0.0703881212994434,0,0,0,-0.00178304278021526,0,0,0
X601939.CH.EQUITY,0.182594008681608,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0414820859105233,0,0.103620807051248,0,0,0,0.0744932804849328,0,0,0,0.0485503268682794,0,0,0,-0.0026463241125433,0,0,0
X601288.CH.EQUITY,0.0843140325413172,0,0,0,0,0,0,0,0,0,0.038024888942649,0.0849548046236391,0,0,0.0238423024519163,0,0,0.116533780517031,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0335691643180424,0,0,0,0,0,0,0,0,0,0.0436632464098472,0.274882122658091,0,0,0.00440307475422645,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0160463183270508,0,0,0.0416778274858571,0,0,0.114011383087089,0,0,0,0,0.00833039856902036,0,0,0,-0.00804124013409481,0,0,0
X3988.HK.EQUITY,0,0.285305932465628,0,0,0.0120146622306262,0,0,0,0,0,0,0,0,0.0979518090993965,0,0,0,0,0,0,0,0,0,0,0,0,0.0113225951267118,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.021739704668519,0,0,0,0,0,0.0242967911069962,0,0,0.098526807049867,0.0154710157558831,0,0,0,0.00888361741440963,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.195358098238708,0,0,0,0,0,0,0.163339351112488,0,0.173191449620483,0,0,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.101255636010237,0,0.16237701399392,0,0,0,0,0,0,0,0.0435974819941494,0.177517060124698,0,0,0,-0.00215503736264294,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349966339392132,0.0941708720091053,0.146607145346609,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.201380965958954,0.0644046583086188,0,0,0,0,0,0,0.0870397589045515,0,0,0.0733890445961113,0,0,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0.22271861724156,0,0,0,0,0,0,0,0,0.0992585570038875,0,0,0,0,0,0,0,0.121601780667822,0,0.0202054370468797,0,0,0.0143088369699157,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546485730868772,0,0,0.199910277131351,0.00453237508126563,0,0,0,0,0,0,0,0,0,0,0
