,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.095671497951821,0,0,0,0,0,0,0,0,0,0,0.0451718882263102,0.0277964938156327,0.0268853229809589,0,0,0.104313459174713,0,0.124634805010352,0,0,0,0,0,0,-0.00501764760257173,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.534235147045125,0,0,0,0,0,0,0.0389104689783707,0,0.00639828830231138,0,0.144518464122831,0,0,0,0,0,0,0.070768081653509,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.069805578066196,0.00748092009163412,0.0349999791240127,0,0,0,0,0,0.0868347235444415,0,0,0,0.0204701688983214,0,0,-0.00757078597390987,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0554869564983543,0.17299417358942,0,0,0,0,0,0,0,0.0600625806372332,0,0,0,0,0,0,0.00124883225443566,0,0,0
X939.HK.EQUITY,0,0.347651330277993,0,0,0,0,0,0,0,0,0,0.0787549729199457,0,0,0,0.0717830046371614,0,0,0,0,0,0,0,0,0,0,-0.00100949305433321,0,0,0
X601939.CH.EQUITY,0.114390637294754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10294030126607,0,0,0,0,0.0233571307654197,0,0,0,0.00181731543414649,0,0,-0.0024048776478193,0.0150280039923445,0,0
X601288.CH.EQUITY,0.136509918350363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774513825974067,0,0,0,0,0.0184999548355337,0,0,0,0,0,0,-0.00975614605589213,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.148240650976778,0.103611058984154,0,0,0,0,0,0,0,0,0,0.0202017174696867,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01847577841997,0,0,0,0.0814647109032275,0,0,0,0,0.0747850115749763,0,0,0,-0.00368290445240871,0,0,0
X3988.HK.EQUITY,0,0.180555847313155,0,0,0,0,0,0,0,0,0,0.042022793341192,0,0,0,0,0,0,0,0,0.0461517823578766,0,0,0,0,0,0.000345994643588948,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.162626591094997,0,0,0.138408786835385,0,0,0,0,0.176499851452946,0,0,0,0,0,0,-0.00470873960469424,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.153699665830897,0,0,0,0,0.229162585537215,0,0,0,0,0.184268655269734,0.0333285127119937,0.0300992429014487,0,0,0,0.00474247100477636,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.154455761602072,0,0.139291412180941,0,0,0,0,0,0,0,0,0.152676636594281,0,0.14128359644247,0,-0.00233526025617301,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.53841507830397,0,0,0,0,0,0,0,0.255949359681698,0,0,0,0,0,0,0.116934653249679,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0813578688724019,0,0,0.0829754011378758,0,0,0,0,0,0.128272085834523,0.0311778775015185,0,0,0,0,0,-0.0096622300890786,0,0,0
X3328.HK.EQUITY,0,0,0,0,0.37814997520337,0,0,0,0,0,0,0.143406981388787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117770936293705,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456477367950015,0,0,0.147493041060513,0,0.0477459177647909,0,0,0,0,0,0,-0.00033895921808145,0,0,0
