,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.155467976700263,0,0,0,0,0,0.0115056156100544,0,0,0,0.452504427036038,0,0,0,0,0,0,0.0148382609224838,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.0717083537702779,0,0,0,0,0,0.0726426204413705,0.0365273235853448,0.117855434920355,0,0,0,0,0.0459116443920781,0,0,0,0,0,0,-0.00425161483162907,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00453150078830031,0.212391881951341,0,0,0,0,0,0,0,0.0427335000066159,0.0508619682023214,0,0,0,0.035101805193826,0,0.000955046167455493,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.149469967136393,0.0322977797894527,0,0,0,0,0,0,0.0827897371724246,0,0,0,0.0570172894064825,0,0,-0.00624772462560681,0,0,0
X601939.CH.EQUITY,0,0.118313409206434,0,0,0,0,0,0,0,0,0,0.0243314961600799,0,0.0223622141535127,0.040766044114563,0,0,0,0,0,0,0,0,0,0,0,-0.00322083160523219,0,0,0
X939.HK.EQUITY,0.238111285367963,0,0,0,0,0,0,0,0,0,0,0.0891263970875941,0,0,0,0.110011079380138,0,0,0,0,0,0,0,0,0,0,-0.000720275219423747,0,0,0
X601288.CH.EQUITY,0,0.225650808971918,0,0,0,0,0,0,0,0,0,0,0,0,0.0946602384095939,0,0,0,0,0,0,0,0,0,0,0,-0.00240025273636254,-0.0146415105794101,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.146459748246683,0,0.0663141245128297,0,0,0,0,0,0,0,0,0.00765963391816341,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00764068370080761,0,0,0,0,0.016502525505178,0,0,0,0,0.0257503343476049,0,0,0,-0.00364639861166942,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.265374673584587,0,0,0,0,0,0.142827655822276,0,0,0,0,0,0,0,0,0.0135778706295541,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.207165861348196,0,0,0.0880335383595123,0,0,0,0,0.0648507091410976,0,0,0,0,0,0,-0.00602485634902618,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0664172519783914,0,0,0,0,0.224334978685219,0,0,0,0,0.192397486449046,0,0,0,0,0.0846595347122044,0.0989679061144221,0.0958541672195914,0,0,0,0.00458034321825718,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.219647266610364,0,0.203928527213154,0,0,0,0,0,0,0.187908017463366,0,0,0,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.225894918381535,0.13462240851983,0,0,0,0,0,0,0,0,0,0.0760043106377916,0,0.127226546439554,0,-0.00239017566264766,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0767827446520007,0,0.0811739332823091,0,0,0,0,0,0,0.123205089982121,0.032480739852936,0,0,0,0,0,-0.0097490909754122,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.286331134065851,0,0,0,0,0,0.208075607416474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126127693827577,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631961893600268,0,0,0.117058611117775,0,0.0445399453920566,0.0282937246845342,0,0,-3.46944695195361e-18,0,0,-0.000475585434824423,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154552887432475,0,0,0,0,0.301623526312871,0,0,0,0,0,0,-0.00186073570087312,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.078375539075512,0.163685631059137,0.0298121819372596,0,0,0,0
X000001.CH.EQUITY,0,0.0521620710221272,0,0,0,0,0,0,0,0,0.257344627481943,0,0,0,0.423877962280619,0,0,0.242716902098942,0.0135864963156671,0,0,0,0,0.0939509892109225,0,0,0,0,0,0
