,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.19803346632407,0,0,0,0,0,0,0,0,0,0,0.466816164648835,0,0,0,0,0.0235532674604489,0,0,0,0,-0.000619461527500142,0,0,0
X601398.CH.EQUITY,0,0,0,0,0.148071992134922,0,0.185479383702048,0,0,0,0,0,0.0794268120735855,0.000628452437946665,0.11181818446387,0,0,0,0,0.0177150782515326,0,0,0,0,0,0,-0.00359866581857253,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0899394498823023,0,0,0,0,0,0,0,0.0492323257644944,0,0,0,0,0.139928161810183,0,-0.00382901521589793,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.218008577187283,0,0,0,0,0,0,0,0,0.0330120428206833,0,0,0,0.0249741313369414,0,0.000781296485178398,0,0,0
X601939.CH.EQUITY,0,0.123318559633395,0,0,0,0,0,0,0,0,0,0.0282609211035999,0.0220014404381019,0,0.0377034326552993,0,0,0,0,0,0,0,0,0,0,0,-0.00318070720543267,0,0,0
X939.HK.EQUITY,0.431730646906909,0,0,0,0,0,0,0,0,0,0,0.107227042259259,0.00375927763306675,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00118506187105874,0,0,0
X601288.CH.EQUITY,0,0.207830483211827,0,0,0,0,0,0,0,0,0,0,0,0,0.0834949051627213,0,0,0,0,0,0,0,0,0,0,0,-0.00235593443338875,-0.00637754989684174,0,0
X5.HK.EQUITY,0.0247782715213571,0,0,0,0,0,0,0,0,0,0,0.136132418166797,0.111950581273833,0,0,0,0,0,0,0,0,0.0247036074879223,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152892055392064,0,0,0,0,0,0,0,0,0,0,0.0605244671125669,0,-0.00269136341403573,0,0,0
X3988.HK.EQUITY,0.0635124840026502,0,0,0,0,0.274351652615161,0,0,0,0,0,0.0870655968338747,0,0,0,0,0,0,0,0,0,0,0,0,0.0214447889957052,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.192126069760702,0,0,0.0893387506960431,0,0,0,0,0.156548843760108,0,0,0,0,0,0,-0.00523271376575399,0,-0.0297992912198449,0
X1299.HK.EQUITY,0,0,0,0.0654336551676493,0,0,0,0,0,0,0.143321577673306,0,0,0,0,0,0.261528653564064,0,0,0,0.167212641095843,0.0357582111839844,0.0275010823904805,0,0,0,0.00481087434650124,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.149754177160987,0,0.129848705169939,0,0,0,0,0,0,0,0.213949614584211,0,0,0,0,-0.00165182807875181,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.135782237277116,0.49440108597131,0,0,0,0,0,0,0,0,0,0,0,0.0443558608529192,0,0.00733818642146616,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0785538319637756,0,0,0.0779460619230852,0,0,0,0,0,0.121339742731884,0.0289916084153893,0,0,0,0,0,-0.00970428284541494,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00474704090803964,0,0,0.059421623331299,0,0.0831331354227176,0,0,0,0.0482075011783291,0,0,-0.000496790074991623,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.271896711826409,0,0,0,0,0,0.207790759791971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136615940838283,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447170569997921,0,0,0,0,0.288254457671809,0,0,0,0,0,0,-0.00135972563030942,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012168410682576,0,0,0,0.038501075649808,0.189937364341487,0.0637073408029204,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.266218445887031,0,0,0,0.359574141953885,0,0,0.288211140962267,0.0116132610280879,0,0,0,0.0138168623047932,0.0848687199203668,0,0,-0.000910710003609437,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.124661590498571,0,0,0,0,0,0,0,0.039795152808226,0,0,0,0,0.378305386363604,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.112640825868351,0.0264648258992328,0.0151240356779969,0,0,0,0,0,0,0,0,0,0,0,0,-8.27180612553028e-25,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.400436733639626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353453239895797,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269869574033006,0,0,0,0,0.0222772299631672,0.175239907670603,0.058535684893541,0,0,0,0.253002259149603,0,-0.00406255310150593,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0343276626579515,0,0,0,0,0,0,0,0.0779881747485277,0,0,0,0.338548957052282,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026927181216386,0,0,0.0796832849509467,0,0,0,0,0,0,-0.180610135420085,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781738555549598,0,-2.91054975579329,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78563164614825e-07,0,0.9999639885408,0.999917025527729
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000744645239687568,0.471750398726833,0,0
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02363461793172e-05,0,0,-1.21341953445578e-07,0.99990264273367,-0.999883268569153,0
