,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.152415496077979,0,0,0,0,0,0.0208200431925192,0.0370951429520828,0,0,0,0.438530811301348,0,0,0,0.0370649728915033,0,0,0,0,0,-0.00106036947532812,0,0,0
X601398.CH.EQUITY,0,0,0,0,0.0879054586413333,0,0.179508826322445,0,0,0,0,0,0.0732514353389072,0.0600308875401809,0.0323038479911355,0,0,0,0,0.0934113210201149,0,0,0,0,0,0,-0.000747697475146714,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.128319680378799,0.0408185568845472,0,0,0,0,0,0,0.108968447454361,0,0,0,0,0.046706304207901,0,-0.00648039971838297,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.229023502014482,0,0,0,0,0,0,0,0.00988886255206039,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.129362081512176,0,0,0,0,0,0,0,0,0,0.0160308538229823,0,0.0226606215690378,0.0460303244400479,0,0,0,0,0,0,0.000525750102258985,0,0,0,0,-0.00303573943146772,0,0,0
X939.HK.EQUITY,0.416166656826178,0,0,0,0,0,0,0,0,0.0755504161545268,0,0.0724850057105209,0,0.00634041657880115,0,0,0,0,0,0,0,0,0,0,0,0,-0.000607407301601873,0,0,0
X601288.CH.EQUITY,0,0.272216134048182,0,0,0,0,0,0,0,0,0,0,0,0,0.0644608831729901,0,0,0,0,0,0,0,0,0.00203074128610419,0,0,-0.00149329377640364,-0.0015512159626279,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.144790940513908,0,0.109439505307205,0,0,0,0,0,0,0.0192681696474537,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0435932195401054,0,0,0,0,0,0.0316104822101182,0.0415077646915704,0.03310615878486,0,0,0,0,0,-0.00264390837519691,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.281086815964199,0,0,0,0,0,0.0602567690586794,0,0,0,0,0,0,0,0,0,3.14270269249906e-06,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.175001029650074,0,0,0.0809282918294565,0,0,0,0,0.163201025216276,0,0,0,0,0,0,-0.00476327876665757,0,0,0
X1299.HK.EQUITY,0,0,0,0.116166670740303,0,0.0969291265150007,0,0,0,0,0.184176495138856,0,0,0,0,0,0.112993805393131,0,0,0,0,0.137506020007475,0.0287760504480082,0,0,0,0.00490546819269788,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42410422886517,0,0,0,0,0,0,0,0.47837683142653,0,0,0,0,0.00490659179416563,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.15506727375995,0.137348892076202,0,0,0,0,0,0,0.00415223366079189,0.166008157284603,0,0,0.123744318089922,0,0,-0.00213255566136277,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0811218423871082,0,0.0824006855132306,0,0,0,0,0,0,0.128575381186836,0,0.0317150431273293,0,0,0,0,-0.00964575451716215,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613995043091004,0,0,0.108498115320587,0,0.0517504572432247,0,0,0,0,0.0131118445857033,0,-0.000766185874074413,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.360951998142045,0,0,0,0,0,0.129126914956548,0,0,0,0,0,0,0,0,0,0,0.0985737107245318,0,0,0,0.00154062669028688,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494714389485323,0,0,0,0,0.331388658702927,0,0,0,0,0,0,-0.00100369181169228,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711316666010892,0,0,0,0.129772315122551,0.0442407387726619,0.0331498333626952,-0.00327434223075023,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.390937543569421,0,0,0,0,0,0,0.447547405746068,0.0294674796012819,0,0,0,0,0,0.0392377196622141,0,-0.00364133320876753,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.19403689223092,0.0147125059545953,0.0564438090175982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.266958725538342,0.0774532475708622,0,0,0,0,0,0,0.165232792546324,0,0,0,0,0,0,-0.00670843361539748,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.334215075201313,0,0.077799501322526,0,0,0,0,0,0,0,0,0,0,0,0,0.00125559730662934,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0.0864559490233738,0,0,0,0,0,0.0705523217615664,0,0.259903688134296,0,0,0,0,0.121154585422546,0,0.0821728555420727,0,0,0,-0.033970186159819,0,0.00386466473360246,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0949106802085698,0,0,0,0,0,0,0.210445094514805,0,0.0659255956361368,0,0,0,0,-0.010981166108032,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712372959495164,0,0,0,0,0,0,-0.180798251881949,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.96393351668937,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.59245482084478e-07,0,0.999954308584798,0.999923702391445
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000744645246170034,0.471750398644696,0,0
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02363461792834e-05,0,-1.21341953443323e-07,0.99990264273367,-0.999883268569154,0
