,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.4348067300881,0,0,0,0,0,0.0133204665509162,0.133643941464642,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.30810993672087e-09,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136092364281032,0.010266230889573,0,0,0,0,0,0,0.166739171291245,0,0,0,0,-0.00310372416130795,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602410182654631,0,0,0,0,0,0,0,0.181269529347375,0.00914773350191385,0,0,0,-0.00587076050200272,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.151771750308893,0,0,0,0,0,0,0,0,0,0.17183803117804,0.101480315889963,0,0,0,0.001411258131031,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0165774118802079,0.0565283465208434,0.0201261081601355,0,0,0,0,0,0,0.0247527567467402,0.0141719375215265,0,0,0,-0.00373150764867815,0,0,0
X939.HK.EQUITY,0.382572978807375,0,0,0,0,0,0,0,0,0,0,0.0246926198794343,0.111371438091658,0,0,0,0,0,0,0,0,0.00256918086444769,0,0,0,0,-0.000570116890635759,0,0,0
X601288.CH.EQUITY,0,0.178455065119696,0,0,0,0,0,0,0,0,0,0,0.0344747701985115,0.000244277838395084,0.0815569359671977,0,0,0,0.014741316422408,0,0,0.022103439880614,0,0,0,0,-0.00277243037733713,0,0,0
X5.HK.EQUITY,0.014908644965448,0,0,0,0,0,0,0,0,0,0,0.0895441699157986,0.101543633455111,0,0,0,0,0,0,0,0.0690280774632486,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.085682598939745,0,0,0,0,0,0,0.127397167078948,0,0,0,0,0,0,0,0,0.0135934094533578,0.0491947865052107,0,0,0,0.000288882250085107,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596514475349961,0,0,0,0,0.0286648276167615,0,0.0180836478111374,0.0948713785642308,0,0,0.0137233175780322,0,-0.00263938198791553,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0836003759543007,0,0,0.0914301639671367,0,0,0,0,0,0,0.194288718319434,0.0151705632546433,0,0,0,0,0,0,0
