,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430959369876757,0,0,0,0,0,0.0279824817714695,0,0,0,0,0,0,0.000668692992620045,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00245134344704933,0,0,0,0,0,0,0.251557589476006,0,0,0,0.0613661747194822,0,0,2.64697796016969e-23,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146727855547925,0,0,0.159729451326523,0,0,0,-0.00177926961293376,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.128836454172574,0,0.184761993190511,0,0,0,0,0,0.131730889859867,0,0,0.0234479347175035,0,0,0,0.000134536018003514,0.0513612622728708,0,0
X939.HK.EQUITY,0.355888944609588,0,0,0,0,0,0,0,0,0,0,0,0,0.128169423158047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170521697119023,0,0,0,0.0266359772882364,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.100143195471965,0.0037721809554797,0,0,0,0,0,0.0948625621784992,0,0,0,0.0404658975958372,0,0,-0.00320631202592885,0.0229473454847339,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0180198734369649,0,0,0,0,0,0,0.0908257737406362,0,0,0.0423900513541748,0.086791501325307,0,0,-6.7762635780344e-21,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233431492798467,0,0,0,0,0,0.0179100555518389,0,0,0,0,0,0,-0.0011061751588418,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201387476872534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706389689155269,0,0
