,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.216031105551347,0,0,0,0,0,0,0,0,0,0,0.0668000270504705,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0626599229593566,0,0,0,0.0697101231740115,0,0,0,0,0.080166798779782,0,0,0.0859047822162097,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196881290184077,0,0,0,0,0.0411299062583529,0,0.0467591948573339,0,0,0.00373364091244147,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233111206849277,0,0,0.288509687586143,0,0,-0.000348983786189598,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.187191128394737,0,0,0,0,0,0,0,0,0,0,0,0.148865137700465,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.296737773862265,0,0,0,0,0,0,0,0,0,0,0,0.119913652585929,0,-0.00916443357789913,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00422923251598813,0,0,0,0,0,0,0,0.0465125963849898,0.0907445106879219,0,0.0625833182501148,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.265436856594619,0,0,0,0,0,0,0,0,0,0,0.0804087913150222,0,0,-0.000408422381542108,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925527627528463,0,0,0,0,0,0,0,0.0694368475699821,0,0.0358116598517385,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.235837104317348,0,0,0,0,0,0,0,0,0.140533029167956,0,0,0.130745201396894,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.298103663950636,0,0,0,0,0,0,0,0,0,0,0.221588079590049,0,0,-0.00522950937851105,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.296652370990505,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.003107663505139,0.0238941260898561,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.34979745563665,0,0,0.239242030842689,0,0,0,0,0,0,0,0,0,0.0924783411173841,1.73472347597681e-18,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.252052114625347,0,0,0,0,0,0,0,0,0,0,0,0.253566234628855,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0655099258434128,0,0,0,0,0,0,0,0.0604952076613778,0.0722342717290437,0,0.019923196374886,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0809309108840307,0,0.238929791492886,0,0,0,0,0,0,0,0,0,0,0.178498956795307,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.150591180314238,0,0,0.161338180513556,0,0,0,0,0,0,0,0.0129658234149475,0.0339193012231342,0,0.0259620506881079,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0760499184996833,0.0265183494103275,0,0,0,0,0,0,0.0900682159808252,0.177195380183664,0,0.0423952900266246,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0182244276860357,0,0,0,0,0,0,0,0,0,0,0.274201337544954,0.0550598389824819,0,-0.00736955140091769,0,0,0
