,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.16897061766583,0,0.10956573487154,0,0,0,0.0597417100878579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124981863346122,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736381273110327,0,0,0,0.0609342192974042,0,0.102467830582163,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.101584923927964,0.0493585398837593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.133090668913389,0,0,0,0,0,0,0,0,0,0,0,0,0.00741760451330718,0,0.0248798633769494,0.18086449523112,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0.0489513692948931,0.0397686329435154,0,0,0,0,0,0,0,0,0,0,0,0.0171686533261289,0,0.0101238525230562,0,0,0,0,0,0
X939.HK.EQUITY,0.0811000713235089,0,0,0,0,0,0,0.0889923783689682,8.67361737988404e-19,0.0722954519989488,0,0,0,0,0,0,0,0,0,0,0,0.0264058274276717,0,0,0,0,-0.0142200039692511,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.00908164070887576,0,0.131804583794907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965322102154496,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0.342925788923171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.234077083027467,0,0,0,0,0,0,0,0.578947658114048,0,0,0,0,0,0,0,0,0.0274280769497633,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.00167006922745904,0.068255613887175,0,0,0,0,0,0,0,0,0,0,0,0,0.363599047573752,0,0,0.0788482539638484,0,0,0,0,0
