,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.67737999980271,0,0,0,0,0,0,0,0,0,-0.0399198316020685,0,0,0,0.15343976360415,0,0,0,0,0.104568219318775,0,0,0,0.00243776005709576,0,0.000734492109548844,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0916387502332422,0,0.0505076530161166,0,0,0,0,0.00684508565793171,0.00567462556018444,0,0.062123059477836,0,0.0703533817268293,0,0.0290196235160924,0,0.0164377305740609,0,0.0352303448347814,-0.00197712618111151,0,0
X2318.HK.EQUITY,4.33680868994202e-19,0,0,0,0,0,0,0.116452926073047,0.0158669538329522,0,0,0,0.0631163263958891,0.0382596774135195,0,0,0,0.00526522019152918,0,0,0,0,0.0240727545774524,0,0,-0.000466110232047549,0,-0.00701102236138118,-0.00324686853351401,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0480268914327276,0,0,0,0,0,0,-0.0225846017594726,0,0,0,0,0,0,0,0.153700193059689,0.386266204620499,0,0.0404181673247229,0,0.00962351281196687,0.0168791965168794,0,-0.0369926839331403
X939.HK.EQUITY,0.65812512201049,0,0,0,0,0,0,0,0,0,0,0,0.139461861925645,0,0,0,0.00614691632541571,0,0,0,0,0,0.0227035337712353,-0.00470362896293143,0,0,0.0926942151899419,-0.00472873488228984,0.000753036380689153,0,-2.16840434497101e-19
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0.0710509207520336,0,0,0,0,0,0.0225450567435712,0.0265882630088762,0,0.0627551147662338,0,0,0,0.117371093520911,0.0294072208678636,0.0418509828696076,0,0,0,0.0105734113914899,-0.00301325848408054,0,-0.0908102118679561
X601288.CH.EQUITY,0,0,0,0.0020284632520349,0,0,0,0.00614436181397546,0,0,0,0,0,0,0,0,0,0.0464985022023847,0,0.0521567447859612,0,0,0.0279784536204358,0.109510521481028,0,0,-0.0168732272783812,0.00210468978765123,0,0,0
X2628.HK.EQUITY,0,0,0,0.536026454261238,0,0,0,0,0.192157749506489,0,0,0,0,0,0.204353452022533,0,0,0,0,0,0,0,0.0400030994006769,0,0,0.0643098722851681,0,0.0234027812883381,0.0188199150986903,0,0.0899367403937723
X601628.CH.EQUITY,0,0,0,0,0,0,0,1.00843818228541,0,0,0,0,0,-0.122489400221256,0,0,0.188942382544656,0,0,0,0,0,0,0.437012182237048,0,0,0,0.0666802582960668,0.0270998745085757,0,-0.0292336555125137
X600036.CH.EQUITY,0,0,0,0.0404914635996775,0,0,0,0,0.150562100947585,0,0,0,0,0,-0.00170070062166617,0,0,0,0.127177636255133,0,0,0.0686636773832562,0.213578687624032,0,0,0.00131420371470483,0,4.33680868994202e-19,0.0131081348473839,0,0
X3988.HK.EQUITY,0.389336892773229,0,0,0.000116730007246595,0,0,0,0.0764012580348666,0.0786410234688034,0,0,0,0.0437304610428083,0.00807666684893487,0.0137754921324505,0,0,0,0,0,0,0,0,0,0,0.0111442634241042,0,0.0188438424388973,0.00773350311044311,0,0
X601988.CH.EQUITY,0.0299626739146279,0,0,0,0,0,0,0,0,0,0,0,0,-0.00274059235521748,0,0,0,0.605448646908982,0,0,0,0,0,0,0,0,0,0,0.0332152440026595,0.00679839338730097,0
X1299.HK.EQUITY,0,0,0,0,0.137461276019874,0,0,0,0,0,0,0,0,0.0589421882622093,0.343476628663649,0.0391246064964779,0.100841293471013,0,0,0,0,0,0,0,0,0,0.136615078258377,-0.0401433190934988,0.00520662371523761,-0.0230938378799535,0
X5.HK.EQUITY,0,0,0.0774573270521382,0,0,0,0,0.221593991591497,0,0,0,0,0.201866626651666,0,0.0527999494549508,-0.0237929163735967,0,-0.313611298804951,0.313977078020059,0,0,0,0,0,0.226898280183435,0,0,0,-0.0407604673333527,-0.0308685136046686,0
X388.HK.EQUITY,-0.167234651980108,0,0,0,0,0,0,0.520393278252753,0,0,0,0,0,0,0,0,-0.0313950492201225,0,0,0,0,0,-0.118036569531915,-0.0141435742003569,0,0,0,0.112436683436097,0,0,0.0515864348974125
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.0925602500064222,0,0,0,0,-0.0488972491045315,0.0215346211947245,0,0.479943522326354,0,0,0,0,0,0.0317813137480748,0.559829380227931,0,-0.0604595044992836,0,0.0733703269542154,-0.0224462563880073,0,0
