,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.170042824107602,0.518574633363258,0,0,0,0,0,5.72759176395414e-05,0,0,0,0.0502944712306666,0,0,0,0,0.0116782884227021,0,0,0.00718282328922411,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0.0349603959325259,0,0.383419988486423,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.141188086920356,0,0,0,-0.0263866574655563,0,0,0.0397227574639918,0,0,-0.0037683494983964,-0.00394541976803262,-0.0204831468769066,0,0
X601318.CH.EQUITY,0,0,0,0.0274125626838424,0,0,0,0,0,0,0.132915795006308,0,0.0351758039440328,0,0,0,0,0,0,0,0,0.297903373724032,0,0.26752025762219,0,0,0,-0.0377018989797819,0.0126365460179693,0,0
X2318.HK.EQUITY,0,0,0.536012530184063,0,0,0,0,0,0,0,0,0,0,0.0506067934216161,0,0,0,0,0,0,0,0.031975514080004,0,0,0,0.053427976063854,0,-0.00765132726162176,0,-0.0308595983891406,0
X601939.CH.EQUITY,0,0,0.045137047650257,0,0,0,0,0,0,0,0,0,0,0.167059763084787,0,0.277031253919859,0,0,0,0,0.0313308092247563,0.0297317481963904,0,0,0,0,0,0,0.0420563434863304,0,0
X939.HK.EQUITY,0.630769966964963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864754856437995,0,0,0,0,0,-0.0175412075985224,0,0.00253109615792727,0,0.0152141813189761,0,0,0,0.0133101427879242,0.0113670521261152,0.0217538390830847
X601288.CH.EQUITY,0,0,5.27521825656103e-05,0,0.335593102142235,0,0,0,0,0,0,0,0,0.0328837502287425,0,0,0,0,0,0,0.00767633379093258,0,0,0.131540063496248,0,0,0,0,0,0,0.0219538597003399
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412385302792479,0,0,0,0,0.0674702559715662,-0.0165636902201677,0.124666832195362,0.2526452101434,-0.0210520337816762,0,0,0,0.0207639434551322,0,0,0.130266210838909
X601988.CH.EQUITY,0,0,0,0,0.0443581451980697,0,0,0,0,0,0,0,0,0.176684683633622,0,0,0.0525503813878256,0,0,0.0549524706637375,0.0169008545573314,0,0,0.00305924347805669,0,0,0,0.0103238419668998,-0.00316936891884278,0,0
X3988.HK.EQUITY,0,0,0.0644180996147551,0.0801373291961729,0,0.26997030733602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275930472493075,0,0,0.0364252592055202,0,0,0,-0.0135444987480902,0.00812975613124383,0.0789705144622476,0
X600036.CH.EQUITY,0,0,0,0,0.076607491896289,0,0,0,0.0968165516055251,0,0,0,0,0.104687747063711,0,0.396278690678669,0,0,-0.135896844685123,0,0.0506086962297254,0,-0.0299825686068287,0.224905787795746,0,0,0,0.0136355840548549,-0.0824497677465859,0.0457435642531484,0.0634307600857766
