,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.541074171720087,0.15343762178757,0,0,0,0,0,0,0,0,0,0.0633893071940336,1.73472347597681e-18,0.00809763668784282,0,0,0.00521047842097805,0,0.00822429730987616,0,0,0,0,0.0078458124696313,0,0,0
X601398.CH.EQUITY,0,0,0.0287256867585501,0,0,0.395383735075646,0,0,0,0,0,0,0,0,0,0,0.073014826818692,0,0,0,0,0,0.0885508383635653,0,0,0,0,-0.00378409431180907,0,-0.0047514899502822,0
X601318.CH.EQUITY,0,0,0,0.0850733671796153,0,0,0,0,0,0,0.18206423422758,0,0,0.0394287161549157,0,0,0,0,0,0,0,0.237978517402165,0.2918790915076,0,0,0,0,-0.0410657812377187,0.0182456364441153,0,0
X2318.HK.EQUITY,0,0,0.533983144762929,0,0,0,0,0,0,0,0,0,0.000929152842759705,0.155572200841281,0,0,0,0,0,0,0,0.00505379724665209,0,0,0,0.0695356298433725,0,-0.00399067724845482,0,-0.0411920485679638,0
X939.HK.EQUITY,0.621207675050285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918698405184625,0,0,-0.0137499468618734,0,0,0,0,0,0.0075282199727138,0,0,0,0,0.0125060027569328,0.0137440436464684,0.0147923443219556
X601939.CH.EQUITY,0,0,0.083596168444288,0,0,0,0,0,0,0,0,0,0.133202983510247,0,0,0.276601731004996,0,0.0133215435107743,0,0,0,0.0745129697321875,0,0,0,0,0,0,0.00238038806409009,0,0
X601288.CH.EQUITY,0,0,0.00675332503557129,0,0,0.428083112759156,0,0,0,0,0,0,0,0,0,0.108075670398354,0,0,0,0,0,0.0479933447309177,0,0,0,-0.0118851093187362,0,-0.0145648121946732,0.0046272396261607,0,0.0185265938825507
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.127712254339405,3.46944695195361e-18,0,0.0665671774522321,0,0,-0.020866862665986,0,0,0,0.143452098439589,0,0.1364789078055,0,0,0,0.00954775220358017,0,0,0
X3988.HK.EQUITY,0,0,0,0.0355281071728738,0.223429421110171,0,0,0,0,0,0,0,0.0960394628638706,0,0,0,0.00205916119960324,0,0,0,0,0.00366365371899386,0,0,0,0,0,-0.0155012602299341,0,0.0870094141237289,0
X601988.CH.EQUITY,0,0,0,0,0,0.0504717160174559,0,0,0,0,0,0,0.142851654298965,0,0,0,0,0.0294283707776993,0,0,0.112436103831839,0.047703317571047,0,0,0,0,0,0.00554548443720795,-0.00618727128409979,0,0
X600036.CH.EQUITY,0,0,0.0774959034412326,0,0,0.0507090880161129,0,0,0,0.255578284721879,0,0.201421549155088,0.0956209729135668,0,0,0.132357711596432,0,0,0,0,0.165424354850038,0,0,-0.0382417956944042,0,0,0,0.0155329719344321,-0.0810342322069473,0.0972933292865141,0.152532799451409
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632433434764319,0,0,0,0.0149632309650537,0,0,0,0,0,0.0285474376727454,0.34495043454974,0,0,0.0350495034710455,0.0584838115053896,-0.0573299889219429,0.0843615849562626
X601628.CH.EQUITY,0,0,0.411964079402167,0,0,0.186686004395462,0,0,0,0,0.00372033584981637,0,0,0.0440715276901687,0,0,0.240508364491705,0.156367505890744,0,0,0,-6.93889390390723e-18,0.306513037060988,0,0,0,0,-0.00870277754230204,0,0.0760429108815779,0
X2628.HK.EQUITY,0,0,0.39412398887243,0,0,0,0,0,0,0,0,0,0.225869374165891,0,0,0,0,-0.044348719440563,0,0,0,0,0,0,0,0,0,-0.0122018172347993,0,0.101721623967752,-0.0111462742223439
X3328.HK.EQUITY,0,0,0,0,0.107170049445798,0,0,0,0,0,0,0,0.00550976009218543,0.232154983065717,0,0,0,0,0,0,0,0,0,0,0.145583857142667,0,0,0,-0.0226483715042057,0.0162450610414885,0.0166923757078475
X601328.CH.EQUITY,0,0,0,0,0,0.422246812789882,0,0,0,0,0.0440596990582438,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.29571211114401,0.0772041469007075,0,0,0,0,0,0,-0.0124378452156934,0,0.0564422287744226
X601166.CH.EQUITY,0,0,0,0,0,0.532229431746459,0,0,0,0,0.200925781620594,0,0.0387485979222609,0,0,0.00769012521935396,0,0,0,0,0.289902698634302,0.027554005346259,0,0,0,4.33680868994202e-19,-0.00906146409491035,0,0.0281734380013528,0,4.33680868994202e-19
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0744413702469056,-0.246951745856549,0,0,0,0,0.166970362846463,0,0,0,0,0.498353628575209,0,0,0,0,0.015672435070385,0.0311516648069976,-0.404463586635225,0.0237980762551118,0
X11.HK.EQUITY,0,0,0,0.043087818191007,0,0,0,0,0,0,0,0.0279469039891365,0,0,0,0,0,0.0226273783482605,0,0,0,0,0.0736591779728583,0.209828006168528,0.0681358175579626,0.0113062197298756,0,0,0.0499475946699539,-0.070183173679593,-0.0589084339470439
X16.HK.EQUITY,0,0,0.0135426455079702,0,0,0.0444611295955268,0,0,0,0,0,0,0,0.0576879541127064,0,0,0,-0.0586311430445854,0,0,0.0416761853671102,0.0482093569090162,0,0,0,0,0,0.00713114937088793,0.0269764527454323,0,-0.15621418450584
X600000.CH.EQUITY,0,0,0.0369438966914185,0,0,0,0,0,0,0,0.136929852474444,0,0.00231468067941464,0,0,0,0.309497118346965,0,0,0,0,0,0.0230407746136961,0.164242854476555,0,0.00205495654848541,0,-0.0122642985043866,0,-0.0282012450366332,0
X000002.CH.EQUITY,0,0,0.486317715245827,0,0,0,0,0,0,0,0,0,0,0.347551397329199,0,0,0,0.0563911158347506,0,0,0,0,0,-0.153357059608642,0,0.0175001046980479,-3.46944695195361e-18,0.0555836090700614,0.0791725281087362,0,-0.0583849389456667
X601601.CH.EQUITY,0,0.0468375541573808,0.312160095808089,0,0,0.0331304465730074,0,0,0,0,0.106424129862723,0,0.114924819746938,0.205775206718651,0,0,0,-0.0452261774384321,0,0,0,0,0,0,0,0,0,0.0141608340030353,-0.025849689910356,-1.0842021724855e-19,0
X2388.HK.EQUITY,0,0,0.0490110081266274,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.0550335169622112,0,0,0,0,0,0,0.492483407394711,0,0,-0.0321894914906785,0,-0.0179300718051659,0.00445114624399443
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.21576448416127,0.0895867067062393,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0407424377021381,0,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.0129268166040454,0.102602564877061,0,0,0.0359379622955174,0.0215379618353058,0,0,0,0.0366479579260099,0,0,0,0,0,0,-0.0490909452004322,-0.740318434366745,-0.149255558895019
FXI.US.EQUITY,0,0,-0.182842124721809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035044288754133,0,0,0,0,0,0,0,0,0,-0.258217471297795,0.0496649145409129,0.0699632238861097,0
VXFXI.INDEX,0.0321343594232628,0,-0.155384967921331,0,0,0,0,0,0,0,-0.983648834007996,0,0,0,0.809343611649745,0,0,0.00544268886274255,0,0,0,0,0,0,0,0,-3.75969624998635,0,0.157089487689258,0.366955872053572,0
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.568561192280386,0,0,0,0,0,0,0.511908705528691,-0.0204510837076132
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0.090861586319364,0.282635844821601,0,0,0.0201527794212513,0,0,0,0,0,0,0,0,-1.22150919454248,0,0.00300953257647417,0.0202634557981998,0,-0.116532615702835
CREDIT.SP,0,0,0,0,0,0,0,-0.261494588176504,0,0,0.130244803584149,0,0.116750047837933,0,0,0,0,0.134507092005563,0,0,-0.117279050772473,-0.103638115842839,0,0,0,-0.270550012608248,-0.139690042346089,-0.072664057112003,-0.0875595175218623,-0.34823636040567,0
