,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.365581522943984,0,0,0,0,0.187785397126437,0,0.174153721589654,0.0676773127818652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00766449026555593,0.00493669432713141,-0.0237341175468037,0
X601398.CH.EQUITY,0,0,0,0,0,0.0597018887681727,0,0,0,0,0,0,0,0,0,0,0,0.251300085225241,0,0,0,0,0,0,0,0,0,0.00846555607304895,0.00490259807088382,0.0169549095007401,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00588551352440525,0,0,0.0273378135293639,0,0,0,0,0.0687043920312319,0.0606891412062652,0.349197531196185,0,0,0,0,0.00845171172783206,0,0.0135840937700651,-2.16840434497101e-19,0,0
X2318.HK.EQUITY,0,0,0.0604704369403437,0,0,0,0,0,0,0,0.0978399525573466,0,0,0,0,0,0,0,0,0,0.253611398930234,0,0,0,0.285699982049832,0.0064653698455349,0.00858436646748434,0,-0.0211775480546542,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0221601475556902,0.26589165826695,0,0,0,0,0,0,0.0602245680319918,0,0,0.12224493278663,0,0,-0.00377419717446149,0,0.000259839898337251,0.0132859840031866,0,0
X601939.CH.EQUITY,0,0.328576243306045,0,0,0,0,0,0,0,0,0,0.0487958303946359,0.0590082001075207,0.0884255262561391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100831459856383,-0.00931991436674974,0,-0.0439384924828153
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0779009118221784,0,0,0.0554337669613688,0,0,0.119759671286841,0,0,0,0.0249125001400009,0,0,0,0,-1.0842021724855e-19,0.00377205803125572,0.0160957877016323,0
X5.HK.EQUITY,0,0,-0.0797160158676587,0,0,0,0,0,0,0,0.491016441732301,0,0,0,0,0,0,0,0.0890325996216154,-0.0807297915868324,0,0,0,0,-0.0276130681615333,0.0226022602544591,-0.0273755729256993,0,0.0365212034650895,-1.38777878078145e-17,-0.0946991538586852
X601988.CH.EQUITY,0,0.0228323296967643,0,0,0,0,0,0,0,0,0,0,0.0305669084519912,0,0.0453486405683431,0,0,0,0.184190856170837,0,0,0,0.0322211977504768,0,0,-0.0307312128822716,0,0,-0.000170066789153059,0,0
X3988.HK.EQUITY,0.391582928342375,0,0,0,0.175607252700141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00454129104174605,0.0234621560010642,0.0482721548150898,0,0,0,0,-0.00296385434432821,-0.00513012767443968,0.0328139760043031,0
X600036.CH.EQUITY,0,0,0.471105106117094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184063917414551,0,0.0209033704019786,-0.0584229801119547
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178579928063702,0,0,-0.0422160730305506,0,0,0.191131824812737,0.311468063395922,0,0,0,0,0.0271243628023813,0.0215845335045956,-0.184898289950072
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701685897719409,0,0.443801626371351,-6.93889390390723e-18,0,0,0,0,0.384312446260894,0,0,-0.00997885433872559,0,0.0221250363345656,0
X601628.CH.EQUITY,0,0,0.12047306030222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917080329251869,0.0505265565659971,0.432072335044513,0,0,0,0,0,0,0.00920219564048242,-0.0217560686259312,0.0649369912697724,0
X601166.CH.EQUITY,0,0,0,0,0,0.0684097388557502,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.457036485337761,0,0,0,0,0.010337959942627,0,-0.00850759160667789,0.0136524339142528,0,0
X601328.CH.EQUITY,0,0.269600602064088,0,0,0,0,0,0,0,0.268572886778002,0,0,0,0,0,0,0,0.163358493186954,0.0655479496135802,0.053643224750991,0,0,0.00988583443372988,-3.46944695195361e-18,0,0.0865930969311709,0,-0.0149280213130111,-0.0215029018338646,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582096954551759,0,0,0,0.114998088529803,0,0.0802444918239215,0,0,0.102690828781077,0.123255442565528,0.097471689581001,0,0.00315559323707499,-0.0232597493083355,0.0522234152837198,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.239068215668125,0,0,0,0.350206732748606,0,0,0,0,0,0.0325292167116567,0.0765821903036333,0.0397467128616391,0,0,0.0216665927349772,0,-0.0020205697236163,0,0,0
X601319.CH.EQUITY,0,0,0.410391485772751,0,0,0,0,0,0,0,0,0,0.345008807735737,0.0235757060727753,0.0223396772693908,0,0,0,0,0,0,0,0,0,0.200551014641087,-0.081081557579942,0,0,0,0,0
X000001.CH.EQUITY,0,0,0.541886575013179,0,0,0,0,0,0,0,0,0,0.16158933984511,0,0.220340191644114,0,0,0,0,0,0,0,0.00332436393940316,0,0,0,0,0,0.00426358795775696,4.33680868994202e-19,0.0352442727067393
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110842926534104,0,0,0.0546434476104714,0,0,0.335073644143443,0,0.321090593452704,0,0,0.0673943148939937,-0.00912705071091728,0,-0.0295646872088252,0.0140916416564839,0,0
X000002.CH.EQUITY,0,0,0,0,0,-0.185543027236169,0,0.3339065534396,0,0,0,-0.0509688925449591,0,0,0,0,0,0,0,0.342339456257704,0.451481226962052,0,-0.275659222361808,0,0,-0.0133184914423042,0,-0.0311034510166365,-0.0141787929012768,0.0286068512505833,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278420822024802,0,0,0,0,0,0.400905502710575,0,-0.175452006285341,0,0,0,0.343457338292158,0,0.172927441775016,0,-0.0270008908792958,0,0.151758672723134,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.73474115766943,0,0,-0.300794562523635,0.426617414879072,0,0,-0.0441436363773673,0,0,0,0,0,-0.0395917284465963,0,0.0705991832232011,0,0,0,-0.0287656122225534,0,0.0386029758171066,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.135905674868358,0,0,0,0.60313484664226,0,0,0,0,0.145860010581777,0.269848051314654,0,0,0.16459399801639,-0.386648885901369,0,0,0,0,0,-0.0083041980253478,0.0250608995843816,-0.023258766464618,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936339739283729,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.95749825315064,-0.863378259134304
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0.118218998344122,0.277811142499191,0,0,0,0,0,0,0,0,0.213502698358109,0,0,0,0,0.059024088842898,0,-0.125208328553348,0,-0.15158193393158,-0.265767091483929
VXFXI.INDEX,0,0,0,0,0.607678742280757,0.0154498773270079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78485306697962,-0.262515153835981,0,0,0.154113549244844,-5.23704449622806,0,0.0917440921580692,0,0
TED.SP,0,0,0,-0.827647812403877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.817450630653485,0,0,0,0.197454288941909,0,0,-0.587055715939641,0,0.0985591037393417,0,0.430434637703357,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0.0434756604526987,0,0,0,0,0,0,0.030869405270046,0,0,0,0,0,-0.822777470185864,0,-0.0127247523153378,0.029615475076321,0,-0.930550347338112
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,-0.168203865668891,0,0,-0.0872472670772958,0,0,0,0.313161862400107,0,0.0339907564268809,0,0,0,0.00895834020883282,-0.431755496310361,-0.0496742509439954,-0.0188944308346046,0.00272592199609802,-0.702226229845152,0
