,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.0631365196648285,0,0,0,0,0.0704444973095217,0,0,0,0.0199431578592236,-0.0165352723671911,0,0,0,0.367257870331351,0,0,-0.0262687407704973,0.00508099734217223,0,0,0,0,0,-0.0017969100888924,-0.00390128894300427,0,0.0361318557066356
X1398.HK.EQUITY,0,0,0,0,0.498365181070785,0,0,0.0914658158077689,0.0637884830678373,0,0,0,0,0.0767748041788612,0,0.165052597422989,0,0,0,0,0.0334803316813909,0,0,0,0,0,0,0.00386622582405439,0.0160193291431818,0,0
X2318.HK.EQUITY,0,0,0,0.623198484621188,0.0333822761473305,0,0,0,0,0,0,0,0.0968401443745994,6.93889390390723e-18,0,0,0,0,-0.0148878601740397,0,0,0,0,0,0.123723602803895,-0.0412989278955587,0,0.00417798567486785,0.0162368625494202,0,0
X601318.CH.EQUITY,0,0.196000057479775,0.238743692725073,0,0,0,0,0,0,0,0,0,0,0.0734906667644358,0.0585509857909831,0,0,0.0411246341225951,0,0.0943191057644852,0,0,0.122504161411773,0,-0.0370558451399527,0,0,0.00767031138892211,-0.0169555537930267,-0.0337003650750312,0
X939.HK.EQUITY,0,0.559781268186675,0,0,0,0,0,0,0.165013319198699,0,0,0,0,0,0,0,0,0,0,0.0557795852800999,0,0.0564495394552347,0,0,0,0,0,0.00721438533947208,0.0178022029589342,0,0.0660388803485616
X601939.CH.EQUITY,0.031413705051125,0,0,0,0.107563438273655,0,0.0792010663198989,0,0,0,0,0.0760155265070338,0,0,0.0049999221675272,0,0,0.016310170904326,0,0.0580884594221826,0,0,0,0,0,0,0,-0.0115614711452041,0.0272179536290969,-0.0593715861221005,0
X601288.CH.EQUITY,0,0.0609213638696692,0,0,0,0.34206930937272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399489306203487,0,0,0,-0.0161987159926902,0,-0.00142474202141219,0.0248895850461697,0,0
X5.HK.EQUITY,0.0792168591587526,0,0,0,0,0,0.313428872058112,0,0,0,0.191236956621519,-0.309901588121487,0,0.0617378311544391,0,0,0,0,0,0,0.0220353566030235,0.465348243572799,0,0,-0.0157544084877447,0,0,0,0.0160523257595382,0,0
X3988.HK.EQUITY,0,0.453676518947309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383823548967414,-8.67361737988404e-19,0,0,0.13617101966233,0,0,0.000118772787484436,-0.00532569360881568,0.0457137480333272,0
X601988.CH.EQUITY,0,0,0,0,0.0458832370763723,0.273753696327082,0,0,0,0,0,0,0,0.0854609038563739,0,0,0,0.0440546952180523,-0.00938268140108265,0.0163949995412502,0,0,0,0,0,0,0,0,0.00136648132914622,0,0.0536655666267119
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.22128725928888,0,0,0,0.115065126350071,0,0,0,0,0,0.102557677727664,0,0.215288379880929,0.324599817076926,0,0,0,0,0,0,-0.00288804106007981,0.0118016637787766,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0620296518727477,0,0.0809254257403237,0,0,0,0,0,0,0,0.0410443657219927,0,0,0.637554966051132,0.0836239715673511,0,0,0.0267277371376808,0.020851628479114,0.0698696588141935,-0.0737660077297396
X2628.HK.EQUITY,0,0.0376261503982101,0,0,0.0130810497842467,0,0,0,0,0,0,0.0835326690922842,0,0.317986572811669,0,0,0,0,0,0,0,0.122623011410278,0,0,0.0766579116499037,0,0,-0.000870950768849949,-0.0147548444496681,0,0.057721130031063
X601628.CH.EQUITY,0,0,0,0.195988658842095,0,0,0,0,0,0,0,0,0.295963902514132,0,0,0,0,0.113870945489651,0,0.0796219291122148,0,0,0.0931820701610053,0,0,-0.13905223962678,0,0.0227120184955847,-0.0139218838262736,0.0898986526655847,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.226602729294189,0,0,0,0,0,0,0,0,0.160698414626439,0.121134253468223,0,0.164346822916701,0,0,0,0,0.00231791721041391,-0.00342971235546946,-0.00408391924052541,0
X3328.HK.EQUITY,0,0.320908741893557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15247310005427,0.165419337465984,0,0,0.0298704496512797,0,0,0.0169675261532583,0.00767254730602434,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0179886721790583,0.00974457841848778,0.136820973957317,0,0,0.170844101374288,0,0,0,0,0.0411526119378654,0,0,0,0,0.00716999255277767,0.0279423320550992,-0.00672870123630101,0.0256686538065609
X600000.CH.EQUITY,0,0,0,0.0814861713695536,0,0,0,0,0,0,0.219524769418654,0,0,0,0,0,0,0,0,0,0,0.101637020953942,0.00552450503034846,0,0,0,0,0,0.0176423012687846,-0.0158899211874847,0.0649151479089704
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721158380477186,0.292581653095415,0,0.0735726051116297,0.0811858688110877,0,0.0736997363308002,0,0.01204914075107,0.0109727658936949,0,-0.0662451631255071
X000001.CH.EQUITY,0,0,0,0.204868231655343,0,0,0,0,0,0,0.417328411195428,0,0,0,0,0,0,0,0.29439230936046,0,0.34656850488453,-0.138828741869185,0,0,0.0704886566020537,-0.0323634867835404,0.181861127031756,0,0.0103816990366039,-0.135647249439592,-0.0631951834444078
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0260520726618453,0,0.2614896141581,0.191367234063603,0.538467620235657,0,-0.0660183376535552,0,0,0,0,0,0,0.0280473791556477,-0.011865964563118,0.058528690858119,-0.0495519646269533,0.0053942534687022,0,0
X16.HK.EQUITY,0,0,0,0,0.106933291301678,0,0,0.307531497427954,0,0,0,0.668318895875847,0.269720875444245,-0.125272097356779,0,0,0,0,0,0,0,0,-0.113335747674065,0.0117219762448978,0,0,0,-0.064236121074862,-0.0167870514394548,0.0142177153228017,0
X601319.CH.EQUITY,0,0,0,0.34746579049127,0,0,0,0,0,0,0,0,0,-0.443583876828201,0,0.297375168452648,0,0.0911906786281959,0.564228660574025,0,-0.0948167017939693,0,0,-0.349742337668533,0,1.00639620152575,0,0.0190235107979646,0.0231349940373892,0.833365120464092,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.528923625937783,0,0,0,0,0,0,-0.0666919659416978,0,0,0.0312337274681206,-0.0331975737085072,0,0,0,0,0.0191966022815244,0.0723029640119883,-0.0582067568914743,0
X688.HK.EQUITY,-0.0252619844756448,0,0,0,0,0,0,0,0,0,0,0.15126519452284,0.430037568868053,0,0,0,0,0,0.322615545613708,0,0,0,-0.035146456669675,0.0753781156782439,0,-0.111740002733334,0,0,0.017597626626817,0,0.0569274096094751
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105915042917711,0,0.0583590749019512,0.0935525708219986,0,0,-0.0679005180606729,0,0,-0.0444466139994453,-0.0457295802852888,-0.931169141234459,-0.751554338934125
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00385882782394699,0,0,0,0,0,-0.133924284668814,0,0,-0.041724835803442,0,0.124591872701177,-0.0442305926154997,0,-0.165989168026817,-0.0546444162661276,-0.0902655601082431,0
VXFXI.INDEX,0,1.11265466510357,0,0,0,0,0,0,0,0,0,0,0,-0.524986954677333,0,0,0,0,0,-0.15891114032968,-0.429886387171963,0,-0.48243742951363,0,0.650241485159523,-0.669010767747136,-4.9475095454896,0,-0.27653851843362,-0.707220980165065,0
TED.SP,0,-0.749821825032516,0,0,0,0,0,0,0,0,0,0,0,0.301530049674852,0,0,0,0,0.407836852720426,0,0,0,0,1.59452025726476,0,0,0,0,0,-0.0648482468345855,0.555457659234799
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001096978970136,0,0,0,-0.754661930404138,0,-0.0470441377259846,-1.73472347597681e-18,0,-0.531200858162676
CREDIT.SP,0,0,0,0,0,-0.0519435133731877,0,0,0,0,0,0,0.368953179793195,0,0,-0.18188046375009,0,0,0,0,0,0,-0.145983767776855,0,0,-0.860092805508884,0,-0.0509882371656627,0.0142254956549072,-0.796973306256852,0
