,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.0785278208058609,0,0,0,0,0,0,0,0,0.0108824248222532,0.0733089869620871,0,0,0,0.302805360421191,0,0.0737404280012981,-0.0747812340455873,0,0,0,0.0660216834458995,0,0,-0.00436120142847001,0,-0.00856179849647347,0.0111477331780077
X1398.HK.EQUITY,0,0,0,0,0.539342334879462,0,0,0,0,0,0,0,0.0246551459100031,0.0159921033832581,0,0,0.102288080381973,0,0,0,0,0.0825843625546209,0,0,0,0,0,0.00495549042089739,0.00372035808902303,0,0
X2318.HK.EQUITY,0,0.18425747963695,0,0.193741732428831,0.0540428630152898,0,0,0,0,0,0,0.0252150085223363,0,0.16437398347729,0,0,0,0,0,0,0,0,0.035817498685176,0,0,-0.0892479517784737,0,0.00403483527990266,0.00283838409554934,-0.0562720407572664,0
X601318.CH.EQUITY,0,0.227605941925891,0.19047783979214,0,0,0,0,0,0,0,0,0,0.102367862083732,0,0,0,0,0,0,0.198072598078042,0.0523598345861845,0,0,0,0,0,0.0501789639353337,0.0155790742678521,0.00760818358049816,-0.0508530734088692,0.0204331316110874
X939.HK.EQUITY,0,0.45258674391781,0,0,0,0,0,0,0,0,0,0,0,0.0411473597502454,0,0,0.302651078583829,0,0,0,0,0,0.00862802843129537,0,0.0568904822912125,0,0,0.000154396516719638,0.00436605374084093,0.00332529651161464,0.0614700838229052
X601939.CH.EQUITY,0,0,0,0,0.196645635185595,0,0.117300095444306,0,0,0,0,0,0,0,0,0,0,0,0,0.173860931235595,0.0480914924957531,0,0,0,0,0,0,-0.00531888024629343,0.00987390266848323,-0.0117491265953426,0
X601288.CH.EQUITY,0.32251838163135,0.00609004981706871,0,0,0,0.292019233932819,0,0.127533851777591,0,0,0,0,0,-0.0563310743093665,0,0,0,0,0,-0.069717870239475,0.0128150090019165,0,0.0553809293579551,0,0.02062495852728,-0.0355792378886896,0,-0.00141416930505544,-0.00757587109631896,0,0.0544069996144873
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951616993508983,0.0311348901245621,0,0,0.180890130744489,0.0284163755991339,0,0,0,0.0704853993138722,0,-0.0117534022816903,-0.180934167227128,0,-0.000183855034989451,0.0134166201922948,-0.14641928233361,0
X601988.CH.EQUITY,0,0,0,0,0,0.0459095694792114,0,0,0,0,0,0.086502606282257,0.000798893353257245,0,0.00025444206034303,0,0,0,0,0.0562978811158254,0,0,0,0.0121841464560427,0,0,0,0,0.00300494785458317,0,0.0453137587280947
X3988.HK.EQUITY,0,0.315979253152171,0,0,0.184184183624201,0,0,0,0,0,0,0,0,0,0,0,0,0.0127098367422522,0,0,0.0933930089999749,0,0,0.071783194356896,0.0537986793175101,0,0,0.00279997310140562,-0.0121307893612908,0.0664950389001226,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.117111266228358,-0.0526149145101914,0,0.0917128221612452,0,0,0.153868494696283,0,0.274495870795184,0.218793723551377,0,0,0,0,0,0,0.00698287571052082,-1.73472347597681e-18,-0.00652381640214832,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.143781381098649,0,0.0605885417669356,0,0.188359479120279,0,-0.0558779859102987,0,0.184345868046345,0.273627684023891,0.115424200542202,0,0.0229640787087242,-0.0316733832262105,0,0.000850708720999322,0.0169802726408603,0,0
X601628.CH.EQUITY,0,0,0,0.31419231191264,-0.0753259737778417,0,0,0,0,0,0.151368394273051,0,0,0.377272387691918,0,0,0,0,0,0,0,0,0,0.150269075180905,0,0,-0.10729350251227,0.00825524460698448,0.0133531140055107,0,0
X2628.HK.EQUITY,0,0,0,0,0.139396062201872,0,0,0.298935084232908,0,0,0,0,0.284491526955349,0,0,0,0,0,0.106122634146595,0,0,0,0.0968749755952205,0,0.0222474240868502,0,0,-0.00286059257541586,-0.0255917583436591,0,0.0606835046630564
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0861970765115552,0.0502600488561742,0,0.0459298452387343,0,0,0,0,0,0.327627623558056,0,0,0,0,0,0,0,0,-0.000959455839544453,-1.0842021724855e-19,0
X601328.CH.EQUITY,0,0,0,0,0,0.0510814817609879,0,0,0,0,0,0,0,0,0.0328282874234647,0,0,0.186281046967406,0,0.0998332783233364,0,0,0,0.0310012238355572,0.0451069345320162,0,0,-0.00141449019702268,0.00721357919624382,0,0.028641103390636
X3328.HK.EQUITY,0,0.270873309594532,0,0,0,0,0,0,0,0,0.00322923621808621,0.188308287009139,0,0.0395283256985648,0,0,0,0.00906904168294081,0,0.037282715924682,0.0553609437580051,0,0.110874998088262,0,0.0122885914905688,0,0,0.0109523279470313,-0.00164554139147602,-0.00757167809302613,0
X600000.CH.EQUITY,0,0,0,0.095409237383071,0,0,0,0,0,0,0.109274759528595,0,0,0,0.270129601181527,0,0,0,0.142368919408704,0,0.0694733944903734,0,0.0634657196620146,0.0278017310114863,0,0,0,0.00645528549827582,0.014785529395348,-0.00358028935042281,0.104551573065335
