,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.588343749343129,0,0,0,0,0,0,0.0510140974991783,0,0.0980556221207815,0,0,0,0,0,0.071661019656878,0,0.00433050807085749,0,0,0,0,0,0.00426717149974337,4.33680868994202e-19,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0331778420246366,0,0,0,0,0,0,0.109469121097052,0,0,0.133866036951752,0,0,0.0596967977424419,0,0.000212424401065594,-0.00217920907751293,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0492902394569527,0.22104701828464,0,0,0,0,0,0.306239904805998,0,0,-6.93889390390723e-18,0,0,0.0441857016307096,0,0.00846738926662615,0,0,0
X2318.HK.EQUITY,0,0,0,0,0.0512232626516042,0,0,0,0,0,0,0,0,0.26868686024923,0,0,0,0,0,0.320543739737704,0,0.0635102918125671,0,0,0,0,0,-0.00373672689104192,0,0,0
X939.HK.EQUITY,0.407890041230931,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.140146581474153,0,0,0,0.0169656261479078,0,0,0,0,0.014545768035609,0,0,0.0849657645022343,0,-0.0024609205044838,0.0130133818386613,0,-0.0123640874215663
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0486578711150368,0.0183040341943764,0,0,0,0,0,0.38901307917117,0,0,0.00308683300415627,0,0,0.0536358350526142,0,-0.00936983496419718,-0.00405270480930273,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0795324618639345,0,0,0,0,0,0,0.0560322720596618,0,0,0.0137041623614464,0.121947825271976,0,0.0637779357013621,0,0.0036512466799104,-0.00603643223537984,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057355435240005,0,0,0,0,0,0.0105982899074103,0,0,0.035761503427019,0.148322959391715,0.0343622592111163,0.0427358163681311,0,0.00607326239727055,-0.00011242929955361,0,0
X3988.HK.EQUITY,0,0,0,0,0.0214473823023552,0,0,0,0,0,0,0,0.0623526851544337,0,0,0,0,0.0606239101609334,0,0,0,0,0,0,0.311536557019781,0.0165645993409973,0,0.014440219293283,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215821834028251,0.0729140763742571,0.0107552519625732,0,0.0124208799694101,-0.00120827532516657,0.0939539085582253,0
