,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0570678475744753,-1.73472347597681e-18,0,0,0.23979754370355,0.107106730535895,0,0,-3.46944695195361e-18,0,0.0346610586926621,0,0,0,0,0.0107511046447029,-0.00868976872909654,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0959428601637131,0,0.258456106483249,0,0,0,0,0,0,0.0399047968089474,0,0,0.157583874115282,0,0.0308326133373715,0,-0.0015768094950389,-0.0051637495487451,0,-0.0279682514736881
X939.HK.EQUITY,0,0.28409577540137,0,0,0,0,0,0,0,0,0,0.012418853836312,0,0.0329043726339641,0,0,0,-1.38777878078145e-17,0,0,0,0,0.177922483410659,0.154984914789139,0,0.0363475901272603,0,-0.00323969751869255,0.00666948900387335,0,-0.0518137155559086
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0679822973923167,0.35444153076041,0.0223356660299927,0,0,0,0.0884688077180834,0,0,0.00928837304004464,0,0.0172018507807595,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.160365006198942,0.174629078111086,0,0,0,0,0,0,0.220750363350125,0,0,0,0.0982867277835384,0,0,0.0134600833420121,0.00559990361920666,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330785094496007,0,0,0,0,0,0,0.016450276135639,0.176518349828085,0.0992456687819744,0.0429444601326325,-3.46944695195361e-18,0.0215090471751827,0,-0.00108416223505971,-0.00219797971965517,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795683054764743,0,0,0,0.00177450345722944,0,0,0.102895080554706,0,0.0724860409817309,0,0,0.0587338720913,0,0.00868023396157806,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0525315946710488,0,0,0.00139295056359209,0,0,0,0,0,0,0.136547344712341,0,0.0409218484622842,0.273509402046822,0,0.0183172380077454,0,0,0.0156365832016823,0,0
X601988.CH.EQUITY,0,0,0,0.0669758127954851,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.00364964074620762,0,0.146482084802688,0,0.103014247432097,0,0,0.0411951281113743,0,0.00710905286006489,0.00924985398983125,0.0218783083534904,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.156452236346331,0,0,0.121778775710198,0,0,0,0,0,0,0,0,0.310559687371193,0,0,0,0,0,0.0148853275882083,-0.0645580820552095,0
X1299.HK.EQUITY,0,0,0,0,0,0.14278817039869,0,0,0,0,0,0,0.117741493826428,0.270597225326311,0,0,0,0,0,0,0,0.040519340469262,0,0.162625121960256,0,0.0479234706302664,0,-0.0113650194575807,0.0173301323256675,-0.0213317706400896,0
X5.HK.EQUITY,0,0.178444091674485,0,0,0,0.187117874278944,0,0,0,0,0.182950866657083,0,0,0,0.207325144343928,0,0,0,-0.0780549512029196,0,0,0,0,0,0,0.0182165336653029,0,-0.0112784526069945,0.0141944648470032,0,-0.259781703187153
