,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.200439580772384,0,0,0,0,0,0,0.0325210007212282,0,0,0,0,0,0,0,0,0.0234023385535256,0,0.00489138840648366,0,-0.00456324555620328,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.095857907720373,0.261450949475526,0,0.0653519227471362,0,0,0,0,0,0,0,0,0.127034594318166,0,0.0156004074239178,0,0.00360837369160126,-0.00443458247734839,0,-0.0447154903388599
X939.HK.EQUITY,0,0.235324228198927,0,0,0,0,0,0,0,0,0,0,0.174650078754937,0,0,0,0,0,0,0,0,0,0,0.0517027895718507,0,0,0,-0.00478030859196887,0.0133386540949111,0,-0.0849075518137442
X601939.CH.EQUITY,0.535585100333338,0,0,0,0,0,0,0,0,0,-0.0383806236255096,0,-0.00125906799161034,0,0,0,0.052711169537571,0,0.337188989014863,0,0,0,0,0,0,0,0,0.00730562603435057,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.26776137677383,0,0.126744442395589,0.0252927357840515,0,0,0,0.111215876334653,0,0.0330383678483921,0,0,0.0437973658377539,0.027387767837472,0,0,0,0,-0.00804090624001627,0.00679298731687579,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.183782625710131,0,0,0.156112992218332,0,0,0,0,0,0,0,0,0,0,0.10855727258295,0,0,0,-0.00112405272630219,0.0213881215944983,0.00348623798512674,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274344277000826,0,0,0.062666762196441,0,0,0.105664323971326,0,0,0,0.0331489284937542,0,0.0301964161955374,0,-0.0130406591586459,-0.00689320521514154,0,-0.00093521721126165
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.454936690105161,0.0321166229699024,0,0,0,0,0,0,0,0,0,0,0,0.0277948181884872,0,0.00592628535054703,0,0,0,0,-0.0733285569571601
X601988.CH.EQUITY,0,0,0,0.144907008487613,0,0,0,0.034618320469229,0,0,0,0,0,0,0,0,0,0,0,0,0.0238687024676098,0,0.00671685647547161,0,0,0.0300765307959693,0,-0.000720175858757929,0.0119520670342141,0.0164491691347569,-0.0744932932687965
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0638664849524394,0,0.192891762362487,0,0,0,0.237371608787502,0,0,0,0,0,0.392771179948658,0,0,0,0,-0.00636795755075373,0,-0.0279611793018858,0
