,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0.171291523467412,0,0,0,0,0,0,0,0,0.0318121328249991,0.0983953518122489,0,0,0,0,0,0,0,0,0,0,0.197954666610452,0,0.0243795726166555,0,-0.0129206082564493,-0.0101837054146106,0,-0.060367654098957
X601398.CH.EQUITY,0,0,0,0.143490912704716,0,0,0,0,0,0.204286276432643,0,0,0,0.0412032809460495,0,0,0,0.0434381029704231,0,0.0112755662434456,0,0,0,0.000101049953618487,0,0,0,0.00217112682191181,-0.000656133677379503,0,0
X939.HK.EQUITY,0.30718148487463,0,0,0,0,0,0,0,0,0,0.130236952636649,0.0499161576956912,0,0,0,0,0,0,0,0,0,0,0,0.0632165288191719,0,0,0,-0.0169053360515557,0.000229507373808033,0,-0.0653589622732948
X601939.CH.EQUITY,0,0.157281220328647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219779838702416,0.267747554615288,-2.71050543121376e-20,0,0,0,0,0,0,0,0.0138661055936825,-0.00618014235319139,0.004032151366023,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.309629036358907,0,0,0.0759375172022053,0,0,0,0,0,0,0,0,0,0,0.0859177162838759,0,0,0,3.46944695195361e-18,-0.0169119747594377,0.0178330279398539,0
X2318.HK.EQUITY,0,0,0,0,0.0686476056242809,0,0,0,0,0,0.210930546728716,0,0.138347583294283,0,0,0,0.0817145241821229,0,0,0,0,0,0,0.0639035537322891,0,0.0228033580640705,0.0102476703193632,-0.0052928855677277,0,0,0
X601288.CH.EQUITY,0,0,0,0.138172452788852,0,0,0,0,0,0,0,0,0,0.0888052741465692,0,0,0,0.0678372380358211,0,0.0687175653372516,0,0,0,0,0,0.0198898215794398,0,-0.00823803715246216,0.00252524329915473,8.67361737988404e-19,0
X601988.CH.EQUITY,0,0,0,0.153917763266458,0,0,0,0,0.0839297185722942,0,1.73472347597681e-18,-0.0295282093242226,-0.015764547873648,0,0,0,0,0,0,0.0696611174133809,0,0,0,0,0,0.0482089315030421,0,0,-0.0042489603830596,0.0379782642758562,-0.0469722721914654
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.109261782755624,0.069345795449196,0,0,0,0,0,0,0,0,0,0.0640368084103502,0,0.245598242350627,0,0.0152482437502995,0,-0.0126948988025778,-0.0218339396988793,0,-0.0305555275533668
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0372304261585242,0,0.168560613468111,0.174132448142988,0,0,0,0.27837782238839,0,0,0,0.201748090191308,0,0,0,0,0.0263355173348731,-0.0263411934044309,0.00712576428024063,-0.0412530643375035,0
