,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601066.CH.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.044265689291771,0,0,0,0,0.254216048189566,0,0.0546939867439919,0,0,-0.104365236534491,0,0,0,0,0.000225837719152253,0,0,0,0,0,0,0,0,0.00843462613822332,0.00220232528465913,0
X1398.HK.EQUITY,0.0238848016434082,0,0,0,0,0.371265431386078,0,0,0.0173682067854785,0,0,0.0330744441979046,0,0.0920654195906352,-0.0455230589276245,0,0,0,0,0,0,0,0,0,0,0.0101150477988209,0,0,0.00842921306444996,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.132892810584605,0.350613678817667,0,0,0,0,-0.0641448794630742,0.0713485790463795,0,0,0,0,0,0,0,0,0,0,0,0,-0.00605312657464079,-3.46944695195361e-18,0.0123378086547887
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0260008638942538,0.11087450948835,0,0,0,0.17841206114683,0.0279337167144416,0,0,0,0.00842875498826937,0,0,0,0,0,0,0,0,0,0.00401439465432509,-0.00397851940015779,0.00407508480970883,-0.00215616196150168
X601939.CH.EQUITY,0,0,0,0,0,0,0.911434075961113,0.0374413730745532,0,0,0,0,0,0,0,0,0,0.0483435544854902,0,0,0,0,0,0,0.0546430255603333,0,0,0,-0.00819391339230472,0.00753782240781454,0
X939.HK.EQUITY,0,0.0853822565304926,0,0,0,0,0,0,0,0,0,0,0.233990920542849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173406854493394,-0.00446077561847831,0.00226737278289987,-0.0510541889891753
X601288.CH.EQUITY,0,0,0,0,0.769997799410089,0,0,-0.0573700224073888,0,0,0,0,0,0,-0.00632555219444605,0.00946546346553651,0,0,0,0,0,0,0,0,0.118465821459535,0,0,0,0.00229757676005411,-0.00554083856158199,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.473070230749549,0,0,0,0,-0.0749106625551413,0.0435401410757749,0.248021988618945,0.420960692275024,0,0,0,0,0,0,0,0,-0.135394299489881,0.514859415237885,-0.00864516106458652,0.0135241217222645,-0.15368615398682,0.0992298301916514
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.0291170023047381,0,0,0,0,0,0.156814424534277,0.244628802515598,0.0941287044432256,0,0,0,0,0,0,0,0.302726041975709,0,0,0,0,-0.00648089847959567,0.0693543026429354,-0.0832364463349073
X600036.CH.EQUITY,0,0,0,0,0.481010065486004,0,0,0.0153437115809926,0,0,0,0,0.0726932193940056,0,0,0.0315224428301689,0,0,0,0,0,0.0488806332680734,0,0.0578270660883703,0,-0.0331519895489367,0,0,0.00587030798342957,0,0.0212430437166468
X601988.CH.EQUITY,0,0,0,0,0,0,0,-0.0398056910075901,0,0,0,0,0,0,0,0,0,0.752939662904973,0,0,0,0,0,0,-0.0133081161634995,0,0,0.0224327394938416,-0.00711196618410264,0,0
X3988.HK.EQUITY,0.0249437201125134,0,0,0,0,0,0,-0.0210616418327905,0.0862174944762762,0,0,0,0,0.153207012968967,0.0396698893930066,0,0,0,0,0,0,0,0,0,0.137257910851935,0,0,0,0,0.013919934658735,0
X1299.HK.EQUITY,-0.239528778942222,0,0,0,0,0,0,0,0.330889792680391,0,0,0,0,0.499958098194159,0.15891202526649,0,0,0,0,0,0,0,0,0,0,0.00899250872020202,0,0,0.00313401345362834,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.0527874285498066,-0.00293474803908594,0.103056961789653,0,0,0.337246340824208,0,0,0,-0.0261030315566381,0,0,0,0,0,0,0,0,0,0,-0.0654173058927331,0.00849047764541386,0.0692049258409796,0
