,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.0442627933414184,0,0,0,0,0.254215090936904,0,0.0546925508592013,0,0,-0.104361024484359,0,0,0,0.000223489473648236,0,0,0,0,0,0,0,0,0,0.00843472576970386,0.0022040670054847,0
X1398.HK.EQUITY,0,0,0,0,0,0.323695418409237,0,0,0.0405695317596642,0,0,0.0190984024792693,-4.33680868994202e-19,0.0584768477066128,-0.0614143490288888,0,0,0,0,0,0,0,0,0,0,0.0051234052958596,0,0,0.00678879702426778,-4.33680868994202e-19,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.147411031115109,0.343695807001464,0,0,0,0,-0.0631114297911648,0,0.056478455857483,0,0,0,0,0,0,0,0.0661496457924845,0,0,0,-0.00640604690819062,0,0.022462938706169
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0260050852781778,0.110871709223322,0,0,0,0.178413162748542,0.0279339261307464,0,0,0,0.0084289609555408,0,0,0,0,0,0,0,0,0,0.00401485257946461,-0.00397839325665938,0.00407593076368541,-0.00215655213425234
X601939.CH.EQUITY,0,0,0,0,0,0,0.954996877180634,0.0320709257867459,0,0,0,0,0,0,0,0,0,0.0413570844367579,0,0,0,0,0,0.0533940333160906,0,0,0,0,-0.007937733946648,0.00850048415091004,0
X939.HK.EQUITY,0,0.0853847311665915,0,0,0,0,0,0,0,0,0,0,0.233993543019889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173402517001456,-0.00446018043788135,0.0022684513755623,-0.0510562878484166
X601288.CH.EQUITY,0,0,0,0,0.773681228661878,0,0,-0.0606399500122636,0,0,0,0,0,-0.0084388930717855,0,0,0.0108742122595966,0,0,0,0,0,0,0.121020181169114,0,0,0,0,0.00091225654281409,-0.00577998065926381,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.531341900840995,0,0,0,0,-0.0860182772018625,-3.46944695195361e-18,0.398357861156284,0.254728832596923,0,0,0,0,0,0,0,0,-0.0704574473956645,0.436371007456475,-0.0266165669760366,0.0153745397189244,-0.092579633950258,0.112965473270859
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.0144147480177911,0,0,0,0,0.0222071925465388,0.126764787210907,0.219461918329338,0,0.0813538803119608,0,0,0,0,0,0,0,0.317591737000392,0,0,0,0,0.0633782742734171,-0.124758864993882
X600036.CH.EQUITY,0,0,0,0,0.481010065486004,0,0,0.0153437115809927,0,0,0,0,0.0726932193940055,0,0,0,0.0315224428301689,0,0,0,0,0.0488806332680732,0,0,0.0578270660883704,-0.0331519895489367,0,0,0.00587030798342957,0,0.0212430437166468
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0337019452269484,0,0,0,0,0,0,0,0,0.538323235992027,0,0,0,0,0,0,0,0,0,0,-0.00524613342582327,0.00262245892570288,-0.00761508211234734
X3988.HK.EQUITY,0.0249437123389364,0,0,0,0,0,0,-0.0210634279746512,0.0862168096116126,0,0,0,0,0.153207246791216,0.0396734465355706,0,-1.73472347597681e-18,0,0,0,0,0,0,0.137260513327239,0,0,0,0,0,0.0139194529511526,0
X1299.HK.EQUITY,-0.24841312310628,0,0,0.247966652641999,0,0,0,0,0.232128431658643,0,0,0,0,0.442354090357792,0.139059202854196,0,0,0,0,0,0,0,0,0,0,0.0236529532620773,0,0,0.00791850871364541,-6.93889390390723e-18,0
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.0527812554755521,-0.0029251211041483,0.102982031895902,0,0,0.337266730057753,0,0,-0.0261384654907614,0,0,0,0,0,0,0,0,0,0,0,-0.0654153072820851,0.00849137343720908,0.0692019558400474,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.212754349209181,0.159715878900203,0,0,0,0,0.0052440374125884,0,0,0,0,0,0,0,0,0,-0.197542934594754,0,0,0.172308020434116,-0.128314183201429,-0.0333972471118674,0.0180497037738304,-0.060617193111074
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.177083521292625,0.115453568731901,0,0,0,0,0,0,0,0.446116683448564,0,0,0,0,0,0.189459314498125,0.130095693178815,0,0.0177898863658877,0,0.0541952853943419,-0.0308386599055155,0,-0.0265764886776189
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.0847094388136122,0,0,0.109681582205465,0,0,0,0.891495209700954,0,0,0,0,-0.0315460440781241,0,0,0,0,0,0,-0.00301128469380315,-0.0160229492644193,0,-0.0766251029741967
