,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.498212410772034,0,0,0,0,0,0,0,0,0,-0.0137249925486975,0,0,0,-4.33680868994202e-19,0,0.0881763112786246,0,0,0,0,0,0,-0.0381562662734248,0.000485710617738964,0.00880083296114742,-0.0142297081028142
X601398.CH.EQUITY,0,0,0,0.0646470071968968,0,0.142782508320029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674289811948944,0.0268183124851104,0.0109831866030374,-0.0154285797783665,0,-0.00405227465780989,-0.000269656723740574,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0.131061108595641,0.0198802924017397,0,0,0,0,0.066120087390777,0.0399707680443544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040798253203533,-0.0184962649534391
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0116040651671787,0,0,0,0,0.0338730961824765,0,-0.0724097566848766,0,0,0.162424590593328,0,0,0,0,0.216480335424162,0,0.210868807024285,0.0188593318547602,0,-0.0780546908399909,0.0062349384279592,-0.00833992113480418,0
X939.HK.EQUITY,0.644847238545355,0,0,0,0,0,0,0.0129952431378469,0,0,0,0,0,0,0,0,0,0.0496577396909865,0,0,0,0,0,0,0,0,0,0.0168294058273391,0,0,-0.00569871340471054
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.242150780140408,0,0,0,0,0,0,0,0.0774387611436702,0,0,0,0.123204650912434,0.067542033389267,0,0.049328832203617,0,-0.032696346569647,0.00748772117732342,0,0.0597057672947833
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.0189649250002403,0,0,0,0,0.253452520697524,0.0923600003883677,0.176004309596306,0,0,0,0,0,0,0,0.543515539173374,-0.198026404412269,0,0,0,-0.095895687462553,0.00761460059289048,0.0762729911339562,-0.0211774633136394
X601628.CH.EQUITY,0,0,0,0,0,0,0.868357926411372,0,0,0,0,0,0,-0.221517240394887,0,0,0.166748047018746,0,0.0364902316689021,0,0,0,0.415302020680243,0,0,-0.0189134311183466,0,0,0.0164725301592187,0,0
X601288.CH.EQUITY,0,0,0,0.0156485602932374,0,0.0292168781736192,0,0,0,0,0,0,0,0,0,0,0,0.0104831255879787,0,0,0,0,0.172257140480894,0,0,0,0,0,-0.000345542804830025,-0.0135266555232366,0
X600036.CH.EQUITY,0.0200300104168069,0,0,0.192860190617706,0,0,0,0.132830126538811,0,0,0,0,0,0.0234534320384335,0,0,0,0.25993991739032,0,0.0308284078044533,0.0647695120528181,0,0,0.0212555529754238,0,-0.0212518249898002,0,0,0.0138865836873963,0,0
