,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0646351314039469,0,0.142811582442728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674033126121391,0.0268119040050418,0.0110138662782983,-0.0154305061462969,0,-0.00405383041731779,-0.000270746612065043,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.530506163651718,0,0,0,0,0,0,0,0,-0.0190129442860267,0,0,0,0,0,0.108710890376365,0,0,0,0,0,0,-0.0314527445725971,-5.42101086242752e-20,0.0134899342176646,-0.0211702567265205
X601318.CH.EQUITY,0,0,0,0,0,0,0.0237846405729552,0,0,0,0,0,0,0,-0.0706847061629417,0,0,0.131047948769809,0,0,0,0,0.240032856736785,0,0.164654315167952,0.020760852046077,0,-0.0806726300713266,0.00589584477682005,-0.0132308303754875,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.147313803927925,0,0.0495552929681767,0,0,0.0440009384708754,0.0280511515544351,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137406931070115,0.00100370112186127,0.00817947494495646,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.242151215563259,0,0,0,0,0,0,0,0,0,0.0774406708309109,0.12320521322106,0.0675418153437451,0,0.0493286991460344,0,-0.0326956478786006,0.00748734366497966,0,0.0597087682103294
X939.HK.EQUITY,0,0.631520868454315,0,0,0,0,0.00949136048670794,0,0,0,0,0,0,0,0,0,0,0.0561661015034888,0,0,0,0,0,0,0,0,0,0.0166579244457954,0.000985257385828193,0,-0.00150530110461345
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.240470092730805,0,0.324189068124093,0,0,0,-0.0831637497514881,0,0,0.171690327714301,0,0,0,0,0.124613476567737,0.356000825737682,0,0,0,0,-0.166156219541502,0.0346256858434519,-0.118857773859516,0.0791929657621189
X2628.HK.EQUITY,0,0,0,0.064661706343362,0,0,0.0395323222650667,0,0,0,0,0,0.278340392522388,0,0.189515237531233,0,0,0,0,0,0,0,0.470775248194231,-0.302281722716503,0.105254357625451,0.00357005540521342,0,-0.0961875595409355,0.0106047152668732,0.0748824903645684,-0.0472965336314626
X601288.CH.EQUITY,0,0,0.0156716927820235,0,0.0292242083717167,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0104760623448707,0,0,0,0,0.172244194131287,0,0,0,0,0,-0.000345310698268619,-0.0135246057724569,0
X600036.CH.EQUITY,0,0,0.188595635139923,0,0,0,0.136074828058455,0,0,0,0,0,0,0.0246160205927701,0,0,0,0.259967796603599,0.0452809694197105,0,0.0723064500184655,0,0,0.0211908680922721,0,-0.0123495634151143,0,0,0.0137692341941414,0.00697274396790199,0
