,BTC,ETH,XRP,BCH,BSV,ADA,LTC,LINK,BNB,CRO,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0707846234764083,0,0,0.0868742912312618,0,0.226058528343761,0,0.0372697066351779,0.148283807390514,-0.0523240441588319,0.0043175369537296,-0.0500875592494914,0.179732640888219,0,0,0,0,0,0.0124006774866871
ETH,0,0,0,0,0.0305872251567032,0.00575149104791257,0.188975692244164,0.0583451874322256,0,0.144483867646736,0,0.000000000000000000867361737988404,0,0.0534049043280548,0.122970394905616,0,0,0,0,0
XRP,0,0,0,0,0.161252406356482,0.0640091087448423,0.0786844565378335,0.00615211989298545,0,0,0.172187041173619,0,0,0,0.147772368209053,0,0,0,0,0
BCH,0,0.029461176506554,0,0,0.233292360303603,0.0358856474872902,0.111108485713221,0,0,0,0.382287862007095,0,0,0.122533191137172,0,0,0,0,0,-0.00390213422237281
BSV,0.0296157256372375,0.159499288853203,0,0.0752616328308143,0,-0.0119877990141542,0.250093546747206,0,0,0,0,0,0,0.075346659307534,0.201238174993256,0,0,0,0,0
ADA,0,0,0.378486139672249,0,0,0,0.615126032638683,0.198324032920627,0,-0.0549963418271596,0,0,0.0154533497885084,0,0,0,0.0874421108984309,0,0,-0.0160249230908183
LTC,0.160700673273561,0.0820716459180995,0,0.117809507675191,0.101010964237367,0.0782620436723681,0,-0.0761983200750913,0,0,0.146871540676433,0.132020536644594,0,0.0155417946078939,0.069678982086256,0,0.108745745998822,0,0,0.0457480646331903
LINK,0,0,0,0,0,0.303081355996346,0,0,0,0.304759681871312,0,0.205826867603279,0,0,0,0,0,0,0,0.0700889389897745
BNB,0,0.123462218771301,0,0.372504639609144,0,0.00126659633484821,0.137836254144127,0,0,0.17459727085811,0,0.0214388100229661,0,0,0,0,0,0,0,0
CRO,0,0,0,0.0419551306838,0,-0.0680038864958458,0,0,0.193154608748078,0,0,0.164993919271437,0,0,0.491598654942641,0,0,0,0,0
EOS,0,0,0,0.321465666363008,0.0601906590568424,0.0302726433597198,0.00989208451061547,0.0481814053968431,0,0,0,0.0572777745082435,0,0,0.284593270315575,0,0,0,0,0
XTZ,0,0,0,0.0353488197106815,0,0,0,0.391391105197161,0,0.201368899873023,0,0,0.137877184115209,0.0766548167816362,0,0,0,0,0,0.0120486936452453
XLM,0,0,0,0.289828399872111,0,0.235298520182289,0.0419673057146365,0.0833180260952699,0,0,0,0.184121405574237,0,0,0,0,0.0395678052638351,0,0,0.0268695423729116
XMR,0,0.267515544337739,0.0725377965368234,0,-0.051239563240275,-0.0470812589463882,0,0,0.496421780073702,0.127113007386681,0,0.103517625005555,0,0,0,0,0,0,0,0.0519673931214973
TRX,0,0,0,0.0128313159112265,0.0620124654108747,0,0.205734687066138,0,0,0.0142642589008516,0.563297295080752,0.0414184134309524,0.0796952167646881,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.0313653136808384,0,0.0275667849925284,0,0.017848144955245,0,0,0,0,0,0,0.023460582796138,-0.0111776337126767
CVIX.INDEX,-0.119108778836784,0,0,0,0,-0.157446897180374,0,0.0569851724616161,0.522017961930096,0.120712937992606,0,-0.0542206906916688,0,-0.444055136439639,0,0,0,0,0,-0.115254309598899
DXY.INDEX,0.0231431669403099,-0.0692797246065337,0,0.0284826282918352,0,0.019821776055417,0,-0.000267886679305791,0.0599617498075849,0.0109571618594941,-0.0880258348285128,0.00145236761027337,0.0191186398625233,-0.0492275990920519,0.0630816680084093,0,0.0317889714146288,0,-0.229145873949128,-0.00947242116368886
SPX.INDEX,0,0,-0.0467168351443807,0,0,0.0526178553810452,0,0,0,0,0,0.0528011303886358,0,0,-0.0524219379839899,0,0,0,0,-0.145645141001542
VIX.INDEX,0,0,0,0,0,0.432837626113459,0,0.0496713062717156,0,0.0253663602100463,0,0,0.0934766631454229,-0.315674566690883,-0.556377451767931,0,-0.238299385243281,0,-4.39456220736484,0
