,BTC,ETH,XRP,BCH,BSV,ADA,LTC,CRO,BNB,EOS,LINK,XTZ,XLM,HEX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0824352693187015,0,0,0.0699587630356483,0,0,0,0,0.185306256505193,0,0.0931837768122538,0,0.0938279453875722,0,0,0,0,0,0
ETH,0.168219609291575,0,0,0,0.200898863784529,0.0367467901678868,0,0,0,-0.00000000000000000693889390390723,0.0648213916032849,0.0130790489770234,0.0825960205107709,0.0668884378353876,0.0624798950009619,0,0.0164365250072227,0,0,0
XRP,0,0,0,0,0.193821882509624,0.0778101156575014,0.0843443141870318,0,0,0.208840247262538,0,0,0.0417406866105621,0.0276036621505523,0,0,0,0,0,0
BCH,0,0.0416199568072239,0,0,0.184397930168004,0.044409560165177,0.0540875193835809,0,0,0.377409306562288,0,0.012428179939084,0,0.0117466833368809,0.00439899300793605,0,0,0,0,0
BSV,0,0.389910562369351,0,0,0,-0.0252658700124454,0.188441896460374,0,0,0.130767419610303,0,0,0,0,0.131848077198677,0,0,0,0,0.00360967134812306
ADA,0,0.643125066199685,0.288582958813384,0,0,0,0,0.050963502944294,0,0,0.228543172257507,0,0.236507036126593,-0.144410517157172,0,0,0,0,0,0
LTC,0.103571200799711,0.12843713540648,0,0.104296109785331,0.106449780698962,0.0577915552528399,0,0,0,0.190779685203742,0,0.0305841406820269,0,0.0360661979006787,0,0,0,0,0,0
CRO,0.435570048968867,0,0,0,0,-0.0927320917915621,0,0,0,0.293864446987381,0.0118511836604046,0.141474899187911,0.18179892922428,0.0553059378422146,0.0172907212989398,0,0.140467810490159,0,0,0
BNB,0,0,0,0.189158615700648,0,0.202409813959451,0,0,0,0,0,0,0.0223015544058394,0.057497815354679,0.0348575575237212,0,0,0,0,0
EOS,0,0,0,0.370014091598123,0.176872255110431,0.0572224484330201,0,0,0,0,0,0.0309909424201104,0,0.0533949311500967,0,0,0,0,0,-0.0413976892220894
LINK,0,0,0,0,0,0.312433676192576,0,0.160688697640352,0,0,0,0.340250212400853,0,0,0,0,0,0,0,0.0720580592137845
XTZ,0,0,0,0,0,0.0454480072925135,0,0.0201457211984178,0.0902887325335967,0,0.370210526731947,0,0.161489623997473,0,0.0392668077907704,0,0,0,0,0
XLM,0,0,0,0.152197694603437,0,0.294109540102279,0,0.0609113570154748,0,0,0.112104283815254,0.145285295712585,0,-0.0130461560570398,0,0,0,0,0,0
HEX,0.476926285357753,0.263042390070222,0,0,0.0575573505089629,0.184614125612983,0.59751737030489,0,0.0000000000000000277555756156289,0,0.368964806113726,0,-0.73750493707369,0,0,0,0.308935409909348,0,0,0
XMR,0,0.158393587398995,0,0,-0.0328883584944725,0,0.171814044362784,0.140687947458796,0.310990317175933,0,0.0575126895321902,0.0672459863284778,0,0.00405952131061831,0,0,0,0,0,-0.00765218277169967
BV010082.INDEX,0,0,0,0.01249067347604,0,-0.00729369076788577,0,0.0259684145098755,0,0,0.0190373754084515,0.0242474050552201,0,0.00549366294764418,0,0,-0.00646439900077976,0,0.0510443150136771,-0.00653684451874409
CVIX.INDEX,0,0.884439877153351,0,-1.40087891271775,0,-0.140146090254743,0,0.236738479952612,0,0,0,0,0,0.0638847437639422,-0.168607335188773,0,0,0,0,-0.0750185215692923
DXY.INDEX,0.0663187192161696,-0.0288822638946845,0.0342701691934378,0,0,0.0176089973726438,0,0.0154273693203074,0,-0.0494339085449604,0,0,0.00964583448609369,-0.0128823014232692,-0.018327447912256,0,0.0159973213951178,0,-0.119841072331221,0
SPX.INDEX,0,0,-0.0822582057383187,0,0,0,-0.0410049215333264,0,0,0,0,0.0328350749405061,0.0576080873058862,0.0466051246286781,0,0,0,0,0,-0.146187421141113
VIX.INDEX,0.433979817918052,0,0,0,0,0.0780075763470255,-0.149781789457933,0.0490020241652139,0,0,0,0,0,0,-0.128115226894329,0,-0.148548042170982,0,-3.9866436471026,0
