,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,XLM,LINK,ADA,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00746475662796709,0,0,0.0578870577649503,0.00136038225274744,0,0,0,0.166460848062465,0,0,0.0527980093405698,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.092193913047969,0.0587148906431143,0.0164906836988035,0,0.0564231307170354,0,0.361547720365402,0,0,0.0299243624257357,0,0,0,0,0,0
XRP,0,0.0000000000000000000542101086242752,0.0413272257509152,0,0,0.124175729643858,0,0,0,0,0.0688898537837894,0,0,0.127299968423106,0,0,0,0,0,0
BCH,0,0,0.187869087552691,0,0,0.304588069640738,0.0398823895719699,0,0,0.0339319679193547,0,0,0,0.223494187579309,0,0,0,0,0,0
BSV,0,-0.00281597297461594,0.336444346872698,0,0.259279962870356,0,0,0,0,0,0.0474430746731965,0,0.0425462421347806,0,0,0,0,0,0,0
TAGZ5,0,0.00429427581405175,0,0,0.434082449741862,0.000000000000000000216840434497101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00201549825782466,0,0,0,0.00814884526550375,0,0,0,0,0.27759943289632,0,0.0327436205371094,0.101871162505968,0,0,0,0,0,0
BNB,0,-0.000666518327003681,0.398304925681393,0,0,0,0,0,0,0,0.133151102398322,0,0,0.0480255914636276,0,0,0,0,0,0
EOS,0,-0.00110986120947243,0.229628825386511,0,0,0.0830522659165462,0.0101683936191598,0,0,0,0.175547891294742,0,0,0.0639319679957194,0,0,0,0,0,0
XTZ,0,0.00334491806455564,0.312454874352025,0,0,0,0,0,0,0,0,0,0.472966149949704,0,0,0,0,0,0,0
XLM,0,0.0017223405154017,0,0,0,0,0,0,0,0,0.195555826282034,0,0.0637314685007336,0.296155764549401,0,0,0,0,0,0
LINK,0,0.00459906223939346,0,0,0,0,0,0,0,0,0.555223374445124,0,0,0,0,0,0,0,0,0
ADA,0,0,0.265289032403729,0,0.111761475113774,0,0,0,0.040087524382072,0,0.219259063009845,0.148825952519787,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00312095692515426,0,0,0,-0.00125633192681258,0,0,0,0,0,0,-0.011548895453192,0,0,0,-0.0772972771588769,0,0,0
CVIX.INDEX,0,-0.000000851102426989608,0,0,0,0,0,0,0,0,0.000000938443035623588,0,0,0,0,-0.726129259577983,0,0,-0.192611832941737,0.153901346820369
DXY.INDEX,0,0.0000000062987031310742,0,-0.0000000776708309852062,0,0,0,0,0,0,0,0,0,0,0,0,0.0222796614924762,0,0,-0.0192880449130223
SPX.INDEX,0,0.000000133759612893372,0,0,0,0,-0.000000734121089031992,0,0,0,0,0,0,0,0,0,-0.0153891703162877,0,0,-0.143502557023578
VIX.INDEX,0,0.0142225575536487,0,0,0,-0.0626009863560343,0,0,0,0,0,0,0,0,0,0,0.520149392454792,0,-1.3100703337887,0
