,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,ADA,LINK,XLM,CRO,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.352118709678349,0,0,0.0246859353771928,0,0,0,0,0.0864951350831264,0,0,0,0,0,0,0,0,0,0
ETH,0.0857010904992715,0,0,0.0000000000000000138777878078145,0.100829638576577,0,0.111363228241945,0.208996703030234,0.136682214349625,0.141667943023872,0,0,0,0,0,0,0,0,0,0
XRP,0,0.164905955753518,0,0,0,0,0,0.107570162500936,0.00714305788744717,0.0858011121471639,0,0.052028813523539,0,0,0,0,0,0,0,0
BCH,0,0.353194744230299,0,0,0.218195979362276,0,0,0.129673444673583,0,0.040825609190015,0,0,0,0,0,0,0,0,0,0
BSV,0,0.42794242784298,0,0.218728182078057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.142816397979655,0,0,0,0,0,0,0.121308850480642,0.0381656162019082,0.0381269700639353,0.00546829757141821,0,0,0,0,0,0,0,0
BNB,0,0.46292374469129,0,0,0,0,0,0,0.0359568723898092,0.0409085502209495,0,0.0637539998401932,0,0,0,0,0,0,0,0
EOS,0,0.175837187711157,0,0.0126892433339549,0.0967029459984609,0,0,0,0.079330603358686,0.014172126753095,0,0.0299401148390817,0,0,0.134292691547079,0,0,0,0,0
XTZ,0,0.432212404526085,0,0,0,0,0,0,0,0,0.466713885349702,0.0739810111920156,0,0,0,0,0,0,0,0
ADA,0,0.142125000196842,0,0.153883319400684,0,0,0,0,0.22163645604698,0,0,0.233324063386458,0,0,0,0,0,0,0,0
LINK,0,0.0616897058573608,0,0,0,0,0,0,0.462494630258491,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.104551778416374,0,0.0825151928987146,0,0.163461193009955,0.198656515996118,0,0,0.0835886191772938,0,0.0836550774692935,0,0,0,0,0
CRO,0,0.0667784249657924,0,0,0.0925458998505772,0,0,0,0.0386697879757306,0.17679691966573,0,0.0925967357951951,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.0520621537020033,0.391150975045734,0,0,0.0422403886223445,0,0,0.0453824681340382,0,0.0992005651026099,0,0.00805915507541281,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.000000118173482692871,0,0,0,0,0,0,0,0,0,0,0,0.000000423854806700772,0,0.0520228774780773,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145610436066053
VIX.INDEX,0,0,0,0,0,0,0,0,0,0.00000206733058409463,0,0,0,0,0,0,0,0,-2.15015925736693,0
