,BTC,ETH,XRP,BCH,LINK,BSV,LTC,ADA,BNB,CRO,XTZ,EOS,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.136266695707115,0,0.106329558567389,0,0.0611298369079947,0,0,0,0.0327841404198507,0.0108674023080209,0,0,0,0,0,0,0,0,0.0185932274080024
ETH,0,0,0.0443011954245435,0,0.00363197144835104,0.116479976795412,0.245921472442925,0.0406110514285293,0.158273586646454,0,0,0,0,0,0.0325204793167454,0,0,0,0,0
XRP,0,0,0,0,0,0.229903584426205,0.164470754435534,0.0534814054348367,0,0,0,0,0.00701876606025611,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.320048597188742,0.250993452075521,0,0,0.02268084373759,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0.0859810714654186,0,0,0.85130674231597,0,0,0,0,0,0,0,0,0.0026769900635701
BSV,0,0.0335236523052519,0.0255642055893982,0.289652076707441,0.0287175502313977,0,0.252445877064979,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.131839717552202,0.0463352372334696,0.5021630491438,0,0.014398709613185,0,0.00498217299519787,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0905621842227247,0.222876697732858,0,0,0,0,0,0,0,0.194732934391696,0,0,0,0,0,0,0
BNB,0,0.137696652568237,0,0,0.047322534745546,0.123209611555599,0,0.0834612680154458,0,0,0.0393542532176315,0,0,0,0,0,0,0,0,0
CRO,0.0799678519000642,0,0,0.2076279053361,0,0.0554919314883085,0,0.0194619818412595,0,0,0.0038575165295489,0,0,0,0,0,0.0255670210989412,0,0,0.00308702827332704
XTZ,0,0,0,0,0.579724736439206,0,0,0.01291291909496,0,0,0,0,0.043939303919877,0,0,0,0,0,0,0
EOS,0,0,0,0.182377333165709,0.00710330957725142,0.10009062193916,0.0811928861592117,0.0194495021445939,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.108573946934689,0,0,0.225117575542003,0,0,0.092863112667433,0,0,0,0.217736336422163,0,0,0,0,0
XMR,0,0.117243534997673,0,0.33966324012358,0,0,0,0,0,0,0.012226002482305,0,0,0,0,0,0,0,0,0
TRX,0,0.0364742273917534,0,0,0,0.205023373960332,0,0.106541201911274,0,0,0.00226316952562161,0,0.148044031586023,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020509323814975
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137490358074452
VIX.INDEX,0,0,0,0,3.74355341512742e-06,0,0,0,0,5.24822036776487e-06,0,0,0,0,0,0,0,0,-2.52396852103502,0
