Dates,601318 CH Equity,600036 CH Equity,600030 CH Equity,601166 CH Equity,601398 CH Equity,601328 CH Equity,300059 CH Equity,000001 CH Equity,600000 CH Equity,600016 CH Equity,601688 CH Equity,600837 CH Equity,601288 CH Equity,002142 CH Equity,601229 CH Equity,601211 CH Equity,601601 CH Equity,600999 CH Equity,601169 CH Equity,601988 CH Equity,601818 CH Equity,601628 CH Equity,600919 CH Equity,000166 CH Equity,000776 CH Equity,601009 CH Equity,601939 CH Equity,601788 CH Equity,601336 CH Equity,600958 CH Equity,600015 CH Equity,600109 CH Equity,601377 CH Equity,300033 CH Equity,601901 CH Equity,002736 CH Equity,000783 CH Equity,601108 CH Equity,601555 CH Equity,601066 CH Equity,600705 CH Equity,601162 CH Equity,600061 CH Equity,600926 CH Equity,601878 CH Equity,000728 CH Equity,601881 CH Equity,601838 CH Equity,600390 CH Equity,601198 CH Equity,601997 CH Equity,002958 CH Equity,601998 CH Equity,002673 CH Equity,601319 CH Equity,600369 CH Equity,601658 CH Equity,002939 CH Equity,000627 CH Equity,601916 CH Equity,601577 CH Equity,601236 CH Equity,600928 CH Equity,601077 CH Equity,002945 CH Equity,1299 HK Equity,5 HK Equity,939 HK Equity,2318 HK Equity,388 HK Equity,1398 HK Equity,3988 HK Equity,2628 HK Equity,11 HK Equity,2388 HK Equity,3328 HK Equity,2882 TT Equity,2881 TT Equity,2886 TT Equity,2891 TT Equity,2884 TT Equity,2892 TT Equity,5880 TT Equity,2880 TT Equity,5876 TT Equity,2885 TT Equity,2801 TT Equity,5871 TT Equity,2887 TT Equity,2883 TT Equity,2890 TT Equity,2888 TT Equity,2823 TT Equity,2834 TT Equity,6592 TT Equity,2812 TT Equity,2809 TT Equity,2845 TT Equity,2889 TT Equity,9941 TT Equity,2838 TT Equity,2867 TT Equity,6005 TT Equity,2849 TT Equity,2905 TT Equity,2820 TT Equity,2855 TT Equity,2897 TT Equity,2850 TT Equity,2851 TT Equity,2836 TT Equity,6024 TT Equity,2832 TT Equity,2816 TT Equity,2852 TT Equity,601375 CH Equity,601099 CH Equity,600909 CH Equity,600816 CH Equity,002839 CH Equity,002797 CH Equity,002500 CH Equity,000750 CH Equity,000712 CH Equity,000686 CH Equity,000562 CH Equity,23 HK Equity,3328 HK Equity 
2006-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9168,0.35032,0.96408,4.37867,,,0.90927,13.06507,1.93461,0.40331,1.29724,0.75175,0.61948,0.38396,0.25,0.40189,,0.35608,,0.32835,0.29677,,0.29917,0.32733,0.31714,0.56762,0.14646,0.22772,,0.24098,0.34007,0.37073,0.23765,0.69883,0.23679,,0.28549,0.70875,0.12475,0.39637,0.34803,,0.31642,0.30098,0.37941,,0.39353,3.30841,0.30075,,,,,,,,,,,,2.76122,0.40331
2006-01-04,,0.59125,0.21206,,,,,0.21657,0.28612,0.14076,,0.27985,,,,,,,,,,,,,0.1568,,,,,,0.3271,0.07515,,,,,,,,,0.03271,,0.29501,,,0.21368,,,0.15838,,,,,,,0.1475,,,0.11775,,,,,,,,15.09575,0.36283,1.01243,4.57207,,,0.92215,13.18097,1.97328,0.42278,1.31609,0.76284,0.63411,0.39435,0.2499,0.4083,,0.36358,,0.33663,0.29587,,0.30113,0.33321,0.32526,0.57526,0.1453,0.22903,,0.24122,0.34637,0.37303,0.23989,0.70542,0.24295,,0.29483,0.70853,0.12522,0.39818,0.35015,0.22525,0.31694,0.30382,0.37761,,0.39191,3.30666,0.30095,,,,,,,,0.07358,0.1193,0.20269,0.24914,2.77291,0.42278
2006-01-05,,0.61018,0.21697,,,,,0.21801,0.29093,0.14079,,0.28802,,,,,,,,,,,,,0.15932,,,,,,0.33711,0.07656,,,,,0.15351,,,,0.03272,,0.29756,,,0.2185,,,0.15911,,,,,,,0.14816,,,0.1184,,,,,,,,15.13177,0.35345,0.99632,4.48185,,,0.91572,13.24563,1.9862,0.42835,1.3429,0.77064,0.64503,0.40903,0.25864,0.42129,,0.38068,,0.34661,0.30637,,0.31211,0.34224,0.34103,0.59958,0.1545,0.23392,,0.25055,0.36085,0.38288,0.24455,0.7178,0.24701,,0.31576,0.72973,0.12775,0.4081,0.36783,0.23346,0.32887,0.30825,0.38799,,0.41073,3.41258,0.30936,,,,,,,,0.07359,0.11995,0.20487,0.24982,2.7788,0.42835
2006-01-06,,0.61908,0.22018,,,,,0.22108,0.29927,0.14111,,0.28274,,,,,,,,,,,,,0.16053,,,,,,0.33706,0.07794,,,,,0.15245,,,,0.03237,,0.3,,,0.22562,,,0.16047,,,,,,,0.14566,,,0.11963,,,,,,,,15.25101,0.36283,1.02211,4.50758,,,0.9544,13.19387,1.99907,0.44225,1.33735,0.77021,0.6413,0.40818,0.25346,0.41623,,0.37765,,0.34461,0.30088,,0.31031,0.33887,0.33906,0.60414,0.15233,0.23088,,0.24569,0.34789,0.37947,0.24204,0.71108,0.24558,,0.30725,0.72204,0.1247,0.4038,0.3622,0.21664,0.32327,0.30515,0.37818,,0.40434,3.34873,0.31287,,,,,,,,,0.12056,0.2075,0.25475,2.78463,0.44225
2006-01-09,,0.61275,0.23442,,,,,0.22046,0.29574,0.13983,,0.28378,,,,,,,,,,,,,0.16369,,,,,,0.3385,0.07874,,,,,0.1525,,,,0.03393,,0.30258,,,0.22649,,,0.16396,,,,,,,0.14323,,,0.12215,,,,,,,,15.50661,0.3692,1.04822,4.69605,,,0.97404,13.31407,2.02549,0.45351,1.32302,0.77609,0.64175,0.40977,0.26097,0.42382,,0.38221,,0.34986,0.30786,,0.31444,0.3471,0.34164,0.60529,0.15285,0.23179,,0.24859,0.35837,0.38237,0.24389,0.7191,0.24614,,0.3096,0.74155,0.12726,0.4108,0.36614,0.21829,0.32698,0.30881,0.37127,,0.41012,3.37431,0.31526,,,,,,,,0.07334,0.12246,0.21449,0.25917,2.79722,0.45351
2006-01-10,,0.6355,0.23397,,,,,0.21663,0.29652,0.13947,,0.28707,,,,,,,,,,,,,0.16242,,,,,,0.34241,0.07826,,,,,0.15664,,,,0.03358,,0.30128,,,0.2328,,,0.16393,,,,,,,0.14754,,,0.12088,,,,,,,,15.63822,0.36295,1.06114,4.76061,,,0.97406,13.31424,2.01907,0.44239,1.33353,0.77442,0.6448,0.41117,0.26289,0.42202,,0.38055,,0.34911,0.30533,,0.31816,0.35057,0.34713,0.60629,0.14995,0.23015,,0.25115,0.34823,0.38034,0.24226,0.71884,0.24561,,0.30669,0.74344,0.12574,0.40991,0.36183,,0.32875,0.30814,0.36613,,0.41866,3.37813,0.31458,,,,,,,,0.07332,0.12243,0.21391,0.25912,2.79139,0.44239
2006-01-11,,0.62714,0.23268,,,,,0.21483,0.29726,0.13777,,0.28221,,,,,,,,,,,,,0.16113,,,,,,0.337,0.07715,,,,,0.15451,,,,0.03357,,0.29622,,,0.22717,,,0.16388,,,,,,,0.14811,,,0.11899,,,,,,,,15.63761,0.36293,1.05142,4.63787,,,0.95467,13.33953,2.03834,0.43959,1.3559,0.7813,0.6497,0.40977,0.26248,0.42664,,0.3858,,0.34987,0.31045,,0.32293,0.36268,0.34969,0.62031,0.1555,0.23178,,0.25829,0.3586,0.38577,0.24298,0.72545,0.24733,,0.31069,0.76668,0.12804,0.41512,0.36243,0.20506,0.33939,0.31426,0.37206,,0.4328,3.60547,0.33538,,,,,,,,0.07493,0.12146,0.20959,0.25842,2.80301,0.43959
2006-01-12,,,0.2368,,,,,0.21662,0.29902,0.13847,,0.28134,,,,,,,,,,,,,0.16675,,,,,,0.33842,0.07826,,,,,0.15247,,,,0.03427,,0.30003,,,0.23359,,,0.16668,,,,,,,0.14815,,,0.12336,,,,,,,,15.67305,0.36293,1.04172,4.50875,,,0.95464,13.39078,2.03184,0.44514,1.39761,0.77516,0.65807,0.41376,0.26592,0.43364,,0.38645,,0.35197,0.31232,,0.3284,0.36769,0.35804,0.63099,0.15966,0.23346,,0.25847,0.34821,0.39052,0.24555,0.72723,0.2467,,0.31481,0.75727,0.12935,0.41762,0.36462,0.22192,0.34393,0.3135,0.36994,,0.42458,3.70519,0.34276,,,,,,,,0.07468,0.12274,0.21444,0.26407,2.8088,0.44514
2006-01-13,,,0.24846,,,,,0.21414,0.29084,0.13512,,0.28125,,,,,,,,,,,,,0.1698,,,,,,0.33303,0.07824,,,,,0.1545,,,,0.03374,,0.31109,,,0.23432,,,0.17008,,,,,,,0.14067,,,0.1258,,,,,,,,15.67325,0.37232,1.05141,4.54106,,,0.98046,13.40386,2.03832,0.46741,1.38599,0.77242,0.64243,0.40317,0.26374,0.4277,,0.38006,,0.34942,0.30841,,0.32461,0.35794,0.34951,0.61146,0.15652,0.23008,,0.2524,0.35324,0.38793,0.24469,0.72466,0.2453,,0.31257,0.74062,0.128,0.4181,0.35863,0.23359,0.33774,0.31372,0.36102,,0.42578,3.5422,0.34689,,,,,,,,0.07439,0.12363,0.21597,0.26833,2.80298,0.46741
2006-01-16,,,0.24084,,,,,0.21006,0.28115,0.12953,,0.27084,,,,,,,,,,,,,0.16489,,,,,,0.31921,0.07625,,,,,0.15091,,,,0.03254,,0.30746,,,0.22723,,,0.16771,,,,,,,0.13823,,,0.1215,,,,,,,,15.68196,0.37537,1.04474,4.48208,,,0.96735,13.38819,2.03145,0.47565,1.36648,0.76723,0.6378,0.40094,0.26552,0.42415,,0.37496,,0.34358,0.30623,,0.3191,0.35867,0.35127,0.60924,0.15684,0.2277,,0.2481,0.35395,0.38751,0.24298,0.72096,0.2458,,0.30535,0.72813,0.12611,0.41699,0.35818,0.23719,0.33594,0.31303,0.35958,,0.42935,3.54385,0.34492,,,,,,,,0.0755,0.12119,0.2155,0.25663,2.79654,0.47565
2006-01-17,,,0.24366,,,,,0.21178,0.28755,0.13084,,0.2694,,,,,,,,,,,,,0.16488,,,,,,0.32118,0.07516,,,,,0.15454,,,,0.03254,,0.30125,,,0.22563,,,0.16598,,,,,,,0.14133,,,0.12025,,,,,,,,15.52589,0.36909,1.02857,4.44315,,,0.95441,13.29722,1.9991,0.45616,1.35013,0.76555,0.63493,0.3955,0.26246,0.42146,,0.37247,,0.34283,0.31303,,0.3184,0.35225,0.35257,0.61713,0.15199,0.22664,,0.24584,0.34693,0.38425,0.24024,0.7155,0.24447,,0.3002,0.71955,0.12583,0.41217,0.35387,0.2429,0.33521,0.30837,0.35444,,0.41898,3.51944,0.33616,,,,,,,,0.07631,0.12087,0.22028,0.256,2.79053,0.45616
2006-01-18,,,0.25331,,,,,0.21483,0.30562,0.13578,,0.27457,,,,,,,,,,,,,0.16856,,,,,,0.33699,0.07684,,,,,0.1571,,,,0.03339,,0.31357,,,0.23431,,,0.16973,,,,,,,0.14191,,,0.1227,,,,,,,,15.42955,0.36907,1.03174,4.39779,,,0.9737,13.27074,1.99899,0.4617,1.31598,0.74641,0.62212,0.38865,0.25342,0.41278,,0.3585,,0.33366,0.30343,,0.31102,0.33964,0.33983,0.58943,0.14626,0.2201,,0.2459,0.33934,0.37672,0.23491,0.70884,0.24246,,0.28898,0.71325,0.12338,0.40861,0.34662,0.24195,0.32647,0.30321,0.34114,,0.41062,3.42269,0.33484,,,,,,,,0.07602,0.12425,0.22501,0.26337,2.79038,0.4617
2006-01-19,,,0.26064,,,,,0.21658,0.31069,0.13613,,0.27604,,,,,,,,,,,,,0.16982,,,,,,0.33903,0.07794,,,,,0.16129,,,,0.03323,,0.32353,,,0.24229,,,0.17526,,,,,,,0.14069,,,0.12272,,,,,,,,15.54777,0.37843,1.08647,4.50706,,,0.99942,13.34709,2.01818,0.48391,1.31105,0.73941,0.61746,0.3832,0.25456,0.41263,,0.35837,,0.33875,0.32193,,0.31616,0.33951,0.33557,0.59151,0.14749,0.22397,,0.24342,0.33922,0.37778,0.23262,0.70986,0.23922,,0.28999,0.68168,0.12227,0.40651,0.34415,,0.33253,0.30441,0.34642,,0.41047,3.42142,0.3294,,,,,,,,0.07576,0.13077,0.22664,0.26465,2.80189,0.48391
2006-01-20,,,0.26573,,,,,0.21505,0.31041,0.13526,,0.28154,,,,,,,,,,,,,0.16811,,,,,,0.33867,0.07754,,,,,0.16508,,,,0.03102,,0.31885,,,0.23376,,,0.17335,,,,,,,0.1402,,,0.12159,,,,,,,,15.51135,0.37841,1.05096,4.51978,,,0.98004,13.33368,1.99231,0.47833,1.30743,0.73987,0.6149,0.38647,0.25842,0.40937,,0.35776,,0.33635,0.32399,,0.31635,0.33691,0.33784,0.59073,0.14887,0.22241,,0.24083,0.33164,0.37802,0.23277,0.70773,0.23647,,0.28794,0.66122,0.12146,0.41261,0.34671,,0.33027,0.30328,0.33689,,0.40938,3.39036,0.31765,,,,,,,,0.07746,0.12996,0.22684,0.26426,2.80765,0.47833
2006-01-23,,,0.26072,,,,,0.2132,0.30688,0.13982,,0.27804,,,,,,,,,,,,,0.17174,,,,,,0.34377,0.07905,,,,,0.1655,,,,0.03065,,0.31371,,,0.2376,,,0.1798,,,,,,,0.13888,,,0.11966,,,,,,,,15.35651,0.37529,1.06066,4.51345,,,0.99296,13.28244,1.96657,0.48112,1.30395,0.73754,0.61301,0.38504,0.25577,0.40842,,0.35422,,0.3312,0.32907,,0.31327,0.33831,0.3351,0.57703,0.1482,0.21993,,0.24046,0.33146,0.37476,0.23263,0.70809,0.23772,,0.28129,0.64161,0.12161,0.41237,0.33992,0.22432,0.32667,0.30454,0.33938,,0.40704,3.38225,0.30963,,,,,,,,0.07306,0.12803,0.23629,0.26411,2.79599,0.48112
