,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.671298192189719,0,0,0,0,0,0,0,0,-0.0224577560498276,0,0,0,0,0,0,0,0,0,0.0479270368027147,0,0,0,-0.015062917836304,0
X601398.CH.EQUITY,0,0,0,0,0.0999521200933227,0.0120325224535803,0,0,0.030552320421924,0,0,0,0,0,0,0,0,0.008189408651108,0,0,0,0,0.0496181901384323,0.0530222091156568,0.0761922577204127,0,0.0247057361994297,0.00906762221192783,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0941121422774601,0.0250825900511202,0,0,0,0,0.108350708964881,0,0,0,0,0,0.114077644177616,0,0,0,0.191678086243431,0.234473925951206,0,0.0208871603828617,0,0.0710577223813133,-0.068753319656391
X2318.HK.EQUITY,0.00355142127126236,0,0,0,0,0,0,0.161643492950437,0.00419382583230157,0.0377389518121571,0,0,0.0516339337584151,0.0341316563869175,0,0,0,0,0,0,0,0,0,0,0,0.0140670763409495,0,0,-0.0362310780994725,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0.0760667062640262,0,0,0,0,0,0,0.0155089972541497,0,0.00760460869504142,0.079018091767513,0.0585087995428977,0,0,0,0.0624891199421659,0,0,0,0.100421880353154,0,0
X939.HK.EQUITY,0.611897938413926,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.084213850162046,0,0,0,0,0,0,0.0982853857714937,0,0,0,0,0,0,-0.0140075730474158,0,0,0
X601288.CH.EQUITY,0,0,0.048934112263932,0,0.158267377078009,0,0,0,0,0,0,0,-0.0188153405250966,0,0,0,0,0,0,0.00964055150525044,0,0,0,0.0722570681299059,0.0730573574311178,0,0.00583422814960399,-8.67361737988404e-19,0,0
X2628.HK.EQUITY,0,0,0,0,0,-0.190115579370859,0,0,0.129193581296512,0,0,0,0.220427334153746,0,0.491814787477326,0,0,0,0,0,0,0,0,0.37621753637007,0,0,-0.0490734357930808,0.0369355973824244,0,0.184693736361237
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.438762388011049,0,0.828931800784939,0,0,0,-0.268369990494516,0.289572684532779,0.2707112108633,0,0,0,0,0,-0.0739465754081451,0,0.36424243901187,0,0,0.034015627013048,0,0.358819199798131,0
X600036.CH.EQUITY,0,0,0.161968223961361,0,0,0,0,0,0.189466934506117,0,0,0,0.142230011303332,0.0375057831279016,-0.110667579667709,0,0,0,0.057589786973949,0.231290351682303,0,0.109883056674824,0,0,0,0,0,0,-0.0217281748512032,0
X3988.HK.EQUITY,0.259888407835647,0,0.135072211010071,0,0.0079775048550718,0,0,0,0,0,0,0,0,0,0.0657012182698679,0,0,0.0347237570045079,0,0,0,0.0177209927673312,0,0,0,0,0,0.0445878985714692,0.0354988951555358,0
X601988.CH.EQUITY,0,0,0.183364566014722,0,0.0164489672269792,0,0,0.00867747799237561,0,0.0460610934428312,0,0,0,0.0734715803673132,0,0,0,0,0,0,0,0,0,0,0,0,0.0110163291694703,0.0638412498302696,0,0.0340007213323993
X1299.HK.EQUITY,0,0,0,0,0,0.183370142613837,0,0,0,0,0,0,0,0.0249259080190694,0.538593570150773,0,0,0.035807129588237,0,0,0,0,0,0,0,0,-0.0757776708414871,0,0,0
X5.HK.EQUITY,0,0,0,0.77870628595808,0,0,0,0,0,0,0,0,0.207511039031349,0,0,0,0,0.066878814521219,0,0,0,0.475165898901796,0,-0.329295537510352,0,0,-0.0294260079573249,-0.0636056002266503,0,-0.176467699374621
X388.HK.EQUITY,0,0,0,0,0,0,0,0.519567259288636,0.00185116706753251,0,0,0,0,0.184702680163807,0,0,0,0,-0.20469884246709,-0.0596546744416982,0,0,0,0,0,0.0676252805257909,0,0.0812450890989448,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.121691518565592,0,0,0,0,0,0.256569371437162,0,0,0.568447128933052,-0.0305778674093253,0,0,0,0,0,0.234039881194641,0,0,0,0,0.17088466111606
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.00922560751431805,0,0,0,0,0,0,0.0343451654690668,0,0,0,0.141683716540213,0,0,0,0,0.329203774202735,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.0792048755235419,0,0,0,0,0,0.0789543689122873,0.911907437866016,0,0,0.224657134891304,0,0,0,0,-0.14423155001558,-0.0182201073490992,0,-0.0781406838634882,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.147432550542335,-0.153137793058557,0,0,0,0,0.159345531225576,8.67361737988404e-19,0,0,0.0185050645670384,0,0,0,0,0.0125938948372143,0,0,0,0.0151812213041743,0.0866423243779725,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.725081498142997,0,0,0,0,0.00617829299004157,0,0,-0.00750349712398998,0,0,0,0,0,0.412145335054357,0,0,-0.0486791672158062,-0.0377995730054934,0,-0.0565438917363289
X601328.CH.EQUITY,0.0176847924440918,0,0,0,0.00673256952273715,0,0,0,0,0,0,0,0,0,0,0.0199943044795824,0,0.0096907575686697,0,0.032119389661057,0,0,0.183629872112736,0.0787592085945458,0.0369706028584296,0,-2.71050543121376e-20,0.0161094282336652,0,0
X3328.HK.EQUITY,-1.73472347597681e-18,0,0,0,0,0.361420852120789,0,0,8.67361737988404e-19,0.453800798003582,0.475960148342494,0,0,0,-0.206566681315012,0,0,0,0,0,0,0,0,0,-0.337520748972744,-0.300902035014932,0,0,0.10662964509109,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0.103938882185583,0,0,0,0,0,-0.106906671868042,-1.38777878078145e-17,0,0,0,0.324805694360094,0,0,0,0,0.0672508812800711,0,0.0309174790893028,0.208703723853851,0.148261963705093,0
X601601.CH.EQUITY,0,0,0.253266065896803,0,0,0,0,-0.082644545561209,0.177765468737827,0.172190215411197,0,0,-0.0339923595043224,0,0,0,0.145775705978391,0,0,0.140623992476096,0,0,0,0,0.377892915457397,-0.228547514679415,-0.0521383691967979,0,0.11862262758476,0
X601319.CH.EQUITY,0,0,0.230890241202101,0,0,0,0,0.029752284962515,0,0,0,0,-0.0874898560030214,0,0,0,0,0,0.200007550061489,0.334293876899838,0,0,0,0.0794635482042538,0,0,0,0,-0.0134282575235125,1.73472347597681e-18
FXI.US.EQUITY,0,0,0,0.0445060142936323,0,0,0,0,-0.0888357762800204,0.0580247617588633,0,0,0,0.00703805031430229,0,0,0,0,0,0,0,0.0439247548143803,0,0,0,0,-0.166754472743125,0.0854221110392364,0.0481845615421612,0
VXFXI.INDEX,0,0,-0.492581958934413,0,0,0,0,0,-0.0464896380548466,0,0,0,0,0,0.385724371656955,0.232153126658526,0,0,-0.746303915073083,0,0,0,0,0,0,-2.24993966775891,0,0,0.0573652629957983,0
CN10YR,0,0,0,0,0,0,0,2.86268882093772e-06,5.07002419821492e-07,0,0,0,0,0,0,0,0,2.29659191977112e-06,0,0,0,7.6839409488492e-06,1.74188199665656e-06,0,0,0,8.59083313610427e-08,0,0.999989400826101,0.99999123216525
CN2YR,0,0,0,0,0,0,0,0,2.64697796016969e-23,0,0,0,0,5.48730149505855e-06,0,0,0,0,0,0,0,1.35882202341212e-06,0,0,-1.38111976341305e-06,0,-1.77817872417986e-06,0.999986650594793,0,-0.999992924685698
